"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","44121","57","0","2023","1","","Alabama -- Statewide","Private","NAICS 44121 Recreational vehicle dealers","State, NAICS 5-digit -- by ownership sector","All establishment sizes",59,1109,1118,1109,17684978,8646079,45366,1223,"",1.49,1.48,1.49,1.47,1.85,1.50,1.37,1.25,"",7,13.5,120,12.1,118,11.8,93,9.2,2255283,14.6,1005944,13.2,-39814,-46.7,38,3.2
"01000","5","44121","57","0","2023","2","","Alabama -- Statewide","Private","NAICS 44121 Recreational vehicle dealers","State, NAICS 5-digit -- by ownership sector","All establishment sizes",59,1126,1121,1103,18543298,1425048,8141,1277,"",1.46,1.48,1.47,1.44,1.66,0.90,0.70,1.14,"",6,11.3,87,8.4,95,9.3,41,3.9,554343,3.1,-165773,-10.4,-11413,-58.4,-51,-3.8
"01000","5","44121","57","0","2023","3","","Alabama -- Statewide","Private","NAICS 44121 Recreational vehicle dealers","State, NAICS 5-digit -- by ownership sector","All establishment sizes",61,1093,1096,1095,17810016,1258295,8668,1252,"",1.50,1.41,1.42,1.45,1.60,1.07,1.00,1.12,"",6,10.9,31,2.9,5,0.5,-20,-1.8,-1130877,-6.0,-490087,-28.0,-15018,-63.4,-86,-6.4
"01003","5","44121","77","0","2023","1","","Baldwin County, Alabama","Private","NAICS 44121 Recreational vehicle dealers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,98,102,102,1560784,868613,3803,1193,"",2.39,3.37,3.47,3.42,5.26,3.84,3.01,1.54,"",1,25.0,6,6.5,11,12.1,10,10.9,240346,18.2,136592,18.7,-5094,-57.3,85,7.7
"01003","5","44121","77","0","2023","2","","Baldwin County, Alabama","Private","NAICS 44121 Recreational vehicle dealers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,108,112,113,1797160,229164,970,1245,"",2.34,3.54,3.64,3.58,4.90,2.87,1.90,1.37,"",1,25.0,17,18.7,22,24.4,23,25.6,338746,23.2,32382,16.5,-1457,-60.0,3,0.2
"01003","5","44121","77","0","2023","3","","Baldwin County, Alabama","Private","NAICS 44121 Recreational vehicle dealers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,108,109,109,1871889,184147,823,1325,"",2.30,3.39,3.47,3.63,4.93,3.16,2.10,1.41,"",0,0.0,12,12.5,9,9.0,4,3.8,252583,15.6,-43233,-19.0,-1775,-68.3,84,6.8
"01015","5","44121","77","0","2023","1","N","Calhoun County, Alabama","Private","NAICS 44121 Recreational vehicle dealers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",4.20,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","44121","77","0","2023","2","N","Calhoun County, Alabama","Private","NAICS 44121 Recreational vehicle dealers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",4.14,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","44121","77","0","2023","3","N","Calhoun County, Alabama","Private","NAICS 44121 Recreational vehicle dealers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",4.14,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01029","5","44121","77","0","2023","1","N","Cleburne County, Alabama","Private","NAICS 44121 Recreational vehicle dealers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",13.51,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01029","5","44121","77","0","2023","2","N","Cleburne County, Alabama","Private","NAICS 44121 Recreational vehicle dealers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",13.40,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01029","5","44121","77","0","2023","3","N","Cleburne County, Alabama","Private","NAICS 44121 Recreational vehicle dealers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",13.31,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","44121","77","0","2023","1","N","Colbert County, Alabama","Private","NAICS 44121 Recreational vehicle dealers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.53,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","44121","77","0","2023","2","N","Colbert County, Alabama","Private","NAICS 44121 Recreational vehicle dealers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.52,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
