"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","4413","56","0","2023","1","","Alabama -- Statewide","Federal Government","NAICS 4413 Automotive parts, accessories, and tire retailers","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",1.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-2,-100.0,-2,-100.0,-2,-100.0,-3595,-100.0,0,0.0,0,0.0,-138,-100.0
"01000","1","4413","56","0","2023","2","","Alabama -- Statewide","Federal Government","NAICS 4413 Automotive parts, accessories, and tire retailers","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",1.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-1,-100.0,-1,-100.0,-4061,-100.0,0,0.0,0,0.0,-312,-100.0
"01000","1","4413","56","0","2023","3","","Alabama -- Statewide","Federal Government","NAICS 4413 Automotive parts, accessories, and tire retailers","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",1.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,0,0.0,0,0.0,-150,-100.0,0,0.0,0,0.0,-35,-100.0
"01000","5","4413","56","0","2023","1","","Alabama -- Statewide","Private","NAICS 4413 Automotive parts, accessories, and tire retailers","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1358,11308,11295,11391,117669585,75451805,301325,799,"",1.73,1.45,1.45,1.45,1.70,1.63,1.60,1.17,"",22,1.6,247,2.2,177,1.6,246,2.2,12897463,12.3,4802779,6.8,-385166,-56.1,73,10.1
"01000","5","4413","56","0","2023","2","","Alabama -- Statewide","Private","NAICS 4413 Automotive parts, accessories, and tire retailers","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1359,11525,11551,11622,114234841,18000432,67281,760,"",1.71,1.47,1.48,1.48,1.60,1.49,1.13,1.09,"",13,1.0,302,2.7,304,2.7,320,2.8,4431456,4.0,-1439700,-7.4,-112331,-62.5,10,1.3
"01000","5","4413","56","0","2023","3","","Alabama -- Statewide","Private","NAICS 4413 Automotive parts, accessories, and tire retailers","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1360,11585,11615,11725,117870664,14089785,57437,779,"",1.71,1.46,1.47,1.48,1.60,1.42,1.19,1.09,"",14,1.0,260,2.3,288,2.5,407,3.6,630922,0.5,-188931,-1.3,-76837,-57.2,-17,-2.1
"01001","5","4413","76","0","2023","1","N","Autauga County, Alabama","Private","NAICS 4413 Automotive parts, accessories, and tire retailers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",11,0,0,0,0,0,0,0,"N",2.06,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","4413","76","0","2023","2","N","Autauga County, Alabama","Private","NAICS 4413 Automotive parts, accessories, and tire retailers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",11,0,0,0,0,0,0,0,"N",2.04,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","4413","76","0","2023","3","","Autauga County, Alabama","Private","NAICS 4413 Automotive parts, accessories, and tire retailers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",11,103,108,110,1276155,126218,366,917,"",2.02,2.27,2.39,2.44,3.62,2.46,1.39,1.53,"",-1,-8.3,-2,-1.9,8,8.0,8,7.8,90239,7.6,-34228,-21.3,-878,-70.6,26,2.9
"01003","5","4413","76","0","2023","1","","Baldwin County, Alabama","Private","NAICS 4413 Automotive parts, accessories, and tire retailers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",59,532,538,542,5379101,3728663,18486,770,"",1.43,1.76,1.77,1.74,2.50,2.05,2.57,1.42,"",1,1.7,2,0.4,5,0.9,13,2.5,525029,10.8,267589,7.7,-20987,-53.2,66,9.4
