"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","444120","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 444120 Paint and wallpaper retailers","State, NAICS 6-digit -- by ownership sector","All establishment sizes",137,795,824,832,15226259,5920491,20586,1434,"",1.52,1.37,1.39,1.41,2.05,1.45,1.43,1.48,"",16,13.2,73,10.1,85,11.5,94,12.7,2648608,21.1,818477,16.0,-26665,-56.4,114,8.6
"01000","5","444120","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 444120 Paint and wallpaper retailers","State, NAICS 6-digit -- by ownership sector","All establishment sizes",137,832,825,825,10564072,737086,2703,982,"",1.51,1.44,1.45,1.43,1.74,0.97,0.80,1.21,"",9,7.0,82,10.9,75,10.0,77,10.3,-724399,-6.4,-119214,-13.9,-5607,-67.5,-177,-15.3
"01000","5","444120","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 444120 Paint and wallpaper retailers","State, NAICS 6-digit -- by ownership sector","All establishment sizes",138,821,817,814,11780974,514020,2055,1109,"",1.52,1.42,1.42,1.43,1.76,0.89,0.77,1.24,"",10,7.8,63,8.3,52,6.8,50,6.5,975342,9.0,-113171,-18.0,-4059,-66.4,19,1.7
"01001","5","444120","78","0","2023","1","N","Autauga County, Alabama","Private","NAICS 444120 Paint and wallpaper retailers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",3.26,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","444120","78","0","2023","2","N","Autauga County, Alabama","Private","NAICS 444120 Paint and wallpaper retailers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",3.25,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","444120","78","0","2023","3","N","Autauga County, Alabama","Private","NAICS 444120 Paint and wallpaper retailers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",3.22,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","444120","78","0","2023","1","N","Baldwin County, Alabama","Private","NAICS 444120 Paint and wallpaper retailers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,0,0,0,0,0,0,0,"N",1.68,0,0,0,0,0,0,0,"N",2,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","444120","78","0","2023","2","N","Baldwin County, Alabama","Private","NAICS 444120 Paint and wallpaper retailers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,0,0,0,0,0,0,0,"N",1.67,0,0,0,0,0,0,0,"N",2,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","444120","78","0","2023","3","N","Baldwin County, Alabama","Private","NAICS 444120 Paint and wallpaper retailers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,0,0,0,0,0,0,0,"N",1.66,0,0,0,0,0,0,0,"N",2,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","444120","78","0","2023","1","","Calhoun County, Alabama","Private","NAICS 444120 Paint and wallpaper retailers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,7,7,7,88958,39755,264,978,"",1.85,0.56,0.56,0.56,0.66,0.54,1.03,1.18,"",0,0.0,-3,-30.0,-4,-36.4,-4,-36.4,-39701,-30.9,-23157,-36.8,-319,-54.7,50,5.4
"01015","5","444120","78","0","2023","2","","Calhoun County, Alabama","Private","NAICS 444120 Paint and wallpaper retailers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,7,7,5,63826,3819,8,775,"",1.85,0.57,0.58,0.41,0.59,0.25,0.12,1.12,"",0,0.0,-1,-12.5,-3,-30.0,-4,-44.4,-29486,-31.6,-9835,-72.0,-154,-95.1,-23,-2.9
