"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","445131","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 445131 Convenience retailers","State, NAICS 6-digit -- by ownership sector","All establishment sizes",119,319,311,330,2056468,1616853,11291,494,"",0.26,0.14,0.14,0.15,0.16,0.16,0.22,1.13,"",3,2.6,18,6.0,12,4.0,32,10.7,432566,26.6,212867,15.2,-6177,-35.4,77,18.5
"01000","5","445131","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 445131 Convenience retailers","State, NAICS 6-digit -- by ownership sector","All establishment sizes",121,336,342,354,2299221,884940,9764,514,"",0.26,0.15,0.15,0.15,0.17,0.25,0.38,1.15,"",7,6.1,24,7.7,33,10.7,42,13.5,380613,19.8,29412,3.4,-2523,-20.5,39,8.2
"01000","5","445131","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 445131 Convenience retailers","State, NAICS 6-digit -- by ownership sector","All establishment sizes",125,352,359,364,2432047,507093,4795,522,"",0.27,0.15,0.15,0.16,0.18,0.18,0.22,1.13,"",10,8.7,45,14.7,62,20.9,60,19.7,511031,26.6,110507,27.9,-1253,-20.7,34,7.0
"01003","5","445131","78","0","2023","1","N","Baldwin County, Alabama","Private","NAICS 445131 Convenience retailers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",0.17,0,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","445131","78","0","2023","2","N","Baldwin County, Alabama","Private","NAICS 445131 Convenience retailers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",0.16,0,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","445131","78","0","2023","3","N","Baldwin County, Alabama","Private","NAICS 445131 Convenience retailers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",0.16,0,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","445131","78","0","2023","1","N","Barbour County, Alabama","Private","NAICS 445131 Convenience retailers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.57,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","445131","78","0","2023","2","N","Barbour County, Alabama","Private","NAICS 445131 Convenience retailers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.56,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","445131","78","0","2023","3","N","Barbour County, Alabama","Private","NAICS 445131 Convenience retailers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.57,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","445131","78","0","2023","1","N","Calhoun County, Alabama","Private","NAICS 445131 Convenience retailers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.24,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
