"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","44523","57","0","2023","1","","Alabama -- Statewide","Private","NAICS 44523 Fruit and vegetable retailers","State, NAICS 5-digit -- by ownership sector","All establishment sizes",42,370,388,405,3088799,2032193,9489,613,"",0.95,0.88,0.91,0.93,0.98,0.94,0.78,1.09,"",-1,-2.3,-19,-4.9,-25,-6.1,-30,-6.9,394082,14.6,40498,2.0,-11436,-54.7,110,21.9
"01000","5","44523","57","0","2023","2","","Alabama -- Statewide","Private","NAICS 44523 Fruit and vegetable retailers","State, NAICS 5-digit -- by ownership sector","All establishment sizes",42,413,445,476,3466756,860572,4621,600,"",0.93,0.89,0.90,0.91,0.95,1.19,0.78,1.06,"",-1,-2.3,-38,-8.4,-45,-9.2,-26,-5.2,-11573,-0.3,-91237,-9.6,-8891,-65.8,44,7.9
"01000","5","44523","57","0","2023","3","","Alabama -- Statewide","Private","NAICS 44523 Fruit and vegetable retailers","State, NAICS 5-digit -- by ownership sector","All establishment sizes",44,470,451,433,3659013,557838,2953,624,"",0.97,0.88,0.84,0.78,0.92,0.83,0.50,1.10,"",1,2.3,-42,-8.2,-32,-6.6,-41,-8.6,191206,5.5,-12056,-2.1,-5020,-63.0,79,14.5
"01003","5","44523","77","0","2023","1","","Baldwin County, Alabama","Private","NAICS 44523 Fruit and vegetable retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,25,37,40,230924,168813,2099,522,"",2.56,1.53,2.23,2.32,2.37,1.99,4.52,1.17,"",0,0.0,-17,-40.5,-3,-7.5,-9,-18.4,24358,11.8,14034,9.1,-915,-30.4,158,43.4
"01003","5","44523","77","0","2023","2","","Baldwin County, Alabama","Private","NAICS 44523 Fruit and vegetable retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,46,52,53,298868,95823,1576,457,"",2.51,2.48,2.61,2.46,2.49,2.64,5.99,0.99,"",0,0.0,-1,-2.1,-4,-7.1,-3,-5.4,-4053,-1.3,-389,-0.4,-952,-37.7,17,3.9
"01003","5","44523","77","0","2023","3","","Baldwin County, Alabama","Private","NAICS 44523 Fruit and vegetable retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,49,44,40,308162,61290,1099,535,"",2.47,2.24,2.01,1.81,2.26,1.86,4.16,1.12,"",0,0.0,2,4.3,-2,-4.3,-7,-14.9,15351,5.2,7253,13.4,-187,-14.5,52,10.8
"01017","5","44523","77","0","2023","1","N","Chambers County, Alabama","Private","NAICS 44523 Fruit and vegetable retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",4.56,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","44523","77","0","2023","2","N","Chambers County, Alabama","Private","NAICS 44523 Fruit and vegetable retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",4.57,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","44523","77","0","2023","3","N","Chambers County, Alabama","Private","NAICS 44523 Fruit and vegetable retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",4.51,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","44523","77","0","2023","1","N","Chilton County, Alabama","Private","NAICS 44523 Fruit and vegetable retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",7.74,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
