"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","445240","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 445240 Meat retailers","State, NAICS 6-digit -- by ownership sector","All establishment sizes",62,459,446,436,3317730,2325020,13751,571,"",0.71,0.55,0.54,0.53,0.59,0.55,0.69,1.10,"",8,14.8,-48,-9.5,-45,-9.2,-43,-9.0,-26352,-0.8,-117122,-4.8,-14705,-51.7,49,9.4
"01000","5","445240","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 445240 Meat retailers","State, NAICS 6-digit -- by ownership sector","All establishment sizes",64,440,434,438,3063926,864163,6208,539,"",0.72,0.53,0.53,0.52,0.51,0.70,0.82,0.98,"",6,10.3,-104,-19.1,-52,-10.7,-55,-11.2,-271402,-8.1,-92735,-9.7,-5499,-47.0,34,6.7
"01000","5","445240","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 445240 Meat retailers","State, NAICS 6-digit -- by ownership sector","All establishment sizes",64,416,405,405,3052720,537501,3874,575,"",0.72,0.49,0.48,0.48,0.49,0.55,0.62,1.00,"",1,1.6,-53,-11.3,-70,-14.7,-83,-17.0,-582196,-16.0,-180355,-25.1,-5989,-60.7,-11,-1.9
"01001","5","445240","78","0","2023","1","N","Autauga County, Alabama","Private","NAICS 445240 Meat retailers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.68,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","445240","78","0","2023","2","N","Autauga County, Alabama","Private","NAICS 445240 Meat retailers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.66,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","445240","78","0","2023","3","N","Autauga County, Alabama","Private","NAICS 445240 Meat retailers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.64,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","445240","78","0","2023","1","","Baldwin County, Alabama","Private","NAICS 445240 Meat retailers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,43,41,40,364138,229433,640,678,"",1.53,1.33,1.28,1.22,2.10,1.39,0.84,1.64,"",2,40.0,19,79.2,11,36.7,10,33.3,81508,28.8,77551,51.1,-2373,-78.8,-98,-12.6
"01003","5","445240","78","0","2023","2","","Baldwin County, Alabama","Private","NAICS 445240 Meat retailers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,41,42,43,371603,40919,487,681,"",1.49,1.24,1.26,1.24,1.89,0.66,1.46,1.52,"",1,16.7,8,24.2,9,27.3,8,22.9,127213,52.1,-7242,-15.0,-417,-46.1,123,22.0
"01003","5","445240","78","0","2023","3","","Baldwin County, Alabama","Private","NAICS 445240 Meat retailers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,43,41,45,382393,36335,309,684,"",1.48,1.24,1.20,1.35,1.79,0.75,1.10,1.42,"",1,16.7,10,30.3,17,70.8,16,55.2,143717,60.2,5430,17.6,-458,-59.7,44,6.9
"01015","5","445240","78","0","2023","1","N","Calhoun County, Alabama","Private","NAICS 445240 Meat retailers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.64,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
