"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","44529","57","0","2023","1","","Alabama -- Statewide","Private","NAICS 44529 Other specialty food retailers","State, NAICS 5-digit -- by ownership sector","All establishment sizes",124,708,706,722,5821299,3438245,21844,629,"",0.59,0.43,0.43,0.43,0.53,0.45,0.47,1.24,"",5,4.2,-53,-7.0,-66,-8.5,-55,-7.1,856149,17.2,-44965,-1.3,-29910,-57.8,133,26.8
"01000","5","44529","57","0","2023","2","","Alabama -- Statewide","Private","NAICS 44529 Other specialty food retailers","State, NAICS 5-digit -- by ownership sector","All establishment sizes",127,733,723,726,6319381,1198754,10098,668,"",0.59,0.44,0.43,0.42,0.56,0.47,0.54,1.30,"",3,2.4,0,0.0,-8,-1.1,-3,-0.4,1302134,26.0,-108262,-8.3,-8314,-45.2,140,26.5
"01000","5","44529","57","0","2023","3","","Alabama -- Statewide","Private","NAICS 44529 Other specialty food retailers","State, NAICS 5-digit -- by ownership sector","All establishment sizes",128,697,674,683,6068490,946106,11759,682,"",0.59,0.40,0.39,0.41,0.51,0.43,0.69,1.29,"",6,4.9,-7,-1.0,-31,-4.4,-43,-5.9,1352025,28.7,54345,6.1,-1997,-14.5,172,33.7
"01003","5","44529","77","0","2023","1","","Baldwin County, Alabama","Private","NAICS 44529 Other specialty food retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",21,123,121,123,751244,603995,3178,472,"",1.90,1.93,1.88,1.86,2.22,2.02,1.80,1.17,"",0,0.0,-34,-21.7,-23,-16.0,-13,-9.6,-95479,-11.3,-98536,-14.0,-9010,-73.9,25,5.6
"01003","5","44529","77","0","2023","2","","Baldwin County, Alabama","Private","NAICS 44529 Other specialty food retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",22,128,128,126,725645,242821,1544,438,"",1.94,1.93,1.87,1.76,1.94,1.91,1.86,1.04,"",0,0.0,-7,-5.2,-5,-3.8,-5,-3.8,-5190,-0.7,-13956,-5.4,-3419,-68.9,15,3.5
"01003","5","44529","77","0","2023","3","","Baldwin County, Alabama","Private","NAICS 44529 Other specialty food retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",22,111,111,115,742232,150559,823,508,"",1.91,1.56,1.57,1.71,1.84,1.38,1.07,1.14,"",0,0.0,-2,-1.8,0,0.0,1,0.9,49731,7.2,8965,6.3,-2547,-75.6,35,7.4
"01005","5","44529","77","0","2023","1","N","Barbour County, Alabama","Private","NAICS 44529 Other specialty food retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.25,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","44529","77","0","2023","2","N","Barbour County, Alabama","Private","NAICS 44529 Other specialty food retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.21,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","44529","77","0","2023","3","N","Barbour County, Alabama","Private","NAICS 44529 Other specialty food retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.23,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","44529","77","0","2023","1","N","Calhoun County, Alabama","Private","NAICS 44529 Other specialty food retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.26,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","44529","77","0","2023","2","N","Calhoun County, Alabama","Private","NAICS 44529 Other specialty food retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.52,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","44529","77","0","2023","3","N","Calhoun County, Alabama","Private","NAICS 44529 Other specialty food retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.52,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","44529","77","0","2023","1","N","Chambers County, Alabama","Private","NAICS 44529 Other specialty food retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.93,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","44529","77","0","2023","2","N","Chambers County, Alabama","Private","NAICS 44529 Other specialty food retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.93,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","44529","77","0","2023","3","N","Chambers County, Alabama","Private","NAICS 44529 Other specialty food retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.90,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","44529","77","0","2023","1","N","Chilton County, Alabama","Private","NAICS 44529 Other specialty food retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.64,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","44529","77","0","2023","2","N","Chilton County, Alabama","Private","NAICS 44529 Other specialty food retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.60,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","44529","77","0","2023","3","N","Chilton County, Alabama","Private","NAICS 44529 Other specialty food retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.59,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01023","5","44529","77","0","2023","1","N","Choctaw County, Alabama","Private","NAICS 44529 Other specialty food retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.02,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01023","5","44529","77","0","2023","2","-","Choctaw County, Alabama","Private","NAICS 44529 Other specialty food retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",-1,-100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
