"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","2","44532","57","0","2023","1","","Alabama -- Statewide","State Government","NAICS 44532 Beer, wine, and liquor retailers","State, NAICS 5-digit -- by ownership sector","All establishment sizes",166,601,620,641,5188259,0,0,643,"",29.99,5.27,5.52,5.85,6.26,0.00,0.00,1.13,"",1,0.6,-19,-3.1,-9,-1.4,17,2.7,1003000,24.0,0,0.0,0,0.0,127,24.6
"01000","2","44532","57","0","2023","2","","Alabama -- Statewide","State Government","NAICS 44532 Beer, wine, and liquor retailers","State, NAICS 5-digit -- by ownership sector","All establishment sizes",170,618,624,662,5360750,0,0,650,"",30.18,5.70,5.78,5.74,6.94,0.00,0.00,1.21,"",6,3.7,-14,-2.2,26,4.3,47,7.6,479502,9.8,0,0.0,0,0.0,39,6.4
"01000","2","44532","57","0","2023","3","","Alabama -- Statewide","State Government","NAICS 44532 Beer, wine, and liquor retailers","State, NAICS 5-digit -- by ownership sector","All establishment sizes",170,630,643,663,4627099,0,0,552,"",30.22,5.39,5.49,5.71,5.15,0.00,0.00,0.93,"",7,4.3,14,2.3,15,2.4,32,5.1,-325773,-6.6,0,0.0,0,0.0,-58,-9.5
"01000","5","44532","57","0","2023","1","","Alabama -- Statewide","Private","NAICS 44532 Beer, wine, and liquor retailers","State, NAICS 5-digit -- by ownership sector","All establishment sizes",267,1105,1117,1148,7461983,5930985,30528,511,"",0.61,0.47,0.48,0.49,0.53,0.55,0.59,1.10,"",4,1.5,73,7.1,71,6.8,90,8.5,1266442,20.4,831054,16.3,-29250,-48.9,55,12.1
"01000","5","44532","57","0","2023","2","","Alabama -- Statewide","Private","NAICS 44532 Beer, wine, and liquor retailers","State, NAICS 5-digit -- by ownership sector","All establishment sizes",270,1143,1190,1177,7858521,2473703,14661,517,"",0.61,0.49,0.51,0.49,0.53,0.70,0.64,1.07,"",17,6.7,68,6.3,108,10.0,84,7.7,900544,12.9,44280,1.8,-16350,-52.7,23,4.7
"01000","5","44532","57","0","2023","3","","Alabama -- Statewide","Private","NAICS 44532 Beer, wine, and liquor retailers","State, NAICS 5-digit -- by ownership sector","All establishment sizes",275,1167,1165,1154,7969337,1624498,11292,528,"",0.62,0.49,0.49,0.49,0.52,0.59,0.62,1.07,"",15,5.8,65,5.9,61,5.5,41,3.7,553150,7.5,23226,1.5,-7516,-40.0,12,2.3
"01001","2","44532","77","0","2023","1","","Autauga County, Alabama","State Government","NAICS 44532 Beer, wine, and liquor retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,6,6,7,54466,0,0,662,"",53.03,9.25,9.36,11.18,14.18,0.00,0.00,1.43,"",0,0.0,0,0.0,-1,-14.3,0,0.0,3751,7.4,0,0.0,0,0.0,77,13.2
"01001","2","44532","77","0","2023","2","","Autauga County, Alabama","State Government","NAICS 44532 Beer, wine, and liquor retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,7,7,7,62651,0,0,688,"",52.29,11.32,11.31,10.59,16.70,0.00,0.00,1.51,"",0,0.0,0,0.0,-1,-12.5,0,0.0,7239,13.1,0,0.0,0,0.0,107,18.4
"01001","2","44532","77","0","2023","3","","Autauga County, Alabama","State Government","NAICS 44532 Beer, wine, and liquor retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,7,7,7,53215,0,0,585,"",51.87,10.45,10.45,10.60,12.34,0.00,0.00,1.18,"",0,0.0,-1,-12.5,0,0.0,0,0.0,49,0.1,0,0.0,0,0.0,27,4.8
"01001","5","44532","77","0","2023","1","N","Autauga County, Alabama","Private","NAICS 44532 Beer, wine, and liquor retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.33,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","44532","77","0","2023","2","N","Autauga County, Alabama","Private","NAICS 44532 Beer, wine, and liquor retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.33,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","44532","77","0","2023","3","N","Autauga County, Alabama","Private","NAICS 44532 Beer, wine, and liquor retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.33,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","2","44532","77","0","2023","1","","Baldwin County, Alabama","State Government","NAICS 44532 Beer, wine, and liquor retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,40,42,40,359063,0,0,679,"",34.30,9.04,9.59,9.21,13.95,0.00,0.00,1.50,"",0,0.0,0,0.0,0,0.0,-1,-2.4,87772,32.4,0,0.0,0,0.0,170,33.4
"01003","2","44532","77","0","2023","2","","Baldwin County, Alabama","State Government","NAICS 44532 Beer, wine, and liquor retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,40,40,43,344828,0,0,647,"",33.51,9.23,9.20,9.07,13.55,0.00,0.00,1.48,"",0,0.0,-5,-11.1,-4,-9.1,-1,-2.3,4890,1.4,0,0.0,0,0.0,57,9.7
"01003","2","44532","77","0","2023","3","","Baldwin County, Alabama","State Government","NAICS 44532 Beer, wine, and liquor retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,42,44,47,322804,0,0,560,"",33.33,8.78,9.23,10.15,10.52,0.00,0.00,1.12,"",0,0.0,-3,-6.7,0,0.0,3,6.8,-38776,-10.7,0,0.0,0,0.0,-67,-10.7
