"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","449","55","0","2023","1","","Alabama -- Statewide","Private","NAICS 449 Furniture, home furnishings, electronics, and appliance retailers","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1900,13208,12949,12838,152937344,87073854,474518,905,"",1.59,1.11,1.10,1.11,1.10,1.15,1.22,0.99,"",-27,-1.4,-1275,-8.8,-1473,-10.2,-1594,-11.0,-3351238,-2.1,-6507818,-7.0,-782262,-62.2,73,8.8
"01000","5","449","55","0","2023","2","","Alabama -- Statewide","Private","NAICS 449 Furniture, home furnishings, electronics, and appliance retailers","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1875,12656,12517,12542,144366491,17355023,103894,883,"",1.55,1.10,1.10,1.11,1.08,1.10,1.07,0.98,"",-34,-1.8,-1468,-10.4,-1509,-10.8,-1335,-9.6,-8300158,-5.4,-5311694,-23.4,-192196,-64.9,45,5.4
"01000","5","449","55","0","2023","3","","Alabama -- Statewide","Private","NAICS 449 Furniture, home furnishings, electronics, and appliance retailers","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1887,12324,12201,12262,142696949,12131257,75123,895,"",1.57,1.10,1.09,1.11,1.05,1.05,1.02,0.95,"",-27,-1.4,-1444,-10.5,-1422,-10.4,-1397,-10.2,-14759474,-9.4,-3480047,-22.3,-138047,-64.8,10,1.1
"01001","5","449","75","0","2023","1","","Autauga County, Alabama","Private","NAICS 449 Furniture, home furnishings, electronics, and appliance retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,137,127,132,1099119,756121,4927,641,"",1.84,2.02,1.90,1.99,1.71,2.03,2.18,0.87,"",0,0.0,-6,-4.2,-21,-14.2,-8,-5.7,79850,7.8,-10288,-1.3,-5170,-51.2,95,17.4
"01001","5","449","75","0","2023","2","","Autauga County, Alabama","Private","NAICS 449 Furniture, home furnishings, electronics, and appliance retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,130,125,127,949421,256671,1868,574,"",1.83,1.99,1.92,1.96,1.46,2.87,3.08,0.75,"",0,0.0,-11,-7.8,-14,-10.1,-12,-8.6,-119114,-11.1,-106963,-29.4,-2595,-58.1,-15,-2.5
"01001","5","449","75","0","2023","3","","Autauga County, Alabama","Private","NAICS 449 Furniture, home furnishings, electronics, and appliance retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",16,126,126,124,941324,153728,997,578,"",1.94,1.95,1.98,1.97,1.44,2.56,2.48,0.73,"",1,6.7,-20,-13.7,-17,-11.9,-13,-9.5,-159359,-14.5,-119037,-43.6,-2560,-72.0,-18,-3.0
"01003","5","449","75","0","2023","1","","Baldwin County, Alabama","Private","NAICS 449 Furniture, home furnishings, electronics, and appliance retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",118,793,779,772,8306889,4993317,27043,818,"",1.87,1.71,1.70,1.68,1.93,1.68,1.82,1.14,"",2,1.7,-38,-4.6,-34,-4.2,-49,-6.0,266023,3.3,-22301,-0.4,-42488,-61.1,65,8.6
"01003","5","449","75","0","2023","2","","Baldwin County, Alabama","Private","NAICS 449 Furniture, home furnishings, electronics, and appliance retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",115,761,731,739,8488785,1050193,6491,878,"",1.80,1.66,1.60,1.59,1.93,1.33,1.52,1.19,"",-2,-1.7,-57,-7.0,-96,-11.6,-96,-11.5,-509928,-5.7,-312691,-22.9,-11350,-63.6,41,4.9
"01003","5","449","75","0","2023","3","","Baldwin County, Alabama","Private","NAICS 449 Furniture, home furnishings, electronics, and appliance retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",116,721,721,715,7996818,757977,3779,856,"",1.81,1.57,1.59,1.62,1.72,1.33,1.13,1.08,"",-1,-0.9,-124,-14.7,-96,-11.8,-104,-12.7,-1165990,-12.7,-274153,-26.6,-10050,-72.7,4,0.5
"01005","5","449","75","0","2023","1","","Barbour County, Alabama","Private","NAICS 449 Furniture, home furnishings, electronics, and appliance retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,26,25,24,159434,120089,471,491,"",1.32,0.57,0.56,0.55,0.42,0.44,0.40,0.74,"",0,0.0,3,13.0,1,4.2,0,0.0,9318,6.2,3941,3.4,-1159,-71.1,3,0.6
