"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","4492","56","0","2023","1","","Alabama -- Statewide","Private","NAICS 4492 Electronics and appliance retailers","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1001,6588,6465,6400,87586033,46104225,267510,1039,"",1.75,1.13,1.12,1.12,1.13,1.19,1.33,1.00,"",-42,-4.0,-1089,-14.2,-1178,-15.4,-1169,-15.4,-6361890,-6.8,-6722935,-12.7,-526965,-66.3,92,9.7
"01000","5","4492","56","0","2023","2","","Alabama -- Statewide","Private","NAICS 4492 Electronics and appliance retailers","State, NAICS 4-digit -- by ownership sector","All establishment sizes",967,6330,6254,6290,80211666,8707284,58529,981,"",1.68,1.12,1.12,1.13,1.11,1.19,1.24,0.99,"",-54,-5.3,-1026,-13.9,-1054,-14.4,-895,-12.5,-6228540,-7.2,-3272639,-27.3,-114110,-66.1,68,7.4
"01000","5","4492","56","0","2023","3","","Alabama -- Statewide","Private","NAICS 4492 Electronics and appliance retailers","State, NAICS 4-digit -- by ownership sector","All establishment sizes",957,6180,6097,6144,78906728,5831714,37221,989,"",1.67,1.11,1.11,1.13,1.08,1.09,1.04,0.97,"",-64,-6.3,-960,-13.4,-959,-13.6,-972,-13.7,-10446113,-11.7,-2752815,-32.1,-91970,-71.2,21,2.2
"01001","5","4492","76","0","2023","1","","Autauga County, Alabama","Private","NAICS 4492 Electronics and appliance retailers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,111,99,106,926187,616893,3845,676,"",2.05,3.35,3.02,3.26,2.58,3.24,3.30,0.80,"",-2,-20.0,-9,-7.5,-27,-21.4,-13,-10.9,55023,6.3,-27360,-4.2,-4341,-53.0,125,22.7
"01001","5","4492","76","0","2023","2","","Autauga County, Alabama","Private","NAICS 4492 Electronics and appliance retailers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,105,98,100,776537,206328,1383,591,"",2.05,3.25,3.05,3.13,2.21,4.94,4.70,0.70,"",-1,-11.1,-12,-10.3,-16,-14.0,-13,-11.5,-106914,-12.1,-99870,-32.6,-2282,-62.3,-2,-0.3
"01001","5","4492","76","0","2023","3","","Autauga County, Alabama","Private","NAICS 4492 Electronics and appliance retailers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,102,99,100,798568,135841,901,612,"",2.04,3.21,3.15,3.22,2.28,4.88,4.63,0.71,"",-1,-11.1,-17,-14.3,-17,-14.7,-12,-10.7,-118976,-13.0,-80446,-37.2,-1764,-66.2,2,0.3
"01003","5","4492","76","0","2023","1","","Baldwin County, Alabama","Private","NAICS 4492 Electronics and appliance retailers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",52,272,259,262,2846713,1668745,8223,828,"",1.73,1.20,1.15,1.16,1.18,1.10,1.07,1.01,"",-2,-3.7,-13,-4.6,-22,-7.8,-16,-5.8,-106365,-3.6,-140432,-7.8,-20916,-71.8,21,2.6
"01003","5","4492","76","0","2023","2","","Baldwin County, Alabama","Private","NAICS 4492 Electronics and appliance retailers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",50,253,236,236,2621108,341707,1779,834,"",1.64,1.12,1.05,1.03,1.10,0.93,0.86,1.03,"",-3,-5.7,-24,-8.7,-46,-16.3,-46,-16.3,-99157,-3.6,-150569,-30.6,-5765,-76.4,88,11.8
"01003","5","4492","76","0","2023","3","","Baldwin County, Alabama","Private","NAICS 4492 Electronics and appliance retailers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",50,232,232,238,2603245,268792,1627,856,"",1.64,1.02,1.04,1.09,1.04,1.01,1.01,0.99,"",-3,-5.7,-44,-15.9,-38,-14.1,-29,-10.9,-325580,-11.1,-83041,-23.6,-4103,-71.6,25,3.0
"01005","5","4492","76","0","2023","1","N","Barbour County, Alabama","Private","NAICS 4492 Electronics and appliance retailers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",1.38,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
