"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","3","456","55","0","2023","1","N","Alabama -- Statewide","Local Government","NAICS 456 Health and personal care retailers","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",5.91,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","456","55","0","2023","2","-","Alabama -- Statewide","Local Government","NAICS 456 Health and personal care retailers","State, NAICS 3-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",-1,-100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","456","55","0","2023","3","-","Alabama -- Statewide","Local Government","NAICS 456 Health and personal care retailers","State, NAICS 3-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",-1,-100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","456","55","0","2023","1","","Alabama -- Statewide","Private","NAICS 456 Health and personal care retailers","State, NAICS 3-digit -- by ownership sector","All establishment sizes",2009,16178,16161,16006,166665227,95495533,379177,796,"",1.30,1.07,1.08,1.08,1.15,1.14,0.98,1.06,"",11,0.6,-100,-0.6,-204,-1.2,-200,-1.2,13090635,8.5,3371513,3.7,-500143,-56.9,70,9.6
"01000","5","456","55","0","2023","2","","Alabama -- Statewide","Private","NAICS 456 Health and personal care retailers","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1998,15950,15919,15908,168802572,25661466,102307,815,"",1.29,1.08,1.08,1.08,1.15,1.27,0.91,1.06,"",3,0.2,-39,-0.2,-18,-0.1,103,0.7,11958251,7.6,-864415,-3.3,-156742,-60.5,57,7.5
"01000","5","456","55","0","2023","3","","Alabama -- Statewide","Private","NAICS 456 Health and personal care retailers","State, NAICS 3-digit -- by ownership sector","All establishment sizes",2006,15880,15893,15901,158307412,15557880,64863,766,"",1.30,1.08,1.09,1.09,1.11,1.07,0.79,1.02,"",11,0.6,16,0.1,49,0.3,-125,-0.8,-5540500,-3.4,-1702278,-9.9,-108493,-62.6,-26,-3.3
"01001","5","456","75","0","2023","1","","Autauga County, Alabama","Private","NAICS 456 Health and personal care retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",17,166,161,163,1459546,778854,2784,687,"",1.62,1.94,1.89,1.93,2.17,1.89,1.24,1.13,"",0,0.0,-4,-2.4,-5,-3.0,-1,-0.6,-103408,-6.6,-72084,-8.5,-5746,-67.4,-34,-4.7
"01001","5","456","75","0","2023","2","","Autauga County, Alabama","Private","NAICS 456 Health and personal care retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",18,169,167,164,1522734,234441,945,703,"",1.72,2.01,1.98,1.95,2.13,2.04,1.34,1.07,"",1,5.9,9,5.6,2,1.2,3,1.9,73295,5.1,601,0.3,-1137,-54.6,15,2.2
"01001","5","456","75","0","2023","3","","Autauga County, Alabama","Private","NAICS 456 Health and personal care retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",19,170,171,169,1366333,143805,616,618,"",1.79,2.02,2.04,2.04,2.00,1.90,1.37,0.98,"",2,11.8,14,9.0,15,9.6,9,5.6,-221650,-14.0,-19180,-11.8,-778,-55.8,-158,-20.4
"01003","5","456","75","0","2023","1","","Baldwin County, Alabama","Private","NAICS 456 Health and personal care retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",99,759,749,741,6693236,4346364,14864,687,"",1.22,1.30,1.28,1.26,1.48,1.32,1.01,1.16,"",-1,-1.0,17,2.3,10,1.4,12,1.6,201637,3.1,137073,3.3,-19315,-56.5,9,1.3
