"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","45619","57","0","2023","1","","Alabama -- Statewide","Private","NAICS 45619 Other health and personal care retailers","State, NAICS 5-digit -- by ownership sector","All establishment sizes",294,1385,1385,1374,14602031,9035922,69281,813,"",0.99,0.86,0.85,0.85,0.84,0.92,1.24,0.99,"",17,6.1,83,6.4,68,5.2,37,2.8,2096722,16.8,907187,11.2,-55787,-44.6,84,11.5
"01000","5","45619","57","0","2023","2","","Alabama -- Statewide","Private","NAICS 45619 Other health and personal care retailers","State, NAICS 5-digit -- by ownership sector","All establishment sizes",292,1383,1359,1368,15056868,2068250,13721,845,"",0.98,0.85,0.84,0.85,0.83,0.85,0.86,0.98,"",6,2.1,39,2.9,16,1.2,32,2.4,1271377,9.2,-310138,-13.0,-23591,-63.2,54,6.8
"01000","5","45619","57","0","2023","3","","Alabama -- Statewide","Private","NAICS 45619 Other health and personal care retailers","State, NAICS 5-digit -- by ownership sector","All establishment sizes",298,1340,1368,1347,14614452,1326020,9425,832,"",1.00,0.83,0.85,0.85,0.82,0.75,0.80,0.97,"",12,4.2,-24,-1.8,14,1.0,11,0.8,-55837,-0.4,-277408,-17.3,-15353,-62.0,-3,-0.4
"01001","5","45619","77","0","2023","1","N","Autauga County, Alabama","Private","NAICS 45619 Other health and personal care retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",1.49,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","45619","77","0","2023","2","N","Autauga County, Alabama","Private","NAICS 45619 Other health and personal care retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",1.48,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","45619","77","0","2023","3","","Autauga County, Alabama","Private","NAICS 45619 Other health and personal care retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,13,12,12,119321,7550,36,744,"",1.95,1.40,1.30,1.33,1.39,0.82,0.56,1.03,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","45619","77","0","2023","1","","Baldwin County, Alabama","Private","NAICS 45619 Other health and personal care retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",19,77,74,72,510518,407858,1599,528,"",1.22,1.23,1.17,1.12,0.95,1.06,0.75,0.81,"",-2,-9.5,-13,-14.4,-14,-15.9,-13,-15.3,-74853,-12.8,-41596,-9.3,-2124,-57.1,14,2.7
"01003","5","45619","77","0","2023","2","","Baldwin County, Alabama","Private","NAICS 45619 Other health and personal care retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",19,77,77,75,580891,135641,599,585,"",1.20,1.19,1.18,1.13,0.98,1.11,0.85,0.83,"",-1,-5.0,-15,-16.3,-17,-18.1,-19,-20.2,-47480,-7.6,-41581,-23.5,-958,-61.5,67,12.9
"01003","5","45619","77","0","2023","3","","Baldwin County, Alabama","Private","NAICS 45619 Other health and personal care retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",19,65,64,64,489690,81706,387,586,"",1.19,0.98,0.98,1.01,0.80,0.93,0.73,0.81,"",-1,-5.0,-29,-30.9,-34,-34.7,-18,-22.0,-146037,-23.0,-34936,-30.0,-570,-59.6,51,9.5
"01009","5","45619","77","0","2023","1","N","Blount County, Alabama","Private","NAICS 45619 Other health and personal care retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.56,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
