"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","45821","57","0","2023","1","","Alabama -- Statewide","Private","NAICS 45821 Shoe retailers","State, NAICS 5-digit -- by ownership sector","All establishment sizes",197,2161,2075,2095,11482297,8699463,27984,419,"",0.97,0.92,0.91,0.91,0.85,0.96,0.65,0.93,"",-9,-4.4,-167,-7.2,-113,-5.2,-134,-6.0,556855,5.1,104768,1.2,-52204,-65.1,45,12.0
"01000","5","45821","57","0","2023","2","","Alabama -- Statewide","Private","NAICS 45821 Shoe retailers","State, NAICS 5-digit -- by ownership sector","All establishment sizes",199,2081,2081,2202,11325728,3966286,12092,411,"",0.98,0.91,0.91,0.93,0.80,1.41,0.74,0.87,"",3,1.5,-118,-5.4,-151,-6.8,-32,-1.4,-547494,-4.6,-595056,-13.0,-31021,-72.0,0,0.0
"01000","5","45821","57","0","2023","3","","Alabama -- Statewide","Private","NAICS 45821 Shoe retailers","State, NAICS 5-digit -- by ownership sector","All establishment sizes",202,2193,2197,2172,12227939,3415349,10845,430,"",1.00,0.92,0.91,0.95,0.83,1.40,0.75,0.89,"",2,1.0,-122,-5.3,0,0.0,3,0.1,-1216526,-9.0,-348445,-9.3,-24227,-69.1,-34,-7.3
"01001","5","45821","77","0","2023","1","N","Autauga County, Alabama","Private","NAICS 45821 Shoe retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.73,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","45821","77","0","2023","2","N","Autauga County, Alabama","Private","NAICS 45821 Shoe retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.72,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","45821","77","0","2023","3","N","Autauga County, Alabama","Private","NAICS 45821 Shoe retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.72,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","45821","77","0","2023","1","","Baldwin County, Alabama","Private","NAICS 45821 Shoe retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",21,275,258,265,1666627,1305325,5443,482,"",1.97,3.01,2.89,2.90,3.97,3.67,3.31,1.36,"",-1,-4.5,3,1.1,3,1.2,8,3.1,-233,0.0,12830,1.0,-7930,-59.3,-9,-1.8
"01003","5","45821","77","0","2023","2","","Baldwin County, Alabama","Private","NAICS 45821 Shoe retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",21,269,269,293,1973243,662572,2826,548,"",1.95,2.95,2.91,3.01,4.23,4.70,3.93,1.43,"",1,5.0,10,3.9,5,1.9,15,5.4,253625,14.7,12970,2.0,-4059,-59.0,53,10.7
"01003","5","45821","77","0","2023","3","","Baldwin County, Alabama","Private","NAICS 45821 Shoe retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",22,333,317,307,2248401,626691,2770,542,"",2.03,3.41,3.23,3.35,4.45,5.22,4.25,1.34,"",2,10.0,36,12.1,27,9.3,36,13.3,190413,9.3,28221,4.7,-3261,-54.1,-12,-2.2
"01011","5","45821","77","0","2023","1","N","Bullock County, Alabama","Private","NAICS 45821 Shoe retailers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",3.62,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
