"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","459999","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 459999 All other miscellaneous retailers","State, NAICS 6-digit -- by ownership sector","All establishment sizes",368,1470,1443,1451,12812437,8833284,56610,678,"",0.83,0.59,0.58,0.59,0.42,0.54,0.52,0.71,"",6,1.7,-44,-2.9,-55,-3.7,-53,-3.5,477988,3.9,275378,3.2,-63235,-52.8,48,7.6
"01000","5","459999","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 459999 All other miscellaneous retailers","State, NAICS 6-digit -- by ownership sector","All establishment sizes",369,1431,1501,1585,13991702,2752880,23452,715,"",0.82,0.58,0.60,0.61,0.44,0.68,0.68,0.74,"",15,4.2,-72,-4.8,-60,-3.8,-107,-6.3,-1181019,-7.8,-337429,-10.9,-24605,-51.2,-21,-2.9
"01000","5","459999","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 459999 All other miscellaneous retailers","State, NAICS 6-digit -- by ownership sector","All establishment sizes",378,1668,1455,1433,14307565,1740977,13999,725,"",0.84,0.64,0.58,0.57,0.45,0.56,0.54,0.76,"",18,5.0,-30,-1.8,-113,-7.2,-103,-6.7,-1102624,-7.2,-456357,-20.8,-18867,-57.4,-16,-2.2
"01001","5","459999","78","0","2023","1","N","Autauga County, Alabama","Private","NAICS 459999 All other miscellaneous retailers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0,"N",1.66,0,0,0,0,0,0,0,"N",1,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","459999","78","0","2023","2","N","Autauga County, Alabama","Private","NAICS 459999 All other miscellaneous retailers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0,"N",1.64,0,0,0,0,0,0,0,"N",1,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","459999","78","0","2023","3","N","Autauga County, Alabama","Private","NAICS 459999 All other miscellaneous retailers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0,"N",1.62,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","459999","78","0","2023","1","","Baldwin County, Alabama","Private","NAICS 459999 All other miscellaneous retailers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",21,61,61,62,457739,365933,2669,574,"",0.90,0.63,0.63,0.63,0.48,0.57,0.64,0.76,"",1,5.0,-7,-10.3,-3,-4.7,-3,-4.6,-44223,-8.8,-25188,-6.4,-1779,-40.0,-14,-2.4
"01003","5","459999","78","0","2023","2","","Baldwin County, Alabama","Private","NAICS 459999 All other miscellaneous retailers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",22,62,67,116,479861,200038,1335,452,"",0.93,0.63,0.66,1.09,0.46,0.98,0.88,0.58,"",3,15.8,2,3.3,-1,-1.5,-3,-2.5,-108948,-18.5,13462,7.2,-835,-38.5,-98,-17.8
"01003","5","459999","78","0","2023","3","","Baldwin County, Alabama","Private","NAICS 459999 All other miscellaneous retailers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",22,88,63,62,562871,162194,973,610,"",0.91,0.83,0.61,0.62,0.52,1.06,0.84,0.76,"",3,15.8,3,3.5,5,8.6,7,12.7,62015,12.4,22371,16.0,-500,-33.9,26,4.5
"01005","5","459999","78","0","2023","1","N","Barbour County, Alabama","Private","NAICS 459999 All other miscellaneous retailers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.19,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","459999","78","0","2023","2","N","Barbour County, Alabama","Private","NAICS 459999 All other miscellaneous retailers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.16,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","459999","78","0","2023","3","N","Barbour County, Alabama","Private","NAICS 459999 All other miscellaneous retailers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.18,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","459999","78","0","2023","1","N","Bibb County, Alabama","Private","NAICS 459999 All other miscellaneous retailers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.83,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","459999","78","0","2023","2","N","Bibb County, Alabama","Private","NAICS 459999 All other miscellaneous retailers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.81,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
