"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","483113","58","0","2023","1","N","Alabama -- Statewide","Private","NAICS 483113 Coastal and great lakes freight transportation","State, NAICS 6-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0,"N",0.71,0,0,0,0,0,0,0,"N",1,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","483113","58","0","2023","2","N","Alabama -- Statewide","Private","NAICS 483113 Coastal and great lakes freight transportation","State, NAICS 6-digit -- by ownership sector","All establishment sizes",6,0,0,0,0,0,0,0,"N",0.84,0,0,0,0,0,0,0,"N",1,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","483113","58","0","2023","3","N","Alabama -- Statewide","Private","NAICS 483113 Coastal and great lakes freight transportation","State, NAICS 6-digit -- by ownership sector","All establishment sizes",6,0,0,0,0,0,0,0,"N",0.83,0,0,0,0,0,0,0,"N",1,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","483113","78","0","2023","1","N","Barbour County, Alabama","Private","NAICS 483113 Coastal and great lakes freight transportation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",37.49,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","483113","78","0","2023","2","N","Barbour County, Alabama","Private","NAICS 483113 Coastal and great lakes freight transportation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",36.19,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","483113","78","0","2023","3","N","Barbour County, Alabama","Private","NAICS 483113 Coastal and great lakes freight transportation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",36.81,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01081","5","483113","78","0","2023","1","N","Lee County, Alabama","Private","NAICS 483113 Coastal and great lakes freight transportation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",5.33,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01081","5","483113","78","0","2023","2","N","Lee County, Alabama","Private","NAICS 483113 Coastal and great lakes freight transportation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",5.17,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01081","5","483113","78","0","2023","3","N","Lee County, Alabama","Private","NAICS 483113 Coastal and great lakes freight transportation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",5.12,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01097","5","483113","78","0","2023","1","N","Mobile County, Alabama","Private","NAICS 483113 Coastal and great lakes freight transportation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",3.71,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01097","5","483113","78","0","2023","2","N","Mobile County, Alabama","Private","NAICS 483113 Coastal and great lakes freight transportation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",5.43,0,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01097","5","483113","78","0","2023","3","N","Mobile County, Alabama","Private","NAICS 483113 Coastal and great lakes freight transportation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",5.40,0,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01999","5","483113","78","0","2023","1","N","Unknown Or Undefined, Alabama","Private","NAICS 483113 Coastal and great lakes freight transportation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.10,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01999","5","483113","78","0","2023","2","N","Unknown Or Undefined, Alabama","Private","NAICS 483113 Coastal and great lakes freight transportation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.08,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01999","5","483113","78","0","2023","3","N","Unknown Or Undefined, Alabama","Private","NAICS 483113 Coastal and great lakes freight transportation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.08,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02000","5","483113","58","0","2023","1","","Alaska -- Statewide","Private","NAICS 483113 Coastal and great lakes freight transportation","State, NAICS 6-digit -- by ownership sector","All establishment sizes",148,272,277,286,6305310,5864410,118597,1743,"",130.67,15.33,15.76,16.26,12.33,14.70,12.12,0.78,"",6,4.2,-12,-4.2,-33,-10.6,-29,-9.2,863299,15.9,692997,13.4,-11800,-9.0,361,26.1
"02000","5","483113","58","0","2023","2","","Alaska -- Statewide","Private","NAICS 483113 Coastal and great lakes freight transportation","State, NAICS 6-digit -- by ownership sector","All establishment sizes",150,322,375,419,8993028,6884435,144386,1860,"",129.22,17.10,19.04,19.95,15.82,15.28,11.82,0.84,"",2,1.4,-20,-5.8,-14,-3.6,-30,-6.7,-430894,-4.6,-626579,-8.3,-53409,-27.0,17,0.9
"02000","5","483113","58","0","2023","3","","Alaska -- Statewide","Private","NAICS 483113 Coastal and great lakes freight transportation","State, NAICS 6-digit -- by ownership sector","All establishment sizes",153,648,613,506,17728626,10700189,239835,2315,"",131.51,30.19,28.98,24.55,27.24,28.25,22.99,0.97,"",4,2.7,-11,-1.7,-48,-7.3,9,1.8,1426285,8.7,278480,2.7,-65106,-21.4,245,11.8
"02013","5","483113","78","0","2023","1","N","Aleutians East Borough, Alaska","Private","NAICS 483113 Coastal and great lakes freight transportation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,0,0,0,0,0,0,0,"N",1507.78,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02013","5","483113","78","0","2023","2","N","Aleutians East Borough, Alaska","Private","NAICS 483113 Coastal and great lakes freight transportation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,0,0,0,0,0,0,0,"N",1703.24,0,0,0,0,0,0,0,"N",1,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02013","5","483113","78","0","2023","3","","Aleutians East Borough, Alaska","Private","NAICS 483113 Coastal and great lakes freight transportation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,20,19,19,575200,497500,11793,2289,"",1678.96,85.71,98.58,120.93,82.00,65.93,47.05,0.82,"N",1,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02016","5","483113","78","0","2023","1","N","Aleutians West Census Area, Alaska","Private","NAICS 483113 Coastal and great lakes freight transportation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",272.93,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02016","5","483113","78","0","2023","2","N","Aleutians West Census Area, Alaska","Private","NAICS 483113 Coastal and great lakes freight transportation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",268.10,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02016","5","483113","78","0","2023","3","N","Aleutians West Census Area, Alaska","Private","NAICS 483113 Coastal and great lakes freight transportation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",264.56,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02020","5","483113","78","0","2023","1","","Anchorage Municipality, Alaska","Private","NAICS 483113 Coastal and great lakes freight transportation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,66,64,66,1360253,1319673,29112,1602,"",23.00,8.05,7.97,8.24,5.54,7.08,6.42,0.69,"",-1,-10.0,14,26.9,10,18.5,4,6.5,334756,32.6,332772,33.7,-4440,-13.2,193,13.7
"02020","5","483113","78","0","2023","2","","Anchorage Municipality, Alaska","Private","NAICS 483113 Coastal and great lakes freight transportation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,69,112,112,2511056,2032119,45029,1978,"",22.62,8.09,12.69,12.30,9.58,10.08,8.43,0.87,"N",-1,-10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02020","5","483113","78","0","2023","3","","Anchorage Municipality, Alaska","Private","NAICS 483113 Coastal and great lakes freight transportation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",10,127,133,114,4696703,1842175,40915,2898,"",25.21,13.79,14.53,12.54,16.17,12.14,10.35,1.19,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02060","5","483113","78","0","2023","1","N","Bristol Bay Borough, Alaska","Private","NAICS 483113 Coastal and great lakes freight transportation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,0,0,0,0,0,0,0,"N",1383.97,0,0,0,0,0,0,0,"N",1,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02060","5","483113","78","0","2023","2","N","Bristol Bay Borough, Alaska","Private","NAICS 483113 Coastal and great lakes freight transportation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,0,0,0,0,0,0,0,"N",1326.19,0,0,0,0,0,0,0,"N",1,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02060","5","483113","78","0","2023","3","","Bristol Bay Borough, Alaska","Private","NAICS 483113 Coastal and great lakes freight transportation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,21,15,12,511307,365501,8662,2458,"",1283.91,90.14,106.61,115.38,94.85,59.89,42.49,0.94,"",1,14.3,6,40.0,-4,-21.1,2,20.0,63425,14.2,9369,2.6,-2023,-18.9,109,4.6
"02063","5","483113","78","0","2023","1","","Chugach Census Area, Alaska","Private","NAICS 483113 Coastal and great lakes freight transportation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",21,6,6,14,122979,122751,2271,1092,"",1125.32,35.60,34.84,78.23,23.48,26.42,20.62,0.47,"",1,5.0,-11,-64.7,-8,-57.1,-7,-33.3,-132407,-51.8,-132635,-51.9,-4260,-65.2,-41,-3.6
"02063","5","483113","78","0","2023","2","","Chugach Census Area, Alaska","Private","NAICS 483113 Coastal and great lakes freight transportation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",22,16,24,48,733501,688382,15239,1924,"",1151.23,77.53,107.83,169.48,102.09,116.38,89.89,0.83,"",-1,-4.3,-4,-20.0,1,4.3,-2,-4.0,128420,21.2,113059,19.7,128,0.8,423,28.2
"02063","5","483113","78","0","2023","3","","Chugach Census Area, Alaska","Private","NAICS 483113 Coastal and great lakes freight transportation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",22,50,42,35,1026938,903217,20289,1866,"",1157.07,150.10,134.23,139.73,104.35,134.49,97.75,0.74,"",0,0.0,-16,-24.2,-15,-26.3,-9,-20.5,-147253,-12.5,-64056,-6.6,-7039,-25.8,243,15.0
"02070","5","483113","78","0","2023","1","N","Dillingham Census Area, Alaska","Private","NAICS 483113 Coastal and great lakes freight transportation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",138.18,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02070","5","483113","78","0","2023","2","N","Dillingham Census Area, Alaska","Private","NAICS 483113 Coastal and great lakes freight transportation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",134.05,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02070","5","483113","78","0","2023","3","N","Dillingham Census Area, Alaska","Private","NAICS 483113 Coastal and great lakes freight transportation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",135.57,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
