"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","48321","57","0","2023","1","","Alabama -- Statewide","Private","NAICS 48321 Inland water transportation","State, NAICS 5-digit -- by ownership sector","All establishment sizes",21,450,464,465,10969190,3917066,21487,1836,"",1.73,1.26,1.30,1.29,1.59,1.49,1.72,1.24,"",3,16.7,42,10.3,64,16.0,43,10.2,2291024,26.4,519911,15.3,-20012,-48.2,208,12.8
"01000","5","48321","57","0","2023","2","","Alabama -- Statewide","Private","NAICS 48321 Inland water transportation","State, NAICS 5-digit -- by ownership sector","All establishment sizes",22,476,481,488,11393571,624791,5336,1820,"",1.77,1.31,1.31,1.28,1.63,1.61,1.29,1.25,"",3,15.8,28,6.2,39,8.8,38,8.4,1925365,20.3,33859,5.7,-2897,-35.2,189,11.6
"01000","5","48321","57","0","2023","3","","Alabama -- Statewide","Private","NAICS 48321 Inland water transportation","State, NAICS 5-digit -- by ownership sector","All establishment sizes",22,449,433,445,12134642,412930,2758,2110,"",1.75,1.18,1.15,1.20,1.75,1.30,0.79,1.49,"",2,10.0,-2,-0.4,-22,-4.8,-17,-3.7,771467,6.8,-177077,-30.0,-5555,-66.8,193,10.1
"01003","5","48321","77","0","2023","1","","Baldwin County, Alabama","Private","NAICS 48321 Inland water transportation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,19,17,17,305324,138930,907,1329,"",6.25,1.37,1.22,1.19,1.43,1.34,1.91,1.14,"",-2,-33.3,3,18.8,-2,-10.5,-2,-10.5,62092,25.5,21336,18.1,-1541,-62.9,290,27.9
"01003","5","48321","77","0","2023","2","","Baldwin County, Alabama","Private","NAICS 48321 Inland water transportation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,21,19,20,350308,28417,337,1347,"",6.07,1.45,1.28,1.27,1.52,1.46,1.85,1.14,"",-1,-20.0,1,5.0,-1,-5.0,1,5.3,40074,12.9,-12872,-31.2,-609,-64.4,134,11.0
"01003","5","48321","77","0","2023","3","","Baldwin County, Alabama","Private","NAICS 48321 Inland water transportation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,20,19,20,395609,10924,268,1547,"",5.97,1.28,1.24,1.35,1.67,0.70,1.70,1.29,"",0,0.0,1,5.3,-1,-5.0,2,11.1,15961,4.2,153,1.4,13,5.1,10,0.7
"01097","5","48321","77","0","2023","1","","Mobile County, Alabama","Private","NAICS 48321 Inland water transportation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,116,120,116,2395191,994994,3174,1570,"",8.57,3.90,4.02,3.87,4.35,4.59,2.68,1.11,"N",1,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01097","5","48321","77","0","2023","2","","Mobile County, Alabama","Private","NAICS 48321 Inland water transportation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,121,125,133,2620024,149662,989,1595,"",9.41,4.04,4.11,4.22,4.59,4.65,2.64,1.11,"N",2,28.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01097","5","48321","77","0","2023","3","","Mobile County, Alabama","Private","NAICS 48321 Inland water transportation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,131,118,123,2588170,95920,354,1606,"",9.32,4.17,3.79,4.01,4.55,3.61,1.04,1.14,"N",2,28.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01103","5","48321","77","0","2023","1","N","Morgan County, Alabama","Private","NAICS 48321 Inland water transportation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",7.97,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01103","5","48321","77","0","2023","2","N","Morgan County, Alabama","Private","NAICS 48321 Inland water transportation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",7.73,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01103","5","48321","77","0","2023","3","N","Morgan County, Alabama","Private","NAICS 48321 Inland water transportation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",7.68,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01123","5","48321","77","0","2023","1","N","Tallapoosa County, Alabama","Private","NAICS 48321 Inland water transportation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",12.40,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01123","5","48321","77","0","2023","2","N","Tallapoosa County, Alabama","Private","NAICS 48321 Inland water transportation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",12.13,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01123","5","48321","77","0","2023","3","N","Tallapoosa County, Alabama","Private","NAICS 48321 Inland water transportation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",12.02,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01125","5","48321","77","0","2023","1","N","Tuscaloosa County, Alabama","Private","NAICS 48321 Inland water transportation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.45,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01125","5","48321","77","0","2023","2","N","Tuscaloosa County, Alabama","Private","NAICS 48321 Inland water transportation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.40,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01125","5","48321","77","0","2023","3","N","Tuscaloosa County, Alabama","Private","NAICS 48321 Inland water transportation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.38,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
