"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","483211","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 483211 Inland water freight transportation","State, NAICS 6-digit -- by ownership sector","All establishment sizes",17,412,423,428,10588283,3657252,19641,1935,"",1.97,1.33,1.36,1.37,1.70,1.60,2.03,1.25,"",5,41.7,41,11.1,63,17.5,45,11.7,2311670,27.9,519908,16.6,-17987,-47.8,220,12.8
"01000","5","483211","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 483211 Inland water freight transportation","State, NAICS 6-digit -- by ownership sector","All establishment sizes",17,436,440,441,10864902,536299,4410,1904,"",1.93,1.41,1.43,1.41,1.74,2.01,1.95,1.23,"",3,21.4,35,8.7,43,10.8,40,10.0,1837977,20.4,20283,3.9,-2501,-36.2,167,9.6
"01000","5","483211","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 483211 Inland water freight transportation","State, NAICS 6-digit -- by ownership sector","All establishment sizes",17,403,394,403,11637883,367041,2264,2238,"",1.90,1.30,1.27,1.30,1.91,1.89,1.48,1.48,"",1,6.2,-2,-0.5,-17,-4.1,-15,-3.6,798991,7.4,-177240,-32.6,-5495,-70.8,211,10.4
"01003","5","483211","78","0","2023","1","N","Baldwin County, Alabama","Private","NAICS 483211 Inland water freight transportation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",6.61,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","483211","78","0","2023","2","N","Baldwin County, Alabama","Private","NAICS 483211 Inland water freight transportation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",6.44,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","483211","78","0","2023","3","N","Baldwin County, Alabama","Private","NAICS 483211 Inland water freight transportation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",6.29,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01097","5","483211","78","0","2023","1","N","Mobile County, Alabama","Private","NAICS 483211 Inland water freight transportation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0,"N",7.55,0,0,0,0,0,0,0,"N",1,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01097","5","483211","78","0","2023","2","N","Mobile County, Alabama","Private","NAICS 483211 Inland water freight transportation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0,"N",7.39,0,0,0,0,0,0,0,"N",1,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01097","5","483211","78","0","2023","3","N","Mobile County, Alabama","Private","NAICS 483211 Inland water freight transportation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0,"N",7.27,0,0,0,0,0,0,0,"N",1,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01103","5","483211","78","0","2023","1","N","Morgan County, Alabama","Private","NAICS 483211 Inland water freight transportation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",11.23,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01103","5","483211","78","0","2023","2","N","Morgan County, Alabama","Private","NAICS 483211 Inland water freight transportation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",10.92,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01103","5","483211","78","0","2023","3","N","Morgan County, Alabama","Private","NAICS 483211 Inland water freight transportation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",10.79,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
