"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","4842","56","0","2023","1","","Alabama -- Statewide","Private","NAICS 4842 Specialized freight trucking","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1287,9625,9659,9731,145706167,75233197,393928,1159,"",1.81,1.59,1.59,1.60,1.84,1.63,1.43,1.15,"",4,0.3,92,1.0,102,1.1,148,1.5,14180940,10.8,1717397,2.3,-390131,-49.8,100,9.4
"01000","5","4842","56","0","2023","2","","Alabama -- Statewide","Private","NAICS 4842 Specialized freight trucking","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1300,9753,9881,9988,152510209,13999945,100523,1188,"",1.81,1.59,1.59,1.58,1.83,1.23,1.05,1.16,"",26,2.0,130,1.4,38,0.4,14,0.1,5280775,3.6,-2066102,-12.9,-98426,-49.5,34,2.9
"01000","5","4842","56","0","2023","3","","Alabama -- Statewide","Private","NAICS 4842 Specialized freight trucking","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1298,9961,9856,9815,151650191,12330138,86614,1181,"",1.80,1.56,1.56,1.57,1.76,1.45,1.20,1.12,"",26,2.0,2,0.0,-6,-0.1,15,0.2,-4369184,-2.8,-1439808,-10.5,-79046,-47.7,-35,-2.9
"01001","5","4842","76","0","2023","1","","Autauga County, Alabama","Private","NAICS 4842 Specialized freight trucking","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,7,13,13,170984,107999,2043,1196,"",0.62,0.20,0.38,0.37,0.47,0.47,1.28,1.47,"N",2,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","4842","76","0","2023","2","","Autauga County, Alabama","Private","NAICS 4842 Specialized freight trucking","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,14,13,13,231609,13376,223,1336,"",0.61,0.40,0.36,0.36,0.57,0.21,0.37,1.53,"N",2,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","4842","76","0","2023","3","","Autauga County, Alabama","Private","NAICS 4842 Specialized freight trucking","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,13,13,15,250611,12323,333,1411,"",0.61,0.36,0.36,0.42,0.60,0.28,0.85,1.59,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","4842","76","0","2023","1","","Baldwin County, Alabama","Private","NAICS 4842 Specialized freight trucking","County, NAICS 4-digit -- by ownership sector","All establishment sizes",49,144,139,149,1450233,984721,6865,775,"",1.31,0.61,0.59,0.62,0.59,0.54,0.65,0.98,"",-2,-3.9,-57,-28.4,-44,-24.0,-31,-17.2,-461910,-24.2,-273564,-21.7,-9210,-57.3,-7,-0.9
"01003","5","4842","76","0","2023","2","","Baldwin County, Alabama","Private","NAICS 4842 Specialized freight trucking","County, NAICS 4-digit -- by ownership sector","All establishment sizes",48,149,149,158,1565142,339838,2890,792,"",1.26,0.61,0.59,0.61,0.57,0.59,0.69,0.95,"",-1,-2.0,-29,-16.3,-29,-16.3,-18,-10.2,-374841,-19.3,-66331,-16.3,-3407,-54.1,-50,-5.9
"01003","5","4842","76","0","2023","3","","Baldwin County, Alabama","Private","NAICS 4842 Specialized freight trucking","County, NAICS 4-digit -- by ownership sector","All establishment sizes",48,155,147,150,1519782,267856,2719,776,"",1.25,0.59,0.57,0.60,0.52,0.64,0.83,0.87,"",-1,-2.0,-5,-3.1,-15,-9.3,-14,-8.5,-396786,-20.7,60176,29.0,-306,-10.1,-134,-14.7
"01005","5","4842","76","0","2023","1","","Barbour County, Alabama","Private","NAICS 4842 Specialized freight trucking","County, NAICS 4-digit -- by ownership sector","All establishment sizes",13,124,126,130,1827544,1029389,3228,1110,"",4.81,5.38,5.48,5.68,8.39,6.21,3.93,1.52,"",-6,-31.6,-23,-15.6,-28,-18.2,-24,-15.6,-502157,-21.6,-215670,-17.3,-8295,-72.0,-72,-6.1
"01005","5","4842","76","0","2023","2","","Barbour County, Alabama","Private","NAICS 4842 Specialized freight trucking","County, NAICS 4-digit -- by ownership sector","All establishment sizes",12,121,120,120,1781497,125889,316,1139,"",4.34,5.25,5.17,5.06,7.75,2.61,0.58,1.50,"",-5,-29.4,-42,-25.8,-45,-27.3,-52,-30.2,-802726,-31.1,-191937,-60.4,-3000,-90.5,-54,-4.5
"01005","5","4842","76","0","2023","3","","Barbour County, Alabama","Private","NAICS 4842 Specialized freight trucking","County, NAICS 4-digit -- by ownership sector","All establishment sizes",12,123,120,125,2032600,111130,423,1275,"",4.42,5.22,5.11,5.45,8.56,3.54,1.33,1.63,"",-4,-25.0,-45,-26.8,-53,-30.6,-40,-24.2,-580496,-22.2,-81056,-42.2,-1438,-77.3,83,7.0
"01007","5","4842","76","0","2023","1","","Bibb County, Alabama","Private","NAICS 4842 Specialized freight trucking","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,53,51,52,734984,424235,1274,1087,"",2.59,3.74,3.58,3.67,4.71,4.18,1.81,1.29,"",0,0.0,-10,-15.9,-10,-16.4,-7,-11.9,-114111,-13.4,-79229,-15.7,-3219,-71.6,16,1.5
"01007","5","4842","76","0","2023","2","","Bibb County, Alabama","Private","NAICS 4842 Specialized freight trucking","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,47,46,43,693682,54825,179,1177,"",2.53,3.33,3.19,2.95,4.23,2.46,0.78,1.34,"",0,0.0,-14,-23.0,-12,-20.7,-18,-29.5,-157374,-18.5,-46691,-46.0,-675,-79.0,86,7.9
"01007","5","4842","76","0","2023","3","","Bibb County, Alabama","Private","NAICS 4842 Specialized freight trucking","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,24,41,45,605304,25229,82,1270,"",2.51,1.65,2.82,3.12,3.59,1.56,0.58,1.42,"",0,0.0,-33,-57.9,-19,-31.7,-12,-21.1,-295186,-32.8,-30428,-54.7,-307,-78.9,76,6.4
