"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","484220","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 484220 Specialized freight (except used goods) trucking, local","State, NAICS 6-digit -- by ownership sector","All establishment sizes",637,3568,3604,3607,49197235,27741243,165753,1053,"",1.55,1.22,1.22,1.22,1.32,1.19,1.04,1.08,"",5,0.8,64,1.8,128,3.7,137,3.9,5675542,13.0,1247101,4.7,-143991,-46.5,92,9.6
"01000","5","484220","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 484220 Specialized freight (except used goods) trucking, local","State, NAICS 6-digit -- by ownership sector","All establishment sizes",639,3596,3620,3608,51914973,5268090,44033,1107,"",1.54,1.19,1.19,1.17,1.25,0.87,0.71,1.06,"",11,1.8,89,2.5,38,1.1,45,1.3,1899668,3.8,-746268,-12.4,-35091,-44.3,23,2.1
"01000","5","484220","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 484220 Specialized freight (except used goods) trucking, local","State, NAICS 6-digit -- by ownership sector","All establishment sizes",644,3614,3642,3644,51808446,4421748,40668,1097,"",1.55,1.16,1.17,1.18,1.19,1.01,0.91,1.02,"",19,3.0,99,2.8,119,3.4,86,2.4,32027,0.1,56415,1.3,-21050,-34.1,-31,-2.7
"01001","5","484220","78","0","2023","1","","Autauga County, Alabama","Private","NAICS 484220 Specialized freight (except used goods) trucking, local","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,7,13,13,170984,107999,2043,1196,"",1.07,0.42,0.77,0.77,0.99,0.94,2.20,1.51,"N",2,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","484220","78","0","2023","2","","Autauga County, Alabama","Private","NAICS 484220 Specialized freight (except used goods) trucking, local","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,14,13,13,231609,13376,223,1336,"",1.07,0.81,0.74,0.74,1.15,0.39,0.58,1.50,"N",2,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","484220","78","0","2023","3","","Autauga County, Alabama","Private","NAICS 484220 Specialized freight (except used goods) trucking, local","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,13,13,15,250611,12323,333,1411,"",1.05,0.73,0.73,0.85,1.20,0.55,1.36,1.55,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","484220","78","0","2023","1","","Baldwin County, Alabama","Private","NAICS 484220 Specialized freight (except used goods) trucking, local","County, NAICS 6-digit -- by ownership sector","All establishment sizes",19,68,65,69,787260,523849,3358,899,"",0.88,0.60,0.56,0.59,0.68,0.57,0.55,1.17,"",-1,-5.0,-16,-19.0,-16,-19.8,-9,-11.5,-82620,-9.5,-34028,-6.1,-3849,-53.4,73,8.8
"01003","5","484220","78","0","2023","2","","Baldwin County, Alabama","Private","NAICS 484220 Specialized freight (except used goods) trucking, local","County, NAICS 6-digit -- by ownership sector","All establishment sizes",19,70,69,69,867324,154205,1713,962,"",0.87,0.58,0.56,0.54,0.63,0.51,0.63,1.13,"",-1,-5.0,-14,-16.7,-16,-18.8,-11,-13.8,-136348,-13.6,-20924,-11.9,-1184,-40.9,32,3.4
"01003","5","484220","78","0","2023","3","","Baldwin County, Alabama","Private","NAICS 484220 Specialized freight (except used goods) trucking, local","County, NAICS 6-digit -- by ownership sector","All establishment sizes",19,66,67,69,806757,111040,1826,922,"",0.86,0.52,0.53,0.56,0.54,0.52,0.90,1.01,"",-1,-5.0,-8,-10.8,-10,-13.0,-6,-8.0,-151433,-15.8,14381,14.9,154,9.2,-56,-5.7
"01005","5","484220","78","0","2023","1","N","Barbour County, Alabama","Private","NAICS 484220 Specialized freight (except used goods) trucking, local","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,0,0,0,0,0,0,0,"N",5.77,0,0,0,0,0,0,0,"N",-2,-18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
