"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","48691","57","0","2023","1","N","Alabama -- Statewide","Private","NAICS 48691 Pipeline transportation of refined petroleum products","State, NAICS 5-digit -- by ownership sector","All establishment sizes",8,0,0,0,0,0,0,0,"N",1.06,0,0,0,0,0,0,0,"N",1,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","48691","57","0","2023","2","","Alabama -- Statewide","Private","NAICS 48691 Pipeline transportation of refined petroleum products","State, NAICS 5-digit -- by ownership sector","All establishment sizes",8,72,73,75,1885734,27588,55,1978,"",1.04,0.72,0.73,0.74,0.77,0.31,0.17,1.05,"N",1,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","48691","57","0","2023","3","","Alabama -- Statewide","Private","NAICS 48691 Pipeline transportation of refined petroleum products","State, NAICS 5-digit -- by ownership sector","All establishment sizes",8,74,73,72,1923092,8853,18,2026,"",1.04,0.73,0.72,0.71,0.81,0.22,0.10,1.12,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","5","48691","77","0","2023","1","","Jefferson County, Alabama","Private","NAICS 48691 Pipeline transportation of refined petroleum products","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,25,23,23,547639,138845,528,1780,"",4.62,1.44,1.31,1.33,0.73,0.67,0.86,0.54,"N",1,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","5","48691","77","0","2023","2","N","Jefferson County, Alabama","Private","NAICS 48691 Pipeline transportation of refined petroleum products","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0,"N",4.53,0,0,0,0,0,0,0,"N",1,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","5","48691","77","0","2023","3","N","Jefferson County, Alabama","Private","NAICS 48691 Pipeline transportation of refined petroleum products","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0,"N",4.51,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01081","5","48691","77","0","2023","1","N","Lee County, Alabama","Private","NAICS 48691 Pipeline transportation of refined petroleum products","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",4.95,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01081","5","48691","77","0","2023","2","N","Lee County, Alabama","Private","NAICS 48691 Pipeline transportation of refined petroleum products","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",4.84,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01081","5","48691","77","0","2023","3","N","Lee County, Alabama","Private","NAICS 48691 Pipeline transportation of refined petroleum products","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",4.80,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01117","5","48691","77","0","2023","1","N","Shelby County, Alabama","Private","NAICS 48691 Pipeline transportation of refined petroleum products","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",5.86,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01117","5","48691","77","0","2023","2","N","Shelby County, Alabama","Private","NAICS 48691 Pipeline transportation of refined petroleum products","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",5.86,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01117","5","48691","77","0","2023","3","N","Shelby County, Alabama","Private","NAICS 48691 Pipeline transportation of refined petroleum products","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",5.80,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04000","5","48691","57","0","2023","1","N","Arizona -- Statewide","Private","NAICS 48691 Pipeline transportation of refined petroleum products","State, NAICS 5-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",0.38,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04000","5","48691","57","0","2023","2","","Arizona -- Statewide","Private","NAICS 48691 Pipeline transportation of refined petroleum products","State, NAICS 5-digit -- by ownership sector","All establishment sizes",5,295,295,291,8561413,132137,1689,2243,"",0.47,1.93,1.94,1.94,2.02,0.98,2.06,1.04,"",1,25.0,50,20.4,51,20.9,42,16.9,232545,2.8,-1996,-1.5,1005,146.9,-361,-13.9
"04000","5","48691","57","0","2023","3","","Arizona -- Statewide","Private","NAICS 48691 Pipeline transportation of refined petroleum products","State, NAICS 5-digit -- by ownership sector","All establishment sizes",5,288,292,298,7269404,128125,2197,1911,"",0.46,1.92,1.90,1.93,1.82,2.12,4.71,0.95,"",1,25.0,30,11.6,32,12.3,38,14.6,78639,1.1,5898,4.8,880,66.8,-222,-10.4
"04013","5","48691","77","0","2023","1","N","Maricopa County, Arizona","Private","NAICS 48691 Pipeline transportation of refined petroleum products","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.15,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04013","5","48691","77","0","2023","2","N","Maricopa County, Arizona","Private","NAICS 48691 Pipeline transportation of refined petroleum products","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.15,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04013","5","48691","77","0","2023","3","N","Maricopa County, Arizona","Private","NAICS 48691 Pipeline transportation of refined petroleum products","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.15,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04019","5","48691","77","0","2023","1","N","Pima County, Arizona","Private","NAICS 48691 Pipeline transportation of refined petroleum products","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.91,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04019","5","48691","77","0","2023","2","N","Pima County, Arizona","Private","NAICS 48691 Pipeline transportation of refined petroleum products","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.89,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
