"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","48899","57","0","2023","1","","Alabama -- Statewide","Private","NAICS 48899 Other support activities for transportation","State, NAICS 5-digit -- by ownership sector","All establishment sizes",18,321,328,337,3580326,2428539,17075,838,"",0.41,0.65,0.66,0.68,0.53,0.78,0.82,0.80,"",-1,-5.3,-86,-21.1,-76,-18.8,-58,-14.7,-330766,-8.5,-534087,-18.0,-16488,-49.1,90,12.0
"01000","5","48899","57","0","2023","2","","Alabama -- Statewide","Private","NAICS 48899 Other support activities for transportation","State, NAICS 5-digit -- by ownership sector","All establishment sizes",19,318,328,329,3777792,619752,5199,894,"",0.42,0.64,0.66,0.67,0.64,0.87,0.98,0.97,"",0,0.0,-49,-13.4,-32,-8.9,-10,-2.9,-299060,-7.3,152193,32.6,-535,-9.3,11,1.2
"01000","5","48899","57","0","2023","3","","Alabama -- Statewide","Private","NAICS 48899 Other support activities for transportation","State, NAICS 5-digit -- by ownership sector","All establishment sizes",20,380,343,331,3727635,513648,4100,816,"",0.43,0.77,0.69,0.67,0.63,0.93,0.96,0.88,"",2,11.1,51,15.5,11,3.3,23,7.5,-47893,-1.3,209474,68.9,102,2.6,-83,-9.2
"01003","5","48899","77","0","2023","1","N","Baldwin County, Alabama","Private","NAICS 48899 Other support activities for transportation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",1.29,0,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","48899","77","0","2023","2","N","Baldwin County, Alabama","Private","NAICS 48899 Other support activities for transportation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",1.65,0,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","48899","77","0","2023","3","N","Baldwin County, Alabama","Private","NAICS 48899 Other support activities for transportation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",1.61,0,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","48899","77","0","2023","1","N","Bibb County, Alabama","Private","NAICS 48899 Other support activities for transportation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",16.64,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","48899","77","0","2023","2","N","Bibb County, Alabama","Private","NAICS 48899 Other support activities for transportation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",15.93,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","48899","77","0","2023","3","N","Bibb County, Alabama","Private","NAICS 48899 Other support activities for transportation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",23.34,0,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","48899","77","0","2023","1","N","Coffee County, Alabama","Private","NAICS 48899 Other support activities for transportation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.69,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","48899","77","0","2023","2","N","Coffee County, Alabama","Private","NAICS 48899 Other support activities for transportation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.59,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
