"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","2","4931","56","0","2023","1","","Alabama -- Statewide","State Government","NAICS 4931 Warehousing and storage","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1,71,68,80,584983,0,0,616,"N",12.80,0,0,0,0,0,0,0,"",0,0.0,1,1.4,-10,-12.8,-8,-9.1,84499,16.9,0,0.0,0,0.0,127,26.0
"01000","2","4931","56","0","2023","2","","Alabama -- Statewide","State Government","NAICS 4931 Warehousing and storage","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1,63,85,86,663342,0,0,654,"N",12.69,0,0,0,0,0,0,0,"",0,0.0,-22,-25.9,3,3.7,1,1.2,21951,3.4,0,0.0,0,0.0,67,11.4
"01000","2","4931","56","0","2023","3","","Alabama -- Statewide","State Government","NAICS 4931 Warehousing and storage","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1,81,81,80,597759,0,0,570,"N",12.71,0,0,0,0,0,0,0,"",0,0.0,-3,-3.6,0,0.0,-4,-4.8,-39937,-6.3,0,0.0,0,0.0,-21,-3.6
"01000","3","4931","56","0","2023","1","N","Alabama -- Statewide","Local Government","NAICS 4931 Warehousing and storage","State, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.62,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","4931","56","0","2023","2","N","Alabama -- Statewide","Local Government","NAICS 4931 Warehousing and storage","State, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.61,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","4931","56","0","2023","3","N","Alabama -- Statewide","Local Government","NAICS 4931 Warehousing and storage","State, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.61,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","4931","56","0","2023","1","","Alabama -- Statewide","Private","NAICS 4931 Warehousing and storage","State, NAICS 4-digit -- by ownership sector","All establishment sizes",303,26183,25828,25025,282743990,186453442,1396979,847,"",1.07,1.02,1.02,1.01,1.10,1.18,1.48,1.08,"",16,5.6,-1223,-4.5,-2793,-9.8,-2675,-9.7,13312440,4.9,-3322943,-1.8,-1005454,-41.9,104,14.0
"01000","5","4931","56","0","2023","2","","Alabama -- Statewide","Private","NAICS 4931 Warehousing and storage","State, NAICS 4-digit -- by ownership sector","All establishment sizes",306,23783,24207,24322,273735007,47516450,396047,874,"",1.06,0.97,0.99,0.99,1.06,1.32,1.56,1.07,"",19,6.6,-1376,-5.5,-577,-2.3,-672,-2.7,29515450,12.1,-1592421,-3.2,-219033,-35.6,122,16.2
"01000","5","4931","56","0","2023","3","","Alabama -- Statewide","Private","NAICS 4931 Warehousing and storage","State, NAICS 4-digit -- by ownership sector","All establishment sizes",310,24322,24202,24261,281558560,39239315,155407,893,"",1.07,0.99,0.99,0.98,1.06,1.32,0.71,1.08,"",18,6.2,-3233,-11.7,-2904,-10.7,-3076,-11.3,-3520574,-1.2,-1125635,-2.8,-364546,-70.1,91,11.3
"01003","5","4931","76","0","2023","1","","Baldwin County, Alabama","Private","NAICS 4931 Warehousing and storage","County, NAICS 4-digit -- by ownership sector","All establishment sizes",12,549,562,553,7932855,4405269,29496,1100,"",0.80,0.55,0.57,0.57,1.00,0.71,0.82,1.77,"",2,20.0,-80,-12.7,-75,-11.8,-90,-14.0,271085,3.5,-382350,-8.0,-25346,-46.2,174,18.8
