"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","49312","57","0","2023","1","","Alabama -- Statewide","Private","NAICS 49312 Refrigerated warehousing and storage","State, NAICS 5-digit -- by ownership sector","All establishment sizes",27,652,667,673,10251070,6293636,24797,1188,"",1.19,0.66,0.67,0.68,0.80,0.80,0.45,1.19,"",3,12.5,78,13.6,87,15.0,87,14.8,2380733,30.2,1192150,23.4,-43154,-63.5,144,13.8
"01000","5","49312","57","0","2023","2","","Alabama -- Statewide","Private","NAICS 49312 Refrigerated warehousing and storage","State, NAICS 5-digit -- by ownership sector","All establishment sizes",28,669,691,675,9130671,1022478,3864,1035,"",1.21,0.68,0.70,0.68,0.75,0.59,0.28,1.10,"",5,21.7,61,10.0,85,14.0,57,9.2,1183056,14.9,-18091,-1.7,-10358,-72.8,34,3.4
"01000","5","49312","57","0","2023","3","","Alabama -- Statewide","Private","NAICS 49312 Refrigerated warehousing and storage","State, NAICS 5-digit -- by ownership sector","All establishment sizes",28,647,647,646,8991034,599642,2199,1070,"",1.20,0.66,0.66,0.65,0.69,0.43,0.19,1.05,"",4,16.7,30,4.9,23,3.7,20,3.2,466555,5.5,-534287,-47.1,-9676,-81.5,16,1.5
"01015","5","49312","77","0","2023","1","N","Calhoun County, Alabama","Private","NAICS 49312 Refrigerated warehousing and storage","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",4.91,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","49312","77","0","2023","2","N","Calhoun County, Alabama","Private","NAICS 49312 Refrigerated warehousing and storage","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",4.83,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","49312","77","0","2023","3","N","Calhoun County, Alabama","Private","NAICS 49312 Refrigerated warehousing and storage","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",4.82,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01055","5","49312","77","0","2023","1","N","Etowah County, Alabama","Private","NAICS 49312 Refrigerated warehousing and storage","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0,"N",14.52,0,0,0,0,0,0,0,"N",1,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01055","5","49312","77","0","2023","2","N","Etowah County, Alabama","Private","NAICS 49312 Refrigerated warehousing and storage","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0,"N",14.18,0,0,0,0,0,0,0,"N",1,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01055","5","49312","77","0","2023","3","N","Etowah County, Alabama","Private","NAICS 49312 Refrigerated warehousing and storage","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0,"N",14.17,0,0,0,0,0,0,0,"N",1,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01069","5","49312","77","0","2023","1","N","Houston County, Alabama","Private","NAICS 49312 Refrigerated warehousing and storage","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",7.79,0,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
