"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","512110","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 512110 Motion picture and video production","State, NAICS 6-digit -- by ownership sector","All establishment sizes",146,533,539,483,8868832,4210348,20802,1316,"",0.45,0.16,0.15,0.15,0.12,0.18,0.06,0.78,"",12,9.0,127,31.3,44,8.9,-187,-27.9,-67592,-0.8,-105711,-2.4,-94710,-82.0,3,0.2
"01000","5","512110","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 512110 Motion picture and video production","State, NAICS 6-digit -- by ownership sector","All establishment sizes",147,587,790,737,14353490,3152998,14792,1567,"",0.44,0.20,0.27,0.27,0.22,0.59,0.15,0.89,"",19,14.8,54,10.1,184,30.4,137,22.8,5566007,63.3,1195995,61.1,-26237,-63.9,401,34.4
"01000","5","512110","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 512110 Motion picture and video production","State, NAICS 6-digit -- by ownership sector","All establishment sizes",150,563,599,411,9986365,1438465,5495,1465,"",0.45,0.23,0.25,0.18,0.20,0.45,0.10,0.88,"",15,11.1,117,26.2,95,18.8,-34,-7.6,2566913,34.6,496286,52.7,-10006,-64.6,238,19.4
"01001","5","512110","78","0","2023","1","N","Autauga County, Alabama","Private","NAICS 512110 Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.45,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","512110","78","0","2023","2","N","Autauga County, Alabama","Private","NAICS 512110 Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.89,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","512110","78","0","2023","3","N","Autauga County, Alabama","Private","NAICS 512110 Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.87,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","512110","78","0","2023","1","","Baldwin County, Alabama","Private","NAICS 512110 Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",10,10,11,10,166014,76405,353,1236,"",0.59,0.08,0.08,0.08,0.07,0.08,0.03,0.92,"",2,25.0,0,0.0,1,10.0,-1,-9.1,29473,21.6,-524,-0.7,-186,-34.5,220,21.7
"01003","5","512110","78","0","2023","2","","Baldwin County, Alabama","Private","NAICS 512110 Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",10,11,11,12,158517,6385,13,1076,"",0.57,0.09,0.09,0.11,0.07,0.02,0.00,0.75,"",2,25.0,0,0.0,0,0.0,3,33.3,20220,14.6,835,15.0,-25,-65.8,46,4.5
"01003","5","512110","78","0","2023","3","","Baldwin County, Alabama","Private","NAICS 512110 Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",11,11,12,12,179405,12313,224,1183,"",0.61,0.11,0.12,0.13,0.10,0.08,0.09,0.84,"",3,37.5,1,10.0,2,20.0,3,33.3,33948,23.3,4313,53.9,168,300.0,26,2.2
"01015","5","512110","78","0","2023","1","N","Calhoun County, Alabama","Private","NAICS 512110 Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.17,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","512110","78","0","2023","2","N","Calhoun County, Alabama","Private","NAICS 512110 Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.17,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","512110","78","0","2023","3","N","Calhoun County, Alabama","Private","NAICS 512110 Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.17,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01029","5","512110","78","0","2023","1","N","Cleburne County, Alabama","Private","NAICS 512110 Motion picture and video production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.66,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
