"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","51213","57","0","2023","1","","Alabama -- Statewide","Private","NAICS 51213 Motion picture and video exhibition","State, NAICS 5-digit -- by ownership sector","All establishment sizes",48,1076,1074,1094,4428314,3651581,22537,315,"",0.84,0.68,0.69,0.69,0.69,0.75,1.09,1.00,"",-2,-4.0,101,10.4,98,10.0,124,12.8,524840,13.4,457004,14.3,-16860,-42.8,7,2.3
"01000","5","51213","57","0","2023","2","","Alabama -- Statewide","Private","NAICS 51213 Motion picture and video exhibition","State, NAICS 5-digit -- by ownership sector","All establishment sizes",47,1071,1179,1251,4478731,2183029,13518,295,"",0.83,0.66,0.69,0.69,0.66,1.09,1.23,0.97,"",-1,-2.1,107,11.1,146,14.1,114,10.0,633959,16.5,193835,9.7,-12014,-47.1,12,4.2
"01000","5","51213","57","0","2023","3","","Alabama -- Statewide","Private","NAICS 51213 Motion picture and video exhibition","State, NAICS 5-digit -- by ownership sector","All establishment sizes",49,1267,1184,1157,5143828,2343386,17048,329,"",0.86,0.69,0.68,0.71,0.67,1.17,1.52,0.96,"",1,2.1,89,7.6,89,8.1,130,12.7,424093,9.0,258987,12.4,-8765,-34.0,-1,-0.3
"01003","5","51213","77","0","2023","1","N","Baldwin County, Alabama","Private","NAICS 51213 Motion picture and video exhibition","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",1.00,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","51213","77","0","2023","2","N","Baldwin County, Alabama","Private","NAICS 51213 Motion picture and video exhibition","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",1.00,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","51213","77","0","2023","3","N","Baldwin County, Alabama","Private","NAICS 51213 Motion picture and video exhibition","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.99,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","51213","77","0","2023","1","N","Calhoun County, Alabama","Private","NAICS 51213 Motion picture and video exhibition","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.98,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","51213","77","0","2023","2","N","Calhoun County, Alabama","Private","NAICS 51213 Motion picture and video exhibition","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.98,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","51213","77","0","2023","3","N","Calhoun County, Alabama","Private","NAICS 51213 Motion picture and video exhibition","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.98,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","51213","77","0","2023","1","N","Coffee County, Alabama","Private","NAICS 51213 Motion picture and video exhibition","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.09,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","51213","77","0","2023","2","N","Coffee County, Alabama","Private","NAICS 51213 Motion picture and video exhibition","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.08,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","51213","77","0","2023","3","N","Coffee County, Alabama","Private","NAICS 51213 Motion picture and video exhibition","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.05,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01039","5","51213","77","0","2023","1","N","Covington County, Alabama","Private","NAICS 51213 Motion picture and video exhibition","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.54,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01039","5","51213","77","0","2023","2","N","Covington County, Alabama","Private","NAICS 51213 Motion picture and video exhibition","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.54,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01039","5","51213","77","0","2023","3","N","Covington County, Alabama","Private","NAICS 51213 Motion picture and video exhibition","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.54,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","51213","77","0","2023","1","N","Cullman County, Alabama","Private","NAICS 51213 Motion picture and video exhibition","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.23,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
