"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","513110","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 513110 Newspaper publishers","State, NAICS 6-digit -- by ownership sector","All establishment sizes",141,1146,1143,1137,16546713,7952236,62560,1115,"",1.47,0.85,0.85,0.86,0.75,0.82,0.99,0.88,"",-5,-3.4,-129,-10.1,-143,-11.1,-134,-10.5,-68380,-0.4,-596363,-7.0,-84131,-57.4,114,11.4
"01000","5","513110","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 513110 Newspaper publishers","State, NAICS 6-digit -- by ownership sector","All establishment sizes",143,1070,998,1005,13466797,1152568,9124,1011,"",1.47,0.81,0.77,0.77,0.71,0.64,0.77,0.91,"",3,2.1,-187,-14.9,-243,-19.6,-241,-19.3,-2301506,-14.6,-356474,-23.6,-13616,-59.9,39,4.0
"01000","5","513110","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 513110 Newspaper publishers","State, NAICS 6-digit -- by ownership sector","All establishment sizes",146,1003,1001,1010,17575151,687922,5870,1346,"",1.51,0.77,0.78,0.79,0.89,0.55,0.67,1.14,"",6,4.3,-225,-18.3,-194,-16.2,-165,-14.0,1281833,7.9,-172298,-20.0,-8187,-58.2,301,28.8
"01003","5","513110","78","0","2023","1","","Baldwin County, Alabama","Private","NAICS 513110 Newspaper publishers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,19,20,19,256410,150536,701,1020,"",0.79,0.36,0.38,0.36,0.37,0.40,0.29,1.01,"",-1,-20.0,0,0.0,0,0.0,0,0.0,38805,17.8,5372,3.7,-526,-42.9,154,17.8
"01003","5","513110","78","0","2023","2","","Baldwin County, Alabama","Private","NAICS 513110 Newspaper publishers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,21,22,22,249393,31775,553,885,"",0.78,0.40,0.42,0.41,0.40,0.35,1.06,0.97,"",-1,-20.0,3,16.7,4,22.2,3,15.8,5660,2.3,15936,100.6,413,295.0,-138,-13.5
"01003","5","513110","78","0","2023","3","","Baldwin County, Alabama","Private","NAICS 513110 Newspaper publishers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,22,21,24,281453,17241,346,969,"",0.78,0.41,0.40,0.47,0.42,0.28,0.88,0.97,"",0,0.0,2,10.0,1,5.0,5,26.3,32713,13.2,-2542,-12.8,174,101.2,-4,-0.4
"01005","5","513110","78","0","2023","1","N","Barbour County, Alabama","Private","NAICS 513110 Newspaper publishers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.74,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","513110","78","0","2023","2","N","Barbour County, Alabama","Private","NAICS 513110 Newspaper publishers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.68,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","513110","78","0","2023","3","N","Barbour County, Alabama","Private","NAICS 513110 Newspaper publishers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.75,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","513110","78","0","2023","1","N","Bibb County, Alabama","Private","NAICS 513110 Newspaper publishers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",3.85,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","513110","78","0","2023","2","N","Bibb County, Alabama","Private","NAICS 513110 Newspaper publishers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",3.75,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","513110","78","0","2023","3","N","Bibb County, Alabama","Private","NAICS 513110 Newspaper publishers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",3.75,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","513110","78","0","2023","1","N","Blount County, Alabama","Private","NAICS 513110 Newspaper publishers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.74,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","513110","78","0","2023","2","N","Blount County, Alabama","Private","NAICS 513110 Newspaper publishers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.74,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","513110","78","0","2023","3","N","Blount County, Alabama","Private","NAICS 513110 Newspaper publishers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.74,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","5","513110","78","0","2023","1","N","Bullock County, Alabama","Private","NAICS 513110 Newspaper publishers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",7.65,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","5","513110","78","0","2023","2","N","Bullock County, Alabama","Private","NAICS 513110 Newspaper publishers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",7.62,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","5","513110","78","0","2023","3","N","Bullock County, Alabama","Private","NAICS 513110 Newspaper publishers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",7.80,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","513110","78","0","2023","1","N","Butler County, Alabama","Private","NAICS 513110 Newspaper publishers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",5.88,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","513110","78","0","2023","2","N","Butler County, Alabama","Private","NAICS 513110 Newspaper publishers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",5.90,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","513110","78","0","2023","3","N","Butler County, Alabama","Private","NAICS 513110 Newspaper publishers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",5.97,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
