"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","519290","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 519290 Web search portals and all other information services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",225,755,757,735,22606999,5834831,34787,2322,"",1.15,0.35,0.35,0.34,0.15,0.30,0.37,0.42,"",-8,-3.4,37,5.2,40,5.6,22,3.1,-1384855,-5.8,71282,1.2,-46484,-57.2,-256,-9.9
"01000","5","519290","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 519290 Web search portals and all other information services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",223,733,741,755,20065187,717938,3417,2077,"",1.12,0.35,0.36,0.36,0.16,0.40,0.26,0.45,"",-7,-3.0,-19,-2.5,-29,-3.8,-8,-1.0,-1604938,-7.4,-252654,-26.0,-10829,-76.0,-112,-5.1
"01000","5","519290","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 519290 Web search portals and all other information services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",219,740,748,740,20498397,544610,3188,2123,"",1.09,0.35,0.36,0.35,0.16,0.44,0.31,0.46,"",-11,-4.8,-32,-4.1,-40,-5.1,-28,-3.6,1436741,7.5,-411547,-43.0,-12167,-79.2,233,12.3
"01003","5","519290","78","0","2023","1","N","Baldwin County, Alabama","Private","NAICS 519290 Web search portals and all other information services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.29,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","519290","78","0","2023","2","N","Baldwin County, Alabama","Private","NAICS 519290 Web search portals and all other information services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",0.38,0,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","519290","78","0","2023","3","N","Baldwin County, Alabama","Private","NAICS 519290 Web search portals and all other information services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",0.37,0,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","519290","78","0","2023","1","N","Calhoun County, Alabama","Private","NAICS 519290 Web search portals and all other information services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",1.14,0,0,0,0,0,0,0,"N",-1,-20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","519290","78","0","2023","2","N","Calhoun County, Alabama","Private","NAICS 519290 Web search portals and all other information services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",1.12,0,0,0,0,0,0,0,"N",-1,-20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","519290","78","0","2023","3","N","Calhoun County, Alabama","Private","NAICS 519290 Web search portals and all other information services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",1.11,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01019","5","519290","78","0","2023","1","N","Cherokee County, Alabama","Private","NAICS 519290 Web search portals and all other information services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.65,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
