"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","524210","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 524210 Insurance agencies and brokerages","State, NAICS 6-digit -- by ownership sector","All establishment sizes",2745,12897,13005,13049,332617410,99871866,480025,1971,"",1.34,1.00,1.01,1.01,1.11,0.93,0.95,1.10,"",56,2.1,974,8.2,972,8.1,1009,8.4,49417890,17.4,9573748,10.6,-467434,-49.3,155,8.5
"01000","5","524210","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 524210 Insurance agencies and brokerages","State, NAICS 6-digit -- by ownership sector","All establishment sizes",2766,13150,13166,13238,254472699,12177061,86096,1485,"",1.33,1.02,1.02,1.02,1.04,0.74,0.97,1.02,"",98,3.7,974,8.0,951,7.8,912,7.4,18404819,7.8,-957195,-7.3,-77606,-47.4,1,0.1
"01000","5","524210","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 524210 Insurance agencies and brokerages","State, NAICS 6-digit -- by ownership sector","All establishment sizes",2822,13411,13481,13417,278640649,9542309,72030,1595,"",1.35,1.01,1.02,1.01,1.12,0.84,1.08,1.10,"",102,3.8,933,7.5,848,6.7,706,5.6,28701941,11.5,-2113418,-18.1,-79077,-52.3,70,4.6
"01001","5","524210","78","0","2023","1","N","Autauga County, Alabama","Private","NAICS 524210 Insurance agencies and brokerages","County, NAICS 6-digit -- by ownership sector","All establishment sizes",25,0,0,0,0,0,0,0,"N",1.79,0,0,0,0,0,0,0,"N",-3,-10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","524210","78","0","2023","2","","Autauga County, Alabama","Private","NAICS 524210 Insurance agencies and brokerages","County, NAICS 6-digit -- by ownership sector","All establishment sizes",24,60,62,65,950122,46871,391,1173,"",1.71,0.81,0.84,0.87,0.80,0.50,0.70,0.95,"N",-1,-4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","524210","78","0","2023","3","","Autauga County, Alabama","Private","NAICS 524210 Insurance agencies and brokerages","County, NAICS 6-digit -- by ownership sector","All establishment sizes",25,62,60,57,961442,33642,240,1240,"",1.74,0.81,0.79,0.76,0.80,0.57,0.66,1.02,"N",1,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","524210","78","0","2023","1","","Baldwin County, Alabama","Private","NAICS 524210 Insurance agencies and brokerages","County, NAICS 6-digit -- by ownership sector","All establishment sizes",114,398,400,390,6524187,2999283,14454,1267,"",1.06,0.80,0.80,0.76,0.70,0.71,0.75,0.89,"",13,12.9,21,5.6,17,4.4,14,3.7,875573,15.5,95249,3.3,-18188,-55.7,120,10.5
"01003","5","524210","78","0","2023","2","","Baldwin County, Alabama","Private","NAICS 524210 Insurance agencies and brokerages","County, NAICS 6-digit -- by ownership sector","All establishment sizes",111,402,395,406,6901489,339418,2184,1324,"",1.01,0.78,0.76,0.76,0.85,0.41,0.56,1.12,"",7,6.7,-2,-0.5,-10,-2.5,2,0.5,697589,11.2,-117508,-25.7,-3308,-60.2,144,12.2
"01003","5","524210","78","0","2023","3","","Baldwin County, Alabama","Private","NAICS 524210 Insurance agencies and brokerages","County, NAICS 6-digit -- by ownership sector","All establishment sizes",114,416,416,406,7147207,306445,2122,1332,"",1.02,0.76,0.77,0.77,0.84,0.54,0.70,1.09,"",5,4.6,6,1.5,7,1.7,12,3.0,526428,8.0,6020,2.0,-1647,-43.7,72,5.7
"01005","5","524210","78","0","2023","1","","Barbour County, Alabama","Private","NAICS 524210 Insurance agencies and brokerages","County, NAICS 6-digit -- by ownership sector","All establishment sizes",13,45,45,45,515784,312359,2752,882,"",1.67,0.92,0.92,0.93,0.62,0.81,1.83,0.68,"N",-1,-7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
