"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","524292","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 524292 Pharmacy benefit management and other third party administration of insurance and pension funds","State, NAICS 6-digit -- by ownership sector","All establishment sizes",197,2115,2087,2136,42096143,16753258,181209,1533,"",1.64,0.72,0.71,0.73,0.70,0.66,1.29,0.97,"",23,13.2,272,14.8,227,12.2,315,17.3,6084091,16.9,-370627,-2.2,-83172,-31.5,29,1.9
"01000","5","524292","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 524292 Pharmacy benefit management and other third party administration of insurance and pension funds","State, NAICS 6-digit -- by ownership sector","All establishment sizes",199,2093,2094,2121,35713917,2485770,42341,1307,"",1.63,0.72,0.72,0.73,0.68,0.68,1.94,0.94,"",20,11.2,234,12.6,172,8.9,240,12.8,5261695,17.3,-63537,-2.5,-14374,-25.3,66,5.3
"01000","5","524292","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 524292 Pharmacy benefit management and other third party administration of insurance and pension funds","State, NAICS 6-digit -- by ownership sector","All establishment sizes",204,2125,2175,2191,37421847,2207310,45033,1330,"",1.65,0.73,0.75,0.75,0.73,0.89,2.84,0.98,"",14,7.4,230,12.1,257,13.4,351,19.1,4946497,15.2,535569,32.0,8372,22.8,4,0.3
"01003","5","524292","78","0","2023","1","N","Baldwin County, Alabama","Private","NAICS 524292 Pharmacy benefit management and other third party administration of insurance and pension funds","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,0,0,0,0,0,0,0,"N",0.95,0,0,0,0,0,0,0,"N",-1,-14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","524292","78","0","2023","2","","Baldwin County, Alabama","Private","NAICS 524292 Pharmacy benefit management and other third party administration of insurance and pension funds","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,135,128,124,1490027,34850,280,889,"",0.93,1.16,1.09,1.03,0.86,0.19,0.29,0.79,"",0,0.0,-3,-2.2,-8,-5.9,-15,-10.8,-65270,-4.2,-105331,-75.1,-3153,-91.8,20,2.3
"01003","5","524292","78","0","2023","3","","Baldwin County, Alabama","Private","NAICS 524292 Pharmacy benefit management and other third party administration of insurance and pension funds","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,126,120,113,1435495,33947,268,923,"",0.91,1.05,1.02,0.97,0.82,0.28,0.37,0.80,"",0,0.0,-14,-10.0,-24,-16.7,-30,-21.0,-234561,-14.0,-53478,-61.2,-1553,-85.3,20,2.2
"01009","5","524292","78","0","2023","1","N","Blount County, Alabama","Private","NAICS 524292 Pharmacy benefit management and other third party administration of insurance and pension funds","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.39,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","524292","78","0","2023","2","N","Blount County, Alabama","Private","NAICS 524292 Pharmacy benefit management and other third party administration of insurance and pension funds","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.38,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","524292","78","0","2023","3","N","Blount County, Alabama","Private","NAICS 524292 Pharmacy benefit management and other third party administration of insurance and pension funds","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.36,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","524292","78","0","2023","1","N","Calhoun County, Alabama","Private","NAICS 524292 Pharmacy benefit management and other third party administration of insurance and pension funds","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.46,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","524292","78","0","2023","2","N","Calhoun County, Alabama","Private","NAICS 524292 Pharmacy benefit management and other third party administration of insurance and pension funds","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.46,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","524292","78","0","2023","3","N","Calhoun County, Alabama","Private","NAICS 524292 Pharmacy benefit management and other third party administration of insurance and pension funds","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.45,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","524292","78","0","2023","1","N","Colbert County, Alabama","Private","NAICS 524292 Pharmacy benefit management and other third party administration of insurance and pension funds","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.68,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","524292","78","0","2023","2","N","Colbert County, Alabama","Private","NAICS 524292 Pharmacy benefit management and other third party administration of insurance and pension funds","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.67,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","524292","78","0","2023","3","N","Colbert County, Alabama","Private","NAICS 524292 Pharmacy benefit management and other third party administration of insurance and pension funds","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.63,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
