"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","532284","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 532284 Recreational goods rental","State, NAICS 6-digit -- by ownership sector","All establishment sizes",41,104,109,163,1143496,743442,6994,702,"",0.97,0.53,0.55,0.76,0.59,0.67,0.89,0.96,"",6,17.1,10,10.6,12,12.4,30,22.6,299079,35.4,180072,32.0,994,16.6,101,16.8
"01000","5","532284","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 532284 Recreational goods rental","State, NAICS 6-digit -- by ownership sector","All establishment sizes",44,192,256,329,2334570,1018860,6802,693,"",1.01,0.81,0.96,0.95,1.09,2.09,1.36,1.19,"",10,29.4,2,1.1,30,13.3,55,20.1,381998,19.6,72268,7.6,-3161,-31.7,40,6.1
"01000","5","532284","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 532284 Recreational goods rental","State, NAICS 6-digit -- by ownership sector","All establishment sizes",44,330,274,208,2786399,755692,4966,792,"",1.00,0.88,0.77,0.73,1.08,1.31,0.80,1.36,"",7,18.9,33,11.1,21,8.3,7,3.5,491644,21.4,42770,6.0,-3183,-39.1,87,12.3
"01003","5","532284","78","0","2023","1","","Baldwin County, Alabama","Private","NAICS 532284 Recreational goods rental","County, NAICS 6-digit -- by ownership sector","All establishment sizes",15,49,52,106,773737,441855,2511,863,"",6.72,6.45,6.73,12.55,12.90,10.09,8.38,1.48,"",1,7.1,0,0.0,2,4.0,22,26.2,176528,29.6,99610,29.1,-134,-5.1,110,14.6
"01003","5","532284","78","0","2023","2","","Baldwin County, Alabama","Private","NAICS 532284 Recreational goods rental","County, NAICS 6-digit -- by ownership sector","All establishment sizes",18,122,163,227,1744341,784727,3373,786,"",7.79,12.89,15.09,15.98,24.77,32.08,15.30,1.66,"",4,28.6,-4,-3.2,12,7.9,36,18.8,297304,20.5,66205,9.2,-2487,-42.4,72,10.1
"01003","5","532284","78","0","2023","3","","Baldwin County, Alabama","Private","NAICS 532284 Recreational goods rental","County, NAICS 6-digit -- by ownership sector","All establishment sizes",18,231,171,126,2189300,607727,3100,957,"",7.63,14.98,11.77,11.07,24.92,21.29,11.09,1.95,"",3,20.0,39,20.3,16,10.3,11,9.6,498951,29.5,140541,30.1,-842,-21.4,113,13.4
"01019","5","532284","78","0","2023","1","N","Cherokee County, Alabama","Private","NAICS 532284 Recreational goods rental","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",7.59,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01019","5","532284","78","0","2023","2","N","Cherokee County, Alabama","Private","NAICS 532284 Recreational goods rental","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",7.30,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01019","5","532284","78","0","2023","3","N","Cherokee County, Alabama","Private","NAICS 532284 Recreational goods rental","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",7.30,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","532284","78","0","2023","1","N","Cullman County, Alabama","Private","NAICS 532284 Recreational goods rental","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.66,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","532284","78","0","2023","2","N","Cullman County, Alabama","Private","NAICS 532284 Recreational goods rental","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.60,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","532284","78","0","2023","3","N","Cullman County, Alabama","Private","NAICS 532284 Recreational goods rental","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.58,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01045","5","532284","78","0","2023","1","N","Dale County, Alabama","Private","NAICS 532284 Recreational goods rental","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",3.36,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01045","5","532284","78","0","2023","2","N","Dale County, Alabama","Private","NAICS 532284 Recreational goods rental","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",3.26,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
