"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","541199","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 541199 All other legal services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",59,148,158,147,2218943,1127794,12062,1130,"",0.48,0.29,0.30,0.28,0.23,0.30,0.50,0.80,"",9,18.0,10,7.2,16,11.3,9,6.5,624799,39.2,156122,16.1,-5265,-30.4,250,28.4
"01000","5","541199","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 541199 All other legal services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",63,153,143,156,2132211,193590,1683,1089,"",0.49,0.29,0.27,0.29,0.24,0.30,0.32,0.83,"",11,21.2,25,19.5,8,5.9,28,21.9,550944,34.8,-25553,-11.7,-2389,-58.7,156,16.7
"01000","5","541199","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 541199 All other legal services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",61,156,154,149,2192046,199701,1640,1102,"",0.47,0.29,0.29,0.28,0.23,0.39,0.40,0.82,"",4,7.0,-12,-7.1,-10,-6.1,18,13.7,246766,12.7,-99436,-33.2,-5740,-77.8,132,13.6
"01003","5","541199","78","0","2023","1","N","Baldwin County, Alabama","Private","NAICS 541199 All other legal services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.31,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","541199","78","0","2023","2","N","Baldwin County, Alabama","Private","NAICS 541199 All other legal services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.30,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","541199","78","0","2023","3","N","Baldwin County, Alabama","Private","NAICS 541199 All other legal services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.29,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","541199","78","0","2023","1","N","Chambers County, Alabama","Private","NAICS 541199 All other legal services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.65,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","541199","78","0","2023","2","N","Chambers County, Alabama","Private","NAICS 541199 All other legal services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.62,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","541199","78","0","2023","3","N","Chambers County, Alabama","Private","NAICS 541199 All other legal services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.57,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01045","5","541199","78","0","2023","1","-","Dale County, Alabama","Private","NAICS 541199 All other legal services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01045","5","541199","78","0","2023","2","N","Dale County, Alabama","Private","NAICS 541199 All other legal services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.11,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01045","5","541199","78","0","2023","3","N","Dale County, Alabama","Private","NAICS 541199 All other legal services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.08,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01049","5","541199","78","0","2023","1","N","DeKalb County, Alabama","Private","NAICS 541199 All other legal services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.89,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01049","5","541199","78","0","2023","2","N","DeKalb County, Alabama","Private","NAICS 541199 All other legal services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.86,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01049","5","541199","78","0","2023","3","N","DeKalb County, Alabama","Private","NAICS 541199 All other legal services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.83,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01071","5","541199","78","0","2023","1","N","Jackson County, Alabama","Private","NAICS 541199 All other legal services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.08,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01071","5","541199","78","0","2023","2","N","Jackson County, Alabama","Private","NAICS 541199 All other legal services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.03,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01071","5","541199","78","0","2023","3","N","Jackson County, Alabama","Private","NAICS 541199 All other legal services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.01,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","5","541199","78","0","2023","1","","Jefferson County, Alabama","Private","NAICS 541199 All other legal services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",19,43,43,42,499696,305167,1871,901,"",1.08,0.47,0.47,0.47,0.25,0.45,0.46,0.53,"",2,11.8,0,0.0,1,2.4,3,7.7,-97250,-16.3,1645,0.5,-3896,-67.6,-210,-18.9
"01073","5","541199","78","0","2023","2","","Jefferson County, Alabama","Private","NAICS 541199 All other legal services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",21,44,42,51,509263,94473,643,858,"",1.14,0.48,0.46,0.55,0.28,0.88,0.79,0.57,"",4,23.5,14,46.7,8,23.5,17,50.0,68503,15.5,43320,84.7,-604,-48.4,-180,-17.3
"01073","5","541199","78","0","2023","3","","Jefferson County, Alabama","Private","NAICS 541199 All other legal services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",20,52,43,36,464696,71872,504,819,"",1.06,0.55,0.46,0.39,0.25,0.84,0.79,0.53,"",1,5.3,23,79.3,11,34.4,-4,-10.0,-67930,-12.8,-2327,-3.1,-1066,-67.9,-398,-32.7
"01077","5","541199","78","0","2023","1","N","Lauderdale County, Alabama","Private","NAICS 541199 All other legal services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.04,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01077","5","541199","78","0","2023","2","N","Lauderdale County, Alabama","Private","NAICS 541199 All other legal services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.99,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01077","5","541199","78","0","2023","3","N","Lauderdale County, Alabama","Private","NAICS 541199 All other legal services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.97,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01081","5","541199","78","0","2023","1","N","Lee County, Alabama","Private","NAICS 541199 All other legal services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.30,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01081","5","541199","78","0","2023","2","N","Lee County, Alabama","Private","NAICS 541199 All other legal services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.29,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01081","5","541199","78","0","2023","3","-","Lee County, Alabama","Private","NAICS 541199 All other legal services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",-1,-100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01089","5","541199","78","0","2023","1","N","Madison County, Alabama","Private","NAICS 541199 All other legal services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0,"N",0.49,0,0,0,0,0,0,0,"N",2,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01089","5","541199","78","0","2023","2","","Madison County, Alabama","Private","NAICS 541199 All other legal services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,5,4,4,82191,386,10,1459,"",0.47,0.09,0.07,0.07,0.07,0.01,0.02,0.87,"N",1,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01089","5","541199","78","0","2023","3","N","Madison County, Alabama","Private","NAICS 541199 All other legal services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0,"N",0.46,0,0,0,0,0,0,0,"N",1,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01095","5","541199","78","0","2023","1","N","Marshall County, Alabama","Private","NAICS 541199 All other legal services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.03,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01095","5","541199","78","0","2023","2","N","Marshall County, Alabama","Private","NAICS 541199 All other legal services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.99,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
