"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","541211","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 541211 Offices of certified public accountants","State, NAICS 6-digit -- by ownership sector","All establishment sizes",992,6599,6871,6939,131973198,53810166,191755,1492,"",1.23,0.89,0.89,0.90,0.85,0.82,0.66,0.95,"",58,6.2,240,3.8,254,3.8,300,4.5,17891506,15.7,3760875,7.5,-304610,-61.4,150,11.2
"01000","5","541211","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 541211 Offices of certified public accountants","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1003,6861,6605,6772,143363463,5784857,29065,1635,"",1.23,0.90,0.91,0.91,0.84,0.63,0.63,0.93,"",71,7.6,313,4.8,329,5.2,493,7.9,17584449,14.0,119745,2.1,-39015,-57.3,116,7.6
"01000","5","541211","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 541211 Offices of certified public accountants","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1020,6709,6702,6736,139510766,5328744,24283,1598,"",1.24,0.90,0.91,0.94,0.79,0.84,0.65,0.86,"",67,7.0,385,6.1,394,6.2,422,6.7,12614629,9.9,82345,1.6,-41352,-63.0,52,3.4
"01001","5","541211","78","0","2023","1","","Autauga County, Alabama","Private","NAICS 541211 Offices of certified public accountants","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,16,16,19,244892,100100,200,1108,"",0.73,0.38,0.37,0.43,0.34,0.31,0.12,0.87,"",0,0.0,-3,-15.8,-5,-23.8,0,0.0,-525,-0.2,-11603,-10.4,-581,-74.4,148,15.4
"01001","5","541211","78","0","2023","2","","Autauga County, Alabama","Private","NAICS 541211 Offices of certified public accountants","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,19,18,17,453912,13108,27,1940,"",0.72,0.44,0.43,0.40,0.55,0.25,0.09,1.30,"",0,0.0,0,0.0,0,0.0,-2,-10.5,103831,29.7,-7104,-35.1,-116,-81.1,497,34.4
"01001","5","541211","78","0","2023","3","N","Autauga County, Alabama","Private","NAICS 541211 Offices of certified public accountants","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",0.71,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","541211","78","0","2023","1","","Baldwin County, Alabama","Private","NAICS 541211 Offices of certified public accountants","County, NAICS 6-digit -- by ownership sector","All establishment sizes",48,221,222,218,3580230,1695525,6448,1250,"",1.13,0.76,0.74,0.72,0.74,0.66,0.58,1.00,"",6,14.3,4,1.8,3,1.4,-7,-3.1,521615,17.1,82512,5.1,-10169,-61.2,182,17.0
"01003","5","541211","78","0","2023","2","","Baldwin County, Alabama","Private","NAICS 541211 Offices of certified public accountants","County, NAICS 6-digit -- by ownership sector","All establishment sizes",47,227,212,218,3759453,175344,617,1320,"",1.09,0.75,0.72,0.71,0.67,0.38,0.30,0.92,"",3,6.8,5,2.3,1,0.5,5,2.3,464771,14.1,-14150,-7.5,-1446,-70.1,143,12.1
"01003","5","541211","78","0","2023","3","","Baldwin County, Alabama","Private","NAICS 541211 Offices of certified public accountants","County, NAICS 6-digit -- by ownership sector","All establishment sizes",48,221,216,218,3433420,132295,430,1210,"",1.09,0.73,0.72,0.76,0.57,0.42,0.25,0.77,"",2,4.3,10,4.7,4,1.9,12,5.8,-118233,-3.3,-15079,-10.2,-1033,-70.6,-93,-7.1
"01005","5","541211","78","0","2023","1","N","Barbour County, Alabama","Private","NAICS 541211 Offices of certified public accountants","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0,"N",1.63,0,0,0,0,0,0,0,"N",1,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
