"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","3","541214","58","0","2023","1","N","Alabama -- Statewide","Local Government","NAICS 541214 Payroll services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",4.04,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","541214","58","0","2023","2","N","Alabama -- Statewide","Local Government","NAICS 541214 Payroll services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",4.01,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","541214","58","0","2023","3","N","Alabama -- Statewide","Local Government","NAICS 541214 Payroll services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",4.01,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","541214","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 541214 Payroll services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",135,1504,1587,1553,23736115,10789100,47993,1179,"",0.84,0.53,0.54,0.53,0.41,0.50,0.31,0.77,"",8,6.3,313,26.3,368,30.2,311,25.0,5938119,33.4,1503845,16.2,-60218,-55.6,54,4.8
"01000","5","541214","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 541214 Payroll services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",139,1510,1484,1478,22017673,2837643,16749,1136,"",0.84,0.50,0.49,0.49,0.41,0.60,0.33,0.84,"",19,15.8,-268,-15.1,-409,-21.6,-442,-23.0,-18555211,-45.7,-3951474,-58.2,-76635,-82.1,-539,-32.2
"01000","5","541214","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 541214 Payroll services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",151,1531,1480,1355,22406553,1861634,11651,1184,"",0.90,0.51,0.48,0.44,0.38,0.48,0.27,0.79,"",28,22.8,96,6.7,-75,-4.8,-160,-10.6,-547702,-2.4,-501327,-21.2,-23687,-67.0,8,0.7
"01001","5","541214","78","0","2023","1","N","Autauga County, Alabama","Private","NAICS 541214 Payroll services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.91,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","541214","78","0","2023","2","N","Autauga County, Alabama","Private","NAICS 541214 Payroll services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.89,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","541214","78","0","2023","3","N","Autauga County, Alabama","Private","NAICS 541214 Payroll services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.87,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","541214","78","0","2023","1","","Baldwin County, Alabama","Private","NAICS 541214 Payroll services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,3,3,3,68567,24000,648,1758,"",0.35,0.03,0.03,0.03,0.04,0.03,0.11,1.45,"N",2,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
