"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","54131","57","0","2023","1","","Alabama -- Statewide","Private","NAICS 54131 Architectural services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",272,1526,1521,1517,34419472,12535203,44120,1740,"",0.73,0.56,0.55,0.55,0.67,0.53,0.35,1.21,"",6,2.3,13,0.9,16,1.1,48,3.3,3782695,12.3,-30417,-0.2,-67833,-60.6,164,10.4
"01000","5","54131","57","0","2023","2","","Alabama -- Statewide","Private","NAICS 54131 Architectural services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",279,1530,1554,1614,33277041,1523494,6634,1635,"",0.73,0.56,0.57,0.58,0.59,0.38,0.29,1.04,"",13,4.9,36,2.4,46,3.1,45,2.9,1967759,6.3,-16490,-1.1,-8196,-55.3,54,3.4
"01000","5","54131","57","0","2023","3","","Alabama -- Statewide","Private","NAICS 54131 Architectural services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",284,1639,1628,1612,34946196,1512032,6319,1653,"",0.74,0.58,0.58,0.59,0.64,0.57,0.37,1.09,"",18,6.8,38,2.4,52,3.3,55,3.5,1541739,4.6,108031,7.7,-7015,-52.6,25,1.5
"01001","5","54131","77","0","2023","1","N","Autauga County, Alabama","Private","NAICS 54131 Architectural services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.39,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","54131","77","0","2023","2","N","Autauga County, Alabama","Private","NAICS 54131 Architectural services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.39,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","54131","77","0","2023","3","N","Autauga County, Alabama","Private","NAICS 54131 Architectural services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.38,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","54131","77","0","2023","1","","Baldwin County, Alabama","Private","NAICS 54131 Architectural services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",13,70,70,71,1164653,533125,1392,1274,"",0.66,0.66,0.65,0.65,0.73,0.57,0.29,1.12,"",-1,-7.1,2,2.9,2,2.9,4,6.0,12271,1.1,31904,6.4,-2376,-63.1,-36,-2.7
"01003","5","54131","77","0","2023","2","","Baldwin County, Alabama","Private","NAICS 54131 Architectural services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",13,69,68,69,1196471,45529,165,1340,"",0.64,0.63,0.62,0.60,0.64,0.23,0.16,1.05,"",-1,-7.1,1,1.5,0,0.0,-3,-4.2,14350,1.2,1856,4.2,-201,-54.9,28,2.1
"01003","5","54131","77","0","2023","3","","Baldwin County, Alabama","Private","NAICS 54131 Architectural services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",15,74,75,74,1193445,71689,246,1235,"",0.73,0.64,0.66,0.68,0.64,0.55,0.32,0.97,"",1,7.1,4,5.7,6,8.7,3,4.2,-137527,-10.3,15936,28.6,-144,-36.9,-228,-15.6
"01005","5","54131","77","0","2023","1","N","Barbour County, Alabama","Private","NAICS 54131 Architectural services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.70,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
