"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","54141","57","0","2023","1","","Alabama -- Statewide","Private","NAICS 54141 Interior design services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",174,418,430,425,5126622,2835056,23346,929,"",0.74,0.56,0.58,0.57,0.52,0.55,0.71,0.92,"",8,4.8,62,17.4,75,21.1,65,18.1,1330723,35.1,462595,19.5,-4826,-17.1,111,13.6
"01000","5","54141","57","0","2023","2","","Alabama -- Statewide","Private","NAICS 54141 Interior design services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",175,440,436,445,5605157,697157,6328,979,"",0.73,0.59,0.58,0.59,0.54,0.70,0.85,0.92,"",11,6.7,72,19.6,74,20.4,66,17.4,1246515,28.6,169234,32.1,601,10.5,72,7.9
"01000","5","54141","57","0","2023","3","","Alabama -- Statewide","Private","NAICS 54141 Interior design services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",179,423,424,429,5613018,520325,5767,1015,"",0.74,0.56,0.56,0.58,0.53,0.72,1.00,0.94,"",11,6.5,50,13.4,56,15.2,47,12.3,768739,15.9,60504,13.2,-620,-9.7,20,2.0
"01003","5","54141","77","0","2023","1","","Baldwin County, Alabama","Private","NAICS 54141 Interior design services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",19,50,49,50,741645,371017,2552,1149,"",1.53,1.73,1.68,1.69,2.44,1.85,2.04,1.44,"",1,5.6,5,11.1,3,6.5,3,6.4,230477,45.1,45879,14.1,-662,-20.6,294,34.4
"01003","5","54141","77","0","2023","2","","Baldwin County, Alabama","Private","NAICS 54141 Interior design services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",20,52,52,55,810009,63932,977,1176,"",1.57,1.74,1.72,1.76,2.37,1.28,2.96,1.36,"",2,11.1,8,18.2,5,10.6,6,12.2,183590,29.3,-1723,-2.6,317,48.0,143,13.8
"01003","5","54141","77","0","2023","3","","Baldwin County, Alabama","Private","NAICS 54141 Interior design services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",20,50,51,52,688718,36022,342,1039,"",1.54,1.61,1.67,1.75,1.91,1.01,1.31,1.14,"",2,11.1,0,0.0,6,13.3,8,18.2,41531,6.4,6598,22.4,-38,-10.0,-35,-3.3
"01013","5","54141","77","0","2023","1","N","Butler County, Alabama","Private","NAICS 54141 Interior design services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.19,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","54141","77","0","2023","2","N","Butler County, Alabama","Private","NAICS 54141 Interior design services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.19,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","54141","77","0","2023","3","N","Butler County, Alabama","Private","NAICS 54141 Interior design services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.19,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","54141","77","0","2023","1","-","Coffee County, Alabama","Private","NAICS 54141 Interior design services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","54141","77","0","2023","2","-","Coffee County, Alabama","Private","NAICS 54141 Interior design services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","54141","77","0","2023","3","N","Coffee County, Alabama","Private","NAICS 54141 Interior design services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.48,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","54141","77","0","2023","1","N","Colbert County, Alabama","Private","NAICS 54141 Interior design services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.43,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","54141","77","0","2023","2","N","Colbert County, Alabama","Private","NAICS 54141 Interior design services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.85,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","54141","77","0","2023","3","","Colbert County, Alabama","Private","NAICS 54141 Interior design services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,2,2,3,24819,8530,230,818,"",1.25,0.23,0.23,0.34,0.21,1.08,3.97,0.81,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","54141","77","0","2023","1","N","Cullman County, Alabama","Private","NAICS 54141 Interior design services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.30,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","54141","77","0","2023","2","N","Cullman County, Alabama","Private","NAICS 54141 Interior design services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.29,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","54141","77","0","2023","3","N","Cullman County, Alabama","Private","NAICS 54141 Interior design services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.29,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01045","5","54141","77","0","2023","1","N","Dale County, Alabama","Private","NAICS 54141 Interior design services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.60,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01045","5","54141","77","0","2023","2","N","Dale County, Alabama","Private","NAICS 54141 Interior design services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.59,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01045","5","54141","77","0","2023","3","N","Dale County, Alabama","Private","NAICS 54141 Interior design services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.58,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01069","5","54141","77","0","2023","1","N","Houston County, Alabama","Private","NAICS 54141 Interior design services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.37,0,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01069","5","54141","77","0","2023","2","N","Houston County, Alabama","Private","NAICS 54141 Interior design services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.36,0,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01069","5","54141","77","0","2023","3","N","Houston County, Alabama","Private","NAICS 54141 Interior design services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.36,0,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","5","54141","77","0","2023","1","","Jefferson County, Alabama","Private","NAICS 54141 Interior design services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",68,189,209,202,2487063,1369045,10467,957,"",2.01,1.45,1.60,1.55,1.21,1.49,1.90,0.79,"",-4,-5.6,22,13.2,48,29.8,34,20.2,653241,35.6,244562,21.7,-3584,-25.5,104,12.2
"01073","5","54141","77","0","2023","2","","Jefferson County, Alabama","Private","NAICS 54141 Interior design services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",68,199,194,206,2805873,282513,1620,1081,"",1.97,1.53,1.49,1.56,1.36,1.73,1.38,0.89,"",-1,-1.4,28,16.4,29,17.6,29,16.4,595802,27.0,31255,12.4,-1199,-42.5,87,8.8
"01073","5","54141","77","0","2023","3","","Jefferson County, Alabama","Private","NAICS 54141 Interior design services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",70,198,196,195,2644814,205738,1799,1036,"",2.01,1.49,1.49,1.50,1.26,1.69,1.98,0.84,"",1,1.4,34,20.7,30,18.1,15,8.3,298209,12.7,-16614,-7.5,-675,-27.3,-26,-2.4
"01077","5","54141","77","0","2023","1","N","Lauderdale County, Alabama","Private","NAICS 54141 Interior design services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.81,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01077","5","54141","77","0","2023","2","N","Lauderdale County, Alabama","Private","NAICS 54141 Interior design services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.79,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01077","5","54141","77","0","2023","3","N","Lauderdale County, Alabama","Private","NAICS 54141 Interior design services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.78,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01081","5","54141","77","0","2023","1","","Lee County, Alabama","Private","NAICS 54141 Interior design services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,32,35,37,266907,167848,1243,592,"",1.59,1.40,1.50,1.59,1.05,1.27,1.45,0.70,"",2,25.0,6,23.1,8,29.6,10,37.0,40564,17.9,23306,16.1,70,6.0,-61,-9.3
