"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","541430","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 541430 Graphic design services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",115,405,415,413,5520933,2952854,13486,1033,"",0.45,0.52,0.53,0.53,0.45,0.50,0.37,0.85,"",6,5.5,-6,-1.5,-13,-3.0,-2,-0.5,165996,3.1,29552,1.0,-17424,-56.4,48,4.9
"01000","5","541430","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 541430 Graphic design services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",116,411,411,415,5514413,380562,2103,1029,"",0.44,0.53,0.53,0.54,0.43,0.35,0.27,0.81,"",9,8.4,-8,-1.9,-13,-3.1,-11,-2.6,-74153,-1.3,-128977,-25.3,-4494,-68.1,13,1.3
"01000","5","541430","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 541430 Graphic design services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",120,405,409,406,5821425,283760,1483,1101,"",0.45,0.52,0.53,0.52,0.44,0.38,0.26,0.84,"",11,10.1,-19,-4.5,-5,-1.2,-11,-2.6,-27613,-0.5,-77543,-21.5,-3093,-67.6,25,2.3
"01003","5","541430","78","0","2023","1","","Baldwin County, Alabama","Private","NAICS 541430 Graphic design services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,7,7,8,91472,53137,107,959,"",0.29,0.23,0.23,0.26,0.24,0.23,0.08,1.00,"",0,0.0,2,40.0,2,40.0,3,60.0,27278,42.5,18889,55.2,-133,-55.4,-29,-2.9
"01003","5","541430","78","0","2023","2","","Baldwin County, Alabama","Private","NAICS 541430 Graphic design services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,9,9,8,111943,11743,223,994,"",0.29,0.29,0.29,0.25,0.26,0.21,0.64,0.96,"",1,33.3,4,80.0,3,50.0,0,0.0,39019,53.5,-1093,-8.5,132,145.1,108,12.2
"01003","5","541430","78","0","2023","3","N","Baldwin County, Alabama","Private","NAICS 541430 Graphic design services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",0.28,0,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","541430","78","0","2023","1","N","Calhoun County, Alabama","Private","NAICS 541430 Graphic design services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.43,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","541430","78","0","2023","2","N","Calhoun County, Alabama","Private","NAICS 541430 Graphic design services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.42,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","541430","78","0","2023","3","N","Calhoun County, Alabama","Private","NAICS 541430 Graphic design services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.42,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","541430","78","0","2023","1","N","Chambers County, Alabama","Private","NAICS 541430 Graphic design services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.78,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","541430","78","0","2023","2","N","Chambers County, Alabama","Private","NAICS 541430 Graphic design services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.78,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
