"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","541519","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 541519 Other computer related services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",149,513,514,494,11908882,3909762,32505,1807,"",0.37,0.29,0.29,0.28,0.25,0.23,0.33,0.86,"",31,26.3,17,3.4,32,6.6,12,2.5,2370119,24.8,435781,12.5,-22306,-40.7,299,19.8
"01000","5","541519","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 541519 Other computer related services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",159,508,496,542,11996275,519736,7652,1791,"",0.39,0.29,0.28,0.31,0.25,0.22,0.44,0.86,"",28,21.4,14,2.8,-47,-8.7,34,6.7,1819743,17.9,-301110,-36.7,-9357,-55.0,271,17.8
"01000","5","541519","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 541519 Other computer related services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",168,583,608,570,12893630,652619,5788,1690,"",0.40,0.33,0.34,0.33,0.26,0.40,0.44,0.78,"",37,28.2,60,11.5,71,13.2,74,14.9,2382009,22.7,16409,2.6,-3450,-37.3,131,8.4
"01001","5","541519","78","0","2023","1","-","Autauga County, Alabama","Private","NAICS 541519 Other computer related services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",-1,-100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","541519","78","0","2023","2","-","Autauga County, Alabama","Private","NAICS 541519 Other computer related services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",-1,-100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","541519","78","0","2023","3","N","Autauga County, Alabama","Private","NAICS 541519 Other computer related services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.34,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","541519","78","0","2023","1","","Baldwin County, Alabama","Private","NAICS 541519 Other computer related services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,30,18,12,129274,105664,627,497,"",0.24,0.44,0.26,0.17,0.09,0.16,0.17,0.30,"N",-1,-16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","541519","78","0","2023","2","","Baldwin County, Alabama","Private","NAICS 541519 Other computer related services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,13,12,13,92397,25326,51,561,"",0.23,0.19,0.17,0.18,0.06,0.21,0.07,0.33,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","541519","78","0","2023","3","N","Baldwin County, Alabama","Private","NAICS 541519 Other computer related services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0,"N",0.22,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","541519","78","0","2023","1","N","Butler County, Alabama","Private","NAICS 541519 Other computer related services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.41,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
