"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","541613","58","0","2023","1","","Alabama -- Statewide","Federal Government","NAICS 541613 Marketing consulting services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,13123,0,0,1009,"",2.84,2.17,2.10,2.23,2.56,0.00,0.00,1.18,"",0,0.0,0,0.0,0,0.0,0,0.0,822,6.7,0,0.0,0,0.0,63,6.7
"01000","1","541613","58","0","2023","2","","Alabama -- Statewide","Federal Government","NAICS 541613 Marketing consulting services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,15752,0,0,1212,"",2.82,2.17,2.18,2.18,2.59,0.00,0.00,1.19,"",0,0.0,0,0.0,0,0.0,0,0.0,2596,19.7,0,0.0,0,0.0,200,19.8
"01000","1","541613","58","0","2023","3","","Alabama -- Statewide","Federal Government","NAICS 541613 Marketing consulting services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,0,15099,0,0,1742,"",2.82,2.23,2.11,0.00,2.93,0.00,0.00,2.01,"",0,0.0,0,0.0,0,0.0,-1,-100.0,293,2.0,0,0.0,0,0.0,603,52.9
"01000","5","541613","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 541613 Marketing consulting services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",831,2367,2398,2385,59030186,17880585,121150,1905,"",0.74,0.55,0.55,0.55,0.62,0.49,0.50,1.14,"",150,22.0,378,19.0,387,19.2,325,15.8,9020579,18.0,2738268,18.1,-63845,-34.5,1,0.1
"01000","5","541613","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 541613 Marketing consulting services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",863,2426,2461,2457,59802722,2748765,37930,1879,"",0.75,0.56,0.57,0.56,0.69,0.44,0.76,1.22,"",158,22.4,307,14.5,294,13.6,290,13.4,9173177,18.1,-542923,-16.5,-18090,-32.3,68,3.8
"01000","5","541613","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 541613 Marketing consulting services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",895,2488,2530,2527,66804244,2514490,40322,2043,"",0.76,0.57,0.58,0.58,0.76,0.55,1.04,1.32,"",145,19.3,183,7.9,208,9.0,227,9.9,15383683,29.9,-324873,-11.4,-12325,-23.4,330,19.3
"01001","5","541613","78","0","2023","1","","Autauga County, Alabama","Private","NAICS 541613 Marketing consulting services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,10,12,12,207176,85484,571,1406,"",0.52,0.41,0.48,0.48,0.47,0.48,0.41,1.04,"N",2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","541613","78","0","2023","2","","Autauga County, Alabama","Private","NAICS 541613 Marketing consulting services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,12,12,11,218462,1823,4,1440,"",0.51,0.48,0.48,0.44,0.52,0.05,0.01,1.10,"",1,33.3,2,20.0,2,20.0,1,10.0,30096,16.0,-8793,-82.8,-266,-98.5,-9,-0.6
"01001","5","541613","78","0","2023","3","","Autauga County, Alabama","Private","NAICS 541613 Marketing consulting services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,11,10,10,279302,3721,7,2079,"",0.50,0.44,0.40,0.41,0.66,0.16,0.03,1.60,"",0,0.0,0,0.0,-2,-16.7,-2,-16.7,25338,10.0,590,18.8,-21,-75.0,405,24.2
"01003","5","541613","78","0","2023","1","","Baldwin County, Alabama","Private","NAICS 541613 Marketing consulting services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",44,43,46,45,698482,321391,4008,1203,"",0.75,0.26,0.27,0.26,0.24,0.23,0.44,0.91,"",13,41.9,12,38.7,12,35.3,8,21.6,215082,44.5,88361,37.9,601,17.6,109,10.0
