"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","3","54171","57","0","2023","1","N","Alabama -- Statewide","Local Government","NAICS 54171 Research and development in the physical, engineering, and life sciences","State, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.48,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","54171","57","0","2023","2","N","Alabama -- Statewide","Local Government","NAICS 54171 Research and development in the physical, engineering, and life sciences","State, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.46,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","54171","57","0","2023","3","N","Alabama -- Statewide","Local Government","NAICS 54171 Research and development in the physical, engineering, and life sciences","State, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.38,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","54171","57","0","2023","1","","Alabama -- Statewide","Private","NAICS 54171 Research and development in the physical, engineering, and life sciences","State, NAICS 5-digit -- by ownership sector","All establishment sizes",593,8986,8900,8932,281678251,75926900,250048,2424,"",0.95,0.78,0.77,0.77,0.61,0.71,0.43,0.79,"",56,10.4,587,7.0,492,5.9,498,5.9,41563991,17.3,5965581,8.5,-375257,-60.0,229,10.4
"01000","5","54171","57","0","2023","2","","Alabama -- Statewide","Private","NAICS 54171 Research and development in the physical, engineering, and life sciences","State, NAICS 5-digit -- by ownership sector","All establishment sizes",606,8958,8953,9153,274201191,5770060,24141,2338,"",0.94,0.78,0.78,0.78,0.69,0.50,0.34,0.88,"",57,10.4,421,4.9,146,1.7,295,3.3,35224790,14.7,-2362728,-29.1,-58345,-70.7,233,11.1
"01000","5","54171","57","0","2023","3","","Alabama -- Statewide","Private","NAICS 54171 Research and development in the physical, engineering, and life sciences","State, NAICS 5-digit -- by ownership sector","All establishment sizes",627,9175,9095,9047,266295650,4961986,24309,2250,"",0.95,0.78,0.78,0.78,0.70,0.63,0.44,0.89,"",57,10.0,181,2.0,187,2.1,31,0.3,5165365,2.0,-2081717,-29.6,-45042,-64.9,11,0.5
"01001","5","54171","77","0","2023","1","N","Autauga County, Alabama","Private","NAICS 54171 Research and development in the physical, engineering, and life sciences","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.47,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","54171","77","0","2023","2","N","Autauga County, Alabama","Private","NAICS 54171 Research and development in the physical, engineering, and life sciences","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.46,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","54171","77","0","2023","3","N","Autauga County, Alabama","Private","NAICS 54171 Research and development in the physical, engineering, and life sciences","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.44,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","54171","77","0","2023","1","","Baldwin County, Alabama","Private","NAICS 54171 Research and development in the physical, engineering, and life sciences","County, NAICS 5-digit -- by ownership sector","All establishment sizes",17,25,25,25,843640,206155,1785,2596,"",0.52,0.06,0.06,0.05,0.06,0.05,0.08,1.07,"",-1,-5.6,1,4.2,2,8.7,3,13.6,143933,20.6,23511,12.9,-801,-31.0,256,10.9
