"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","541890","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 541890 Other services related to advertising","State, NAICS 6-digit -- by ownership sector","All establishment sizes",101,827,853,853,7529085,5137874,39451,686,"",0.77,0.70,0.70,0.70,0.57,0.73,1.01,0.81,"",4,4.1,104,14.4,106,14.2,74,9.5,1161738,18.2,534034,11.6,-26466,-40.2,33,5.1
"01000","5","541890","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 541890 Other services related to advertising","State, NAICS 6-digit -- by ownership sector","All establishment sizes",103,823,859,841,7219401,1801829,14840,660,"",0.77,0.68,0.71,0.68,0.57,1.05,1.28,0.82,"",6,6.2,61,8.0,76,9.7,53,6.7,980260,15.7,-7672,-0.4,-13167,-47.0,43,7.0
"01000","5","541890","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 541890 Other services related to advertising","State, NAICS 6-digit -- by ownership sector","All establishment sizes",105,831,821,826,7322495,1137140,10942,682,"",0.77,0.68,0.67,0.67,0.54,0.85,1.19,0.81,"",7,7.1,-2,-0.2,4,0.5,-8,-1.0,-293192,-3.8,-272446,-19.3,-10095,-48.0,-26,-3.7
"01001","5","541890","78","0","2023","1","N","Autauga County, Alabama","Private","NAICS 541890 Other services related to advertising","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.11,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","541890","78","0","2023","2","N","Autauga County, Alabama","Private","NAICS 541890 Other services related to advertising","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.09,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","541890","78","0","2023","3","N","Autauga County, Alabama","Private","NAICS 541890 Other services related to advertising","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.07,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","541890","78","0","2023","1","N","Baldwin County, Alabama","Private","NAICS 541890 Other services related to advertising","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.43,0,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","541890","78","0","2023","2","","Baldwin County, Alabama","Private","NAICS 541890 Other services related to advertising","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,3,2,4,35829,5572,116,919,"",0.56,0.06,0.04,0.08,0.09,0.06,0.23,1.41,"N",2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","541890","78","0","2023","3","","Baldwin County, Alabama","Private","NAICS 541890 Other services related to advertising","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,4,4,3,42425,3833,103,890,"",0.55,0.08,0.08,0.06,0.09,0.06,0.25,1.25,"N",2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","541890","78","0","2023","1","N","Calhoun County, Alabama","Private","NAICS 541890 Other services related to advertising","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.42,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","541890","78","0","2023","2","N","Calhoun County, Alabama","Private","NAICS 541890 Other services related to advertising","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.41,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","541890","78","0","2023","3","N","Calhoun County, Alabama","Private","NAICS 541890 Other services related to advertising","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.41,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","5","541890","78","0","2023","1","N","Clarke County, Alabama","Private","NAICS 541890 Other services related to advertising","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.54,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
