"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","5419","56","0","2023","1","","Alabama -- Statewide","Federal Government","NAICS 5419 Other professional, scientific, and technical services","State, NAICS 4-digit -- by ownership sector","All establishment sizes",3,76,75,75,2051849,0,0,2095,"",1.67,1.28,1.25,1.26,1.68,0.00,0.00,1.33,"",0,0.0,2,2.7,1,1.4,2,2.7,115411,6.0,0,0.0,0,0.0,73,3.6
"01000","1","5419","56","0","2023","2","","Alabama -- Statewide","Federal Government","NAICS 5419 Other professional, scientific, and technical services","State, NAICS 4-digit -- by ownership sector","All establishment sizes",3,75,75,75,2319836,0,0,2379,"",1.67,1.26,1.27,1.28,1.58,0.00,0.00,1.24,"",0,0.0,2,2.7,1,1.4,0,0.0,139291,6.4,0,0.0,0,0.0,112,4.9
"01000","1","5419","56","0","2023","3","","Alabama -- Statewide","Federal Government","NAICS 5419 Other professional, scientific, and technical services","State, NAICS 4-digit -- by ownership sector","All establishment sizes",3,77,78,77,2059865,0,0,2049,"",1.67,1.31,1.32,1.30,1.58,0.00,0.00,1.20,"",0,0.0,2,2.7,3,4.0,3,4.1,141810,7.4,0,0.0,0,0.0,73,3.7
"01000","3","5419","56","0","2023","1","N","Alabama -- Statewide","Local Government","NAICS 5419 Other professional, scientific, and technical services","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.40,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","5419","56","0","2023","2","N","Alabama -- Statewide","Local Government","NAICS 5419 Other professional, scientific, and technical services","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.31,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","5419","56","0","2023","3","N","Alabama -- Statewide","Local Government","NAICS 5419 Other professional, scientific, and technical services","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.24,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","5419","56","0","2023","1","","Alabama -- Statewide","Private","NAICS 5419 Other professional, scientific, and technical services","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1278,8467,8453,8551,101366197,53645625,274121,918,"",0.75,0.74,0.74,0.74,0.60,0.67,0.62,0.81,"",87,7.3,266,3.2,139,1.7,236,2.8,18453204,22.3,4750227,9.7,-245650,-47.3,147,19.1
"01000","5","5419","56","0","2023","2","","Alabama -- Statewide","Private","NAICS 5419 Other professional, scientific, and technical services","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1295,8565,8704,8902,102152231,14762753,85198,901,"",0.74,0.74,0.75,0.76,0.61,0.87,0.75,0.81,"",92,7.6,152,1.8,271,3.2,296,3.4,8539079,9.1,-2035526,-12.1,-109747,-56.3,52,6.1
"01000","5","5419","56","0","2023","3","","Alabama -- Statewide","Private","NAICS 5419 Other professional, scientific, and technical services","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1304,8789,8790,8770,106175505,9911791,66235,930,"",0.73,0.75,0.75,0.75,0.61,0.75,0.72,0.81,"",80,6.5,99,1.1,170,2.0,135,1.6,7208951,7.3,-1275752,-11.4,-70737,-51.6,50,5.7
"01001","5","5419","76","0","2023","1","","Autauga County, Alabama","Private","NAICS 5419 Other professional, scientific, and technical services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,38,37,40,287179,220087,558,576,"",0.77,0.58,0.56,0.61,0.37,0.56,0.22,0.63,"",0,0.0,-21,-35.6,-23,-38.3,-24,-37.5,-287550,-50.0,-125341,-36.3,-3525,-86.3,-149,-20.6
