"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","54192","57","0","2023","1","","Alabama -- Statewide","Private","NAICS 54192 Photographic services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",196,428,497,498,4197769,2754817,21973,681,"",0.94,0.74,0.83,0.79,0.87,0.87,0.85,1.10,"",12,6.5,7,1.7,44,9.7,31,6.6,437038,11.6,288420,11.7,-8046,-26.8,34,5.3
"01000","5","54192","57","0","2023","2","","Alabama -- Statewide","Private","NAICS 54192 Photographic services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",195,517,516,502,4379791,874347,7827,658,"",0.91,0.83,0.82,0.81,0.83,0.91,0.80,1.02,"",11,6.0,-9,-1.7,51,11.0,46,10.1,334550,8.3,-151515,-14.8,-7995,-50.5,13,2.0
"01000","5","54192","57","0","2023","3","","Alabama -- Statewide","Private","NAICS 54192 Photographic services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",195,455,512,539,4581091,780673,10182,702,"",0.90,0.77,0.79,0.78,0.82,0.94,1.09,1.05,"",5,2.6,-8,-1.7,35,7.3,39,7.8,302885,7.1,130629,20.1,-2095,-17.1,16,2.3
"01001","5","54192","77","0","2023","1","N","Autauga County, Alabama","Private","NAICS 54192 Photographic services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",2.11,0,0,0,0,0,0,0,"N",-1,-25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","54192","77","0","2023","2","N","Autauga County, Alabama","Private","NAICS 54192 Photographic services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",2.07,0,0,0,0,0,0,0,"N",-1,-25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","54192","77","0","2023","3","N","Autauga County, Alabama","Private","NAICS 54192 Photographic services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",2.03,0,0,0,0,0,0,0,"N",-1,-25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","54192","77","0","2023","1","","Baldwin County, Alabama","Private","NAICS 54192 Photographic services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,16,16,15,156471,96921,794,768,"",0.82,0.71,0.69,0.60,1.04,0.78,0.81,1.57,"N",2,28.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","54192","77","0","2023","2","","Baldwin County, Alabama","Private","NAICS 54192 Photographic services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,17,17,16,158105,23072,142,730,"",0.80,0.68,0.67,0.63,0.91,0.48,0.33,1.39,"",2,28.6,2,13.3,1,6.2,1,6.7,31302,24.7,-22648,-49.5,-210,-59.7,94,14.8
"01003","5","54192","77","0","2023","3","","Baldwin County, Alabama","Private","NAICS 54192 Photographic services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,19,18,18,172105,23821,212,722,"",0.87,0.78,0.68,0.65,0.90,0.58,0.50,1.29,"",2,25.0,5,35.7,4,28.6,3,20.0,13618,8.6,-1763,-6.9,-47,-18.1,-129,-15.2
"01009","5","54192","77","0","2023","1","N","Blount County, Alabama","Private","NAICS 54192 Photographic services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.80,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","54192","77","0","2023","2","N","Blount County, Alabama","Private","NAICS 54192 Photographic services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.79,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","54192","77","0","2023","3","N","Blount County, Alabama","Private","NAICS 54192 Photographic services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.78,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","54192","77","0","2023","1","N","Calhoun County, Alabama","Private","NAICS 54192 Photographic services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.80,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","54192","77","0","2023","2","N","Calhoun County, Alabama","Private","NAICS 54192 Photographic services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.78,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","54192","77","0","2023","3","N","Calhoun County, Alabama","Private","NAICS 54192 Photographic services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.78,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
