"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","541990","58","0","2023","1","","Alabama -- Statewide","Federal Government","NAICS 541990 All other professional, scientific, and technical services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",3,76,75,75,2051849,0,0,2095,"",1.69,1.40,1.39,1.39,1.74,0.00,0.00,1.25,"",0,0.0,2,2.7,1,1.4,2,2.7,115411,6.0,0,0.0,0,0.0,73,3.6
"01000","1","541990","58","0","2023","2","","Alabama -- Statewide","Federal Government","NAICS 541990 All other professional, scientific, and technical services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",3,75,75,75,2319836,0,0,2379,"",1.69,1.40,1.41,1.43,1.63,0.00,0.00,1.15,"",0,0.0,2,2.7,1,1.4,0,0.0,139291,6.4,0,0.0,0,0.0,112,4.9
"01000","1","541990","58","0","2023","3","","Alabama -- Statewide","Federal Government","NAICS 541990 All other professional, scientific, and technical services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",3,77,78,77,2059865,0,0,2049,"",1.69,1.45,1.47,1.44,1.63,0.00,0.00,1.12,"",0,0.0,2,2.7,3,4.0,3,4.1,141810,7.4,0,0.0,0,0.0,73,3.7
"01000","3","541990","58","0","2023","1","N","Alabama -- Statewide","Local Government","NAICS 541990 All other professional, scientific, and technical services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.95,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","541990","58","0","2023","2","N","Alabama -- Statewide","Local Government","NAICS 541990 All other professional, scientific, and technical services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.82,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","541990","58","0","2023","3","N","Alabama -- Statewide","Local Government","NAICS 541990 All other professional, scientific, and technical services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.72,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","541990","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 541990 All other professional, scientific, and technical services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",337,844,845,849,19342724,7031562,73466,1759,"",0.40,0.27,0.27,0.27,0.28,0.26,0.42,1.05,"",54,19.1,97,13.0,88,11.6,84,11.0,4929283,34.2,917251,15.0,-15955,-17.8,293,20.0
"01000","5","541990","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 541990 All other professional, scientific, and technical services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",354,890,913,916,20857014,1402244,23504,1770,"",0.40,0.28,0.28,0.28,0.32,0.29,0.58,1.13,"",61,20.8,108,13.8,134,17.2,127,16.1,4329002,26.2,250207,21.7,-2077,-8.1,147,9.1
"01000","5","541990","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 541990 All other professional, scientific, and technical services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",354,885,882,905,19956851,972706,16617,1724,"",0.39,0.27,0.27,0.28,0.29,0.27,0.52,1.09,"",55,18.4,103,13.2,64,7.8,64,7.6,3021279,17.8,-107305,-9.9,-6054,-26.7,123,7.7
"01001","5","541990","78","0","2023","1","N","Autauga County, Alabama","Private","NAICS 541990 All other professional, scientific, and technical services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.52,0,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","541990","78","0","2023","2","N","Autauga County, Alabama","Private","NAICS 541990 All other professional, scientific, and technical services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.50,0,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","541990","78","0","2023","3","N","Autauga County, Alabama","Private","NAICS 541990 All other professional, scientific, and technical services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",0.65,0,0,0,0,0,0,0,"N",2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","541990","78","0","2023","1","","Baldwin County, Alabama","Private","NAICS 541990 All other professional, scientific, and technical services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",21,22,22,23,699949,162646,2221,2411,"",0.47,0.18,0.18,0.18,0.33,0.15,0.33,1.83,"",4,23.5,5,29.4,4,22.2,5,27.8,357357,104.3,33038,25.5,464,26.4,919,61.6
"01003","5","541990","78","0","2023","2","","Baldwin County, Alabama","Private","NAICS 541990 All other professional, scientific, and technical services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",21,21,21,21,642766,11386,131,2354,"",0.45,0.16,0.16,0.16,0.30,0.05,0.07,1.84,"",4,23.5,2,10.5,-1,-4.5,-1,-4.5,-38692,-5.7,-10930,-49.0,-215,-62.1,-142,-5.7
"01003","5","541990","78","0","2023","3","","Baldwin County, Alabama","Private","NAICS 541990 All other professional, scientific, and technical services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",19,21,21,22,581359,7958,78,2096,"",0.39,0.16,0.16,0.17,0.25,0.04,0.05,1.57,"",2,11.8,-1,-4.5,-1,-4.5,1,4.8,69208,13.5,-16133,-67.0,-473,-85.8,278,15.3
"01009","5","541990","78","0","2023","1","N","Blount County, Alabama","Private","NAICS 541990 All other professional, scientific, and technical services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.59,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","541990","78","0","2023","2","N","Blount County, Alabama","Private","NAICS 541990 All other professional, scientific, and technical services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.58,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","541990","78","0","2023","3","N","Blount County, Alabama","Private","NAICS 541990 All other professional, scientific, and technical services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.37,0,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","541990","78","0","2023","1","N","Calhoun County, Alabama","Private","NAICS 541990 All other professional, scientific, and technical services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.20,0,0,0,0,0,0,0,"N",-1,-25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","541990","78","0","2023","2","N","Calhoun County, Alabama","Private","NAICS 541990 All other professional, scientific, and technical services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.19,0,0,0,0,0,0,0,"N",-1,-25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","541990","78","0","2023","3","N","Calhoun County, Alabama","Private","NAICS 541990 All other professional, scientific, and technical services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.19,0,0,0,0,0,0,0,"N",-1,-25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","541990","78","0","2023","1","N","Chambers County, Alabama","Private","NAICS 541990 All other professional, scientific, and technical services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.48,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","541990","78","0","2023","2","N","Chambers County, Alabama","Private","NAICS 541990 All other professional, scientific, and technical services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.47,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","541990","78","0","2023","3","N","Chambers County, Alabama","Private","NAICS 541990 All other professional, scientific, and technical services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.46,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","541990","78","0","2023","1","N","Chilton County, Alabama","Private","NAICS 541990 All other professional, scientific, and technical services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.20,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","541990","78","0","2023","2","N","Chilton County, Alabama","Private","NAICS 541990 All other professional, scientific, and technical services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.20,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","541990","78","0","2023","3","N","Chilton County, Alabama","Private","NAICS 541990 All other professional, scientific, and technical services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.19,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","5","541990","78","0","2023","1","N","Clarke County, Alabama","Private","NAICS 541990 All other professional, scientific, and technical services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.24,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","5","541990","78","0","2023","2","N","Clarke County, Alabama","Private","NAICS 541990 All other professional, scientific, and technical services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.23,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","5","541990","78","0","2023","3","N","Clarke County, Alabama","Private","NAICS 541990 All other professional, scientific, and technical services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.23,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","5","541990","78","0","2023","1","N","Clay County, Alabama","Private","NAICS 541990 All other professional, scientific, and technical services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.75,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","5","541990","78","0","2023","2","N","Clay County, Alabama","Private","NAICS 541990 All other professional, scientific, and technical services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.73,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","5","541990","78","0","2023","3","N","Clay County, Alabama","Private","NAICS 541990 All other professional, scientific, and technical services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.70,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","541990","78","0","2023","1","N","Coffee County, Alabama","Private","NAICS 541990 All other professional, scientific, and technical services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.14,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","541990","78","0","2023","2","N","Coffee County, Alabama","Private","NAICS 541990 All other professional, scientific, and technical services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.14,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","541990","78","0","2023","3","N","Coffee County, Alabama","Private","NAICS 541990 All other professional, scientific, and technical services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.13,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01039","5","541990","78","0","2023","1","N","Covington County, Alabama","Private","NAICS 541990 All other professional, scientific, and technical services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.34,0,0,0,0,0,0,0,"N",2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01039","5","541990","78","0","2023","2","N","Covington County, Alabama","Private","NAICS 541990 All other professional, scientific, and technical services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.33,0,0,0,0,0,0,0,"N",2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
