"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","3","56111","57","0","2023","1","-","Alabama -- Statewide","Local Government","NAICS 56111 Office administrative services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","56111","57","0","2023","2","-","Alabama -- Statewide","Local Government","NAICS 56111 Office administrative services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","56111","57","0","2023","3","N","Alabama -- Statewide","Local Government","NAICS 56111 Office administrative services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.88,0,0,0,0,0,0,0,"N",2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","56111","57","0","2023","1","","Alabama -- Statewide","Private","NAICS 56111 Office administrative services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",325,2637,2661,2654,54451391,16288219,162378,1580,"",0.33,0.32,0.32,0.32,0.29,0.27,0.44,0.89,"",53,19.5,666,33.8,680,34.3,644,32.0,16120840,42.1,4168255,34.4,16668,11.4,96,6.5
"01000","5","56111","57","0","2023","2","","Alabama -- Statewide","Private","NAICS 56111 Office administrative services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",339,2669,2696,2801,55832257,2685758,31602,1578,"",0.33,0.33,0.33,0.34,0.33,0.29,0.46,1.01,"",50,17.3,445,20.0,428,18.9,475,20.4,13633024,32.3,-382905,-12.5,-17828,-36.1,150,10.5
"01000","5","56111","57","0","2023","3","","Alabama -- Statewide","Private","NAICS 56111 Office administrative services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",344,2798,2769,2761,52764084,2414464,30454,1462,"",0.33,0.34,0.33,0.33,0.32,0.34,0.56,0.96,"",43,14.3,303,12.1,290,11.7,278,11.2,2628507,5.2,-549872,-18.5,-20063,-39.7,-90,-5.8
"01001","5","56111","77","0","2023","1","N","Autauga County, Alabama","Private","NAICS 56111 Office administrative services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.30,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","56111","77","0","2023","2","N","Autauga County, Alabama","Private","NAICS 56111 Office administrative services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.29,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","56111","77","0","2023","3","N","Autauga County, Alabama","Private","NAICS 56111 Office administrative services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.28,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","56111","77","0","2023","1","","Baldwin County, Alabama","Private","NAICS 56111 Office administrative services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",19,118,123,129,2867154,995641,6820,1788,"",0.36,0.37,0.38,0.40,0.49,0.42,0.48,1.27,"",-1,-5.0,20,20.4,23,23.0,22,20.6,612909,27.2,164356,19.8,-1810,-21.0,82,4.8
