"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","561320","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 561320 Temporary help services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",2280,50492,52044,51868,488941734,346697502,2875649,731,"",1.76,1.29,1.32,1.33,1.26,1.39,1.58,0.96,"",126,5.8,-2085,-4.0,-2577,-4.7,-1580,-3.0,11107908,2.3,12695005,3.8,-2429617,-45.8,45,6.6
"01000","5","561320","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 561320 Temporary help services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",2317,51767,50844,50116,491617030,184264161,1596247,743,"",1.76,1.35,1.33,1.34,1.27,2.35,2.29,0.94,"",150,6.9,-2514,-4.6,-3589,-6.6,-2719,-5.1,-16963667,-3.3,-12890376,-6.5,-1650697,-50.8,17,2.3
"01000","5","561320","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 561320 Temporary help services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",2327,47949,48845,49402,471290141,159597496,1411709,744,"",1.74,1.32,1.34,1.31,1.26,2.24,2.20,0.95,"",73,3.2,-3628,-7.0,-3704,-7.0,-5867,-10.6,-44293163,-8.6,-27495732,-14.7,-1697762,-54.6,-2,-0.3
"01001","5","561320","78","0","2023","1","N","Autauga County, Alabama","Private","NAICS 561320 Temporary help services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,0,0,0,0,0,0,0,"N",1.02,0,0,0,0,0,0,0,"N",1,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","561320","78","0","2023","2","N","Autauga County, Alabama","Private","NAICS 561320 Temporary help services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,0,0,0,0,0,0,0,"N",1.01,0,0,0,0,0,0,0,"N",1,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","561320","78","0","2023","3","","Autauga County, Alabama","Private","NAICS 561320 Temporary help services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",11,21,20,20,793058,61075,827,3000,"",1.20,0.10,0.10,0.09,0.44,0.17,0.24,4.57,"",2,22.2,-102,-82.9,-97,-82.9,-81,-80.2,-738949,-48.2,-421199,-87.3,-6609,-88.9,1963,189.3
"01003","5","561320","78","0","2023","1","","Baldwin County, Alabama","Private","NAICS 561320 Temporary help services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",47,568,580,587,5506261,3926044,25147,732,"",0.69,0.38,0.38,0.38,0.46,0.40,0.36,1.22,"",10,27.0,-87,-13.3,-123,-17.5,-144,-19.7,-17586,-0.3,-318636,-7.5,-49300,-66.2,122,20.0
"01003","5","561320","78","0","2023","2","","Baldwin County, Alabama","Private","NAICS 561320 Temporary help services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",51,659,671,660,5987939,2340184,15408,694,"",0.73,0.43,0.44,0.43,0.47,0.59,0.50,1.08,"",13,34.2,-122,-15.6,-105,-13.5,-124,-15.8,-762704,-11.3,-771068,-24.8,-37523,-70.9,29,4.4
"01003","5","561320","78","0","2023","3","","Baldwin County, Alabama","Private","NAICS 561320 Temporary help services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",52,618,595,586,5798503,1905549,12425,744,"",0.73,0.41,0.40,0.39,0.45,0.54,0.43,1.13,"",11,26.8,-85,-12.1,-80,-11.9,-40,-6.4,-791274,-12.0,-610968,-24.3,-25253,-67.0,-15,-2.0
"01005","5","561320","78","0","2023","1","N","Barbour County, Alabama","Private","NAICS 561320 Temporary help services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",0.81,0,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","561320","78","0","2023","2","N","Barbour County, Alabama","Private","NAICS 561320 Temporary help services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",0.79,0,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
