"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","561439","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 561439 Other business service centers (including copy shops)","State, NAICS 6-digit -- by ownership sector","All establishment sizes",45,419,412,426,4609163,3037638,17550,846,"",0.58,0.71,0.70,0.72,0.75,0.80,0.78,1.05,"",0,0.0,-23,-5.2,-22,-5.1,-23,-5.1,-86974,-1.9,-93763,-3.0,-30935,-63.8,28,3.4
"01000","5","561439","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 561439 Other business service centers (including copy shops)","State, NAICS 6-digit -- by ownership sector","All establishment sizes",44,436,441,450,4687965,553771,4492,815,"",0.57,0.75,0.77,0.78,0.72,0.73,0.87,0.95,"",-2,-4.3,-6,-1.4,23,5.5,27,6.4,110690,2.4,-91514,-14.2,-7175,-61.5,-8,-1.0
"01000","5","561439","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 561439 Other business service centers (including copy shops)","State, NAICS 6-digit -- by ownership sector","All establishment sizes",44,447,438,445,4710848,346629,2799,817,"",0.56,0.77,0.76,0.77,0.73,0.65,0.77,0.96,"",-1,-2.2,30,7.2,31,7.6,32,7.7,-44073,-0.9,-100691,-22.5,-6067,-68.4,-70,-7.9
"01001","5","561439","78","0","2023","1","N","Autauga County, Alabama","Private","NAICS 561439 Other business service centers (including copy shops)","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.90,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","561439","78","0","2023","2","-","Autauga County, Alabama","Private","NAICS 561439 Other business service centers (including copy shops)","County, NAICS 6-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",-1,-100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","561439","78","0","2023","3","-","Autauga County, Alabama","Private","NAICS 561439 Other business service centers (including copy shops)","County, NAICS 6-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",-1,-100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","561439","78","0","2023","1","","Baldwin County, Alabama","Private","NAICS 561439 Other business service centers (including copy shops)","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,7,7,12,64876,44968,134,576,"",0.74,0.31,0.30,0.51,0.34,0.30,0.16,0.90,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","561439","78","0","2023","2","","Baldwin County, Alabama","Private","NAICS 561439 Other business service centers (including copy shops)","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,13,13,13,93919,40074,935,556,"",0.74,0.56,0.56,0.55,0.44,1.05,4.12,0.79,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","561439","78","0","2023","3","","Baldwin County, Alabama","Private","NAICS 561439 Other business service centers (including copy shops)","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,13,15,13,90656,26641,600,510,"",0.71,0.55,0.64,0.57,0.41,1.01,3.66,0.71,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","561439","78","0","2023","1","N","Calhoun County, Alabama","Private","NAICS 561439 Other business service centers (including copy shops)","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.72,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
