"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","561450","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 561450 Credit bureaus","State, NAICS 6-digit -- by ownership sector","All establishment sizes",15,62,63,60,2027608,507295,5532,2529,"",0.88,0.19,0.19,0.18,0.16,0.18,0.27,0.87,"",0,0.0,11,21.6,8,14.5,-2,-3.2,-259783,-11.4,38463,8.2,-1580,-22.2,-613,-19.5
"01000","5","561450","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 561450 Credit bureaus","State, NAICS 6-digit -- by ownership sector","All establishment sizes",15,59,59,57,2661999,15808,41,3510,"",0.87,0.18,0.18,0.18,0.24,0.07,0.02,1.31,"",1,7.1,-1,-1.7,-4,-6.3,25,78.1,309393,13.2,-46295,-74.5,-848,-95.4,7,0.2
"01000","5","561450","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 561450 Credit bureaus","State, NAICS 6-digit -- by ownership sector","All establishment sizes",15,55,49,50,1880463,20138,49,2818,"",0.86,0.17,0.15,0.16,0.19,0.12,0.04,1.17,"",1,7.1,2,3.8,-11,-18.3,-12,-19.4,-44913,-2.3,-5135,-20.3,-416,-89.5,279,11.0
"01073","5","561450","78","0","2023","1","N","Jefferson County, Alabama","Private","NAICS 561450 Credit bureaus","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.81,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","5","561450","78","0","2023","2","N","Jefferson County, Alabama","Private","NAICS 561450 Credit bureaus","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.81,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","5","561450","78","0","2023","3","N","Jefferson County, Alabama","Private","NAICS 561450 Credit bureaus","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.80,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01089","5","561450","78","0","2023","1","N","Madison County, Alabama","Private","NAICS 561450 Credit bureaus","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.41,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01089","5","561450","78","0","2023","2","N","Madison County, Alabama","Private","NAICS 561450 Credit bureaus","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.40,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01089","5","561450","78","0","2023","3","N","Madison County, Alabama","Private","NAICS 561450 Credit bureaus","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.38,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01101","5","561450","78","0","2023","1","N","Montgomery County, Alabama","Private","NAICS 561450 Credit bureaus","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.27,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01101","5","561450","78","0","2023","2","N","Montgomery County, Alabama","Private","NAICS 561450 Credit bureaus","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.27,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01101","5","561450","78","0","2023","3","N","Montgomery County, Alabama","Private","NAICS 561450 Credit bureaus","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.26,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01999","5","561450","78","0","2023","1","","Unknown Or Undefined, Alabama","Private","NAICS 561450 Credit bureaus","County, NAICS 6-digit -- by ownership sector","All establishment sizes",10,15,15,15,529864,129831,279,2717,"",4.51,1.16,1.16,1.18,0.73,0.83,0.16,0.62,"",0,0.0,-5,-25.0,-5,-25.0,-6,-28.6,2306,0.4,-48270,-27.1,-1547,-84.7,721,36.1
"01999","5","561450","78","0","2023","2","","Unknown Or Undefined, Alabama","Private","NAICS 561450 Credit bureaus","County, NAICS 6-digit -- by ownership sector","All establishment sizes",10,15,16,15,1194826,11049,25,5994,"",4.51,1.16,1.26,1.19,1.86,0.88,0.19,1.54,"",0,0.0,-6,-28.6,-5,-23.8,-4,-21.1,148837,14.2,-6369,-36.6,-117,-82.4,2037,51.5
"01999","5","561450","78","0","2023","3","","Unknown Or Undefined, Alabama","Private","NAICS 561450 Credit bureaus","County, NAICS 6-digit -- by ownership sector","All establishment sizes",10,14,14,15,531138,20138,49,2850,"",4.49,1.10,1.11,1.19,0.93,2.13,0.49,0.82,"",0,0.0,-2,-12.5,-2,-12.5,-1,-6.2,-96956,-15.4,16635,474.9,12,32.4,-170,-5.6
"02000","5","561450","58","0","2023","1","N","Alaska -- Statewide","Private","NAICS 561450 Credit bureaus","State, NAICS 6-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",1.45,0,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02000","5","561450","58","0","2023","2","N","Alaska -- Statewide","Private","NAICS 561450 Credit bureaus","State, NAICS 6-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",1.44,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02000","5","561450","58","0","2023","3","","Alaska -- Statewide","Private","NAICS 561450 Credit bureaus","State, NAICS 6-digit -- by ownership sector","All establishment sizes",4,3,3,3,42126,12876,294,1080,"",1.43,0.06,0.06,0.06,0.02,0.06,0.08,0.38,"",0,0.0,-1,-25.0,-1,-25.0,0,0.0,63,0.1,-5056,-28.2,-193,-39.6,198,22.4
"02020","5","561450","78","0","2023","1","N","Anchorage Municipality, Alaska","Private","NAICS 561450 Credit bureaus","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",2.09,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02020","5","561450","78","0","2023","2","N","Anchorage Municipality, Alaska","Private","NAICS 561450 Credit bureaus","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",2.10,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02020","5","561450","78","0","2023","3","N","Anchorage Municipality, Alaska","Private","NAICS 561450 Credit bureaus","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",2.10,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
