"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","561599","58","0","2023","1","","Alabama -- Statewide","Federal Government","NAICS 561599 All other travel arrangement and reservation services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",2,3,3,3,24548,0,0,629,"",3.49,0.50,0.49,0.48,0.54,0.00,0.00,1.10,"",0,0.0,0,0.0,0,0.0,1,50.0,8626,54.2,0,0.0,0,0.0,170,37.0
"01000","1","561599","58","0","2023","2","","Alabama -- Statewide","Federal Government","NAICS 561599 All other travel arrangement and reservation services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",2,3,3,3,25407,0,0,651,"",3.38,0.48,0.49,0.47,0.55,0.00,0.00,1.14,"",0,0.0,1,50.0,1,50.0,1,50.0,9453,59.3,0,0.0,0,0.0,37,6.0
"01000","1","561599","58","0","2023","3","","Alabama -- Statewide","Federal Government","NAICS 561599 All other travel arrangement and reservation services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",2,3,3,2,27119,0,0,782,"",3.39,0.46,0.47,0.33,0.52,0.00,0.00,1.24,"",0,0.0,1,50.0,0,0.0,-1,-33.3,2839,11.7,0,0.0,0,0.0,82,11.7
"01000","5","561599","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 561599 All other travel arrangement and reservation services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",35,283,277,277,5766784,2173414,20614,1590,"",0.59,0.27,0.27,0.27,0.22,0.29,0.51,0.84,"",-2,-5.4,-11,-3.7,-15,-5.1,-17,-5.8,-844472,-12.8,-192772,-8.1,-12330,-37.4,-144,-8.3
"01000","5","561599","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 561599 All other travel arrangement and reservation services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",37,278,277,278,5096094,176837,1599,1412,"",0.60,0.27,0.27,0.27,0.15,0.14,0.17,0.57,"",3,8.8,-17,-5.8,-20,-6.7,-19,-6.4,-1036816,-16.9,-127316,-41.9,-2244,-58.4,-180,-11.3
"01000","5","561599","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 561599 All other travel arrangement and reservation services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",38,281,282,286,5480547,126030,847,1490,"",0.61,0.27,0.27,0.28,0.25,0.13,0.11,0.92,"",4,11.8,-32,-10.2,-36,-11.3,-32,-10.1,-825719,-13.1,-166317,-56.9,-3743,-81.5,-44,-2.9
"01015","5","561599","78","0","2023","1","N","Calhoun County, Alabama","Private","NAICS 561599 All other travel arrangement and reservation services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.93,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","561599","78","0","2023","2","N","Calhoun County, Alabama","Private","NAICS 561599 All other travel arrangement and reservation services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.91,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","561599","78","0","2023","3","N","Calhoun County, Alabama","Private","NAICS 561599 All other travel arrangement and reservation services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.91,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","561599","78","0","2023","1","N","Colbert County, Alabama","Private","NAICS 561599 All other travel arrangement and reservation services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.69,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
