"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","56162","57","0","2023","1","","Alabama -- Statewide","Private","NAICS 56162 Security systems services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",263,2329,2355,2368,33925820,16380227,98531,1110,"",1.34,1.09,1.09,1.11,1.02,1.01,1.07,0.93,"",4,1.5,371,18.9,359,18.0,369,18.5,5905950,21.1,1714835,11.7,-57045,-36.7,24,2.2
"01000","5","56162","57","0","2023","2","","Alabama -- Statewide","Private","NAICS 56162 Security systems services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",265,2345,2356,2313,33268916,2507472,22655,1095,"",1.33,1.09,1.10,1.07,0.99,0.82,1.14,0.91,"",10,3.9,368,18.6,410,21.1,353,18.0,3188791,10.6,442341,21.4,-698,-3.0,-85,-7.2
"01000","5","56162","57","0","2023","3","","Alabama -- Statewide","Private","NAICS 56162 Security systems services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",269,2327,2373,2361,34370865,2910898,21635,1123,"",1.34,1.07,1.10,1.10,1.00,1.32,1.43,0.92,"",10,3.9,366,18.7,426,21.9,404,20.6,1840197,5.7,1299680,80.7,1847,9.3,-157,-12.3
"01001","5","56162","77","0","2023","1","N","Autauga County, Alabama","Private","NAICS 56162 Security systems services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.49,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","56162","77","0","2023","2","N","Autauga County, Alabama","Private","NAICS 56162 Security systems services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.48,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","56162","77","0","2023","3","N","Autauga County, Alabama","Private","NAICS 56162 Security systems services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.46,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","56162","77","0","2023","1","","Baldwin County, Alabama","Private","NAICS 56162 Security systems services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,78,76,76,987551,562634,1199,991,"",0.97,0.94,0.91,0.90,0.95,0.88,0.34,1.04,"",2,25.0,-4,-4.9,-9,-10.6,-10,-11.6,30989,3.2,-6238,-1.1,-3049,-71.8,118,13.5
"01003","5","56162","77","0","2023","2","","Baldwin County, Alabama","Private","NAICS 56162 Security systems services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",11,75,74,72,871503,49342,107,910,"",1.04,0.87,0.85,0.81,0.79,0.32,0.12,0.93,"",1,10.0,-8,-9.6,-10,-11.9,-20,-21.7,-206160,-19.1,-43965,-47.1,-901,-89.4,-50,-5.2
"01003","5","56162","77","0","2023","3","","Baldwin County, Alabama","Private","NAICS 56162 Security systems services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",11,72,76,75,940981,64828,309,974,"",1.03,0.81,0.87,0.88,0.80,0.60,0.45,0.94,"",1,10.0,-13,-15.3,-7,-8.4,-6,-7.4,-118457,-11.2,14885,29.8,-342,-52.5,-8,-0.8
"01009","5","56162","77","0","2023","1","N","Blount County, Alabama","Private","NAICS 56162 Security systems services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",2.55,0,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
