"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","3","561720","58","0","2023","1","N","Alabama -- Statewide","Local Government","NAICS 561720 Janitorial services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.17,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","561720","58","0","2023","2","N","Alabama -- Statewide","Local Government","NAICS 561720 Janitorial services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.17,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","561720","58","0","2023","3","N","Alabama -- Statewide","Local Government","NAICS 561720 Janitorial services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.08,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","561720","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 561720 Janitorial services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1003,12599,12486,12453,79153739,63594978,490881,487,"",0.94,0.89,0.87,0.87,0.88,0.92,1.30,1.00,"",13,1.3,34,0.3,-168,-1.3,-282,-2.2,8267135,11.7,5231666,9.0,-354279,-41.9,56,13.0
"01000","5","561720","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 561720 Janitorial services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1016,12407,12450,12676,80170068,28408627,218659,493,"",0.93,0.87,0.87,0.88,0.84,1.26,1.40,0.97,"",40,4.1,-387,-3.0,-383,-3.0,-191,-1.5,2018997,2.6,-2751997,-8.8,-218208,-49.9,24,5.1
"01000","5","561720","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 561720 Janitorial services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1028,12517,12544,12564,80510055,19302655,153729,494,"",0.94,0.87,0.87,0.87,0.82,1.06,1.24,0.95,"",40,4.0,-476,-3.7,-415,-3.2,-287,-2.2,-3177807,-3.8,-1139479,-5.6,-136992,-47.1,-4,-0.8
"01001","5","561720","78","0","2023","1","","Autauga County, Alabama","Private","NAICS 561720 Janitorial services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,91,94,92,411579,371734,2487,343,"",1.10,1.13,1.15,1.13,0.98,1.09,1.13,0.87,"",-1,-11.1,9,11.0,10,11.9,9,10.8,51021,14.2,38962,11.7,-2364,-48.7,9,2.7
"01001","5","561720","78","0","2023","2","","Autauga County, Alabama","Private","NAICS 561720 Janitorial services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,93,92,91,378816,185338,1232,317,"",1.08,1.14,1.12,1.11,0.82,1.44,1.26,0.73,"",-1,-11.1,7,8.1,7,8.2,4,4.6,8336,2.3,-8610,-4.4,-1461,-54.3,-14,-4.2
"01001","5","561720","78","0","2023","3","","Autauga County, Alabama","Private","NAICS 561720 Janitorial services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,87,85,82,389462,134918,923,354,"",1.06,1.05,1.03,1.00,0.83,1.43,1.36,0.81,"",0,0.0,5,6.1,0,0.0,-6,-6.8,14978,4.0,-29212,-17.8,-1479,-61.6,15,4.4
"01003","5","561720","78","0","2023","1","","Baldwin County, Alabama","Private","NAICS 561720 Janitorial services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",96,611,606,702,4839272,3814835,27742,582,"",1.70,1.11,1.08,1.24,1.73,1.41,1.93,1.51,"",1,1.1,-1,-0.2,-15,-2.4,35,5.2,314362,6.9,261587,7.4,-30924,-52.7,32,5.8
