"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","561910","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 561910 Packaging and labeling services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",21,228,229,224,2432318,1504029,11721,824,"",0.54,0.26,0.26,0.25,0.25,0.25,0.32,0.97,"",-5,-19.2,-48,-17.4,-62,-21.3,-55,-19.7,-493089,-16.9,-489948,-24.6,-9334,-44.3,26,3.3
"01000","5","561910","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 561910 Packaging and labeling services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",21,229,222,221,5391045,364172,3000,1851,"",0.53,0.26,0.26,0.25,0.54,0.27,0.33,2.11,"",-2,-8.7,-67,-22.6,-79,-26.2,-77,-25.8,-203393,-3.6,-166330,-31.4,-2337,-43.8,409,28.4
"01000","5","561910","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 561910 Packaging and labeling services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",23,216,212,221,2759579,240016,2930,981,"",0.58,0.25,0.24,0.26,0.27,0.24,0.41,1.09,"",-2,-8.0,-22,-9.2,-17,-7.4,-6,-2.6,-540040,-16.4,-10447,-4.2,-94,-3.1,-116,-10.6
"01003","5","561910","78","0","2023","1","N","Baldwin County, Alabama","Private","NAICS 561910 Packaging and labeling services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.49,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","561910","78","0","2023","2","N","Baldwin County, Alabama","Private","NAICS 561910 Packaging and labeling services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.48,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","561910","78","0","2023","3","N","Baldwin County, Alabama","Private","NAICS 561910 Packaging and labeling services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.47,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","561910","78","0","2023","1","-","Blount County, Alabama","Private","NAICS 561910 Packaging and labeling services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","561910","78","0","2023","2","-","Blount County, Alabama","Private","NAICS 561910 Packaging and labeling services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","561910","78","0","2023","3","N","Blount County, Alabama","Private","NAICS 561910 Packaging and labeling services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",4.25,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","561910","78","0","2023","1","N","Chambers County, Alabama","Private","NAICS 561910 Packaging and labeling services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",10.43,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
