"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","3","561990","58","0","2023","1","N","Alabama -- Statewide","Local Government","NAICS 561990 All other support services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",1.18,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","561990","58","0","2023","2","N","Alabama -- Statewide","Local Government","NAICS 561990 All other support services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",1.14,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","561990","58","0","2023","3","","Alabama -- Statewide","Local Government","NAICS 561990 All other support services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",3,11,23,31,36530,0,0,130,"",1.12,0.19,0.40,0.52,0.05,0.00,0.00,0.12,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","561990","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 561990 All other support services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",245,3306,3554,3542,29307594,19697739,167099,650,"",0.82,1.19,1.25,1.23,0.89,1.05,1.30,0.72,"",56,29.6,-108,-3.2,-39,-1.1,-41,-1.1,4618372,18.7,1552471,8.6,-135265,-44.7,112,20.8
"01000","5","561990","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 561990 All other support services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",245,3512,3548,3635,32123141,9083704,83630,693,"",0.82,1.21,1.21,1.22,0.91,1.75,1.59,0.75,"",57,30.3,29,0.8,-42,-1.2,-100,-2.7,3814404,13.5,580781,6.8,-87033,-51.0,89,14.7
"01000","5","561990","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 561990 All other support services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",247,3476,3526,3533,29622956,6453385,57778,649,"",0.84,1.16,1.18,1.18,0.81,1.57,1.39,0.69,"",58,30.7,-133,-3.7,8,0.2,121,3.5,-1946638,-6.2,-1276674,-16.5,-89905,-60.9,-42,-6.1
"01001","5","561990","78","0","2023","1","N","Autauga County, Alabama","Private","NAICS 561990 All other support services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.49,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","561990","78","0","2023","2","N","Autauga County, Alabama","Private","NAICS 561990 All other support services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.49,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","561990","78","0","2023","3","N","Autauga County, Alabama","Private","NAICS 561990 All other support services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.50,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","561990","78","0","2023","1","","Baldwin County, Alabama","Private","NAICS 561990 All other support services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,19,19,20,222539,113456,925,885,"",0.45,0.18,0.17,0.18,0.22,0.15,0.19,1.24,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","561990","78","0","2023","2","","Baldwin County, Alabama","Private","NAICS 561990 All other support services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,19,18,18,201950,21521,94,847,"",0.44,0.16,0.15,0.15,0.17,0.08,0.04,1.13,"",0,0.0,-10,-34.5,-12,-40.0,-14,-43.8,-119479,-37.2,-26238,-54.9,-340,-78.3,32,3.9
"01003","5","561990","78","0","2023","3","","Baldwin County, Alabama","Private","NAICS 561990 All other support services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,19,20,17,220612,20868,105,909,"",0.38,0.15,0.16,0.14,0.18,0.10,0.06,1.15,"",-1,-14.3,-12,-38.7,11,122.2,8,88.9,16593,8.1,-1260,-5.7,-87,-45.3,-52,-5.4
"01005","5","561990","78","0","2023","1","N","Barbour County, Alabama","Private","NAICS 561990 All other support services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.88,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","561990","78","0","2023","2","N","Barbour County, Alabama","Private","NAICS 561990 All other support services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.87,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","561990","78","0","2023","3","N","Barbour County, Alabama","Private","NAICS 561990 All other support services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.90,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","561990","78","0","2023","1","N","Bibb County, Alabama","Private","NAICS 561990 All other support services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",2.47,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","561990","78","0","2023","2","N","Bibb County, Alabama","Private","NAICS 561990 All other support services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",2.43,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
