"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","5621","56","0","2023","1","","Alabama -- Statewide","Federal Government","NAICS 5621 Waste collection","State, NAICS 4-digit -- by ownership sector","All establishment sizes",2,7,6,7,79698,0,0,920,"",8.53,4.56,4.08,4.77,5.54,0.00,0.00,1.24,"",0,0.0,0,0.0,-1,-14.3,-1,-12.5,9053,12.8,0,0.0,0,0.0,179,24.2
"01000","1","5621","56","0","2023","2","","Alabama -- Statewide","Federal Government","NAICS 5621 Waste collection","State, NAICS 4-digit -- by ownership sector","All establishment sizes",2,7,6,7,68842,0,0,794,"",8.46,4.61,3.97,4.51,4.83,0.00,0.00,1.11,"",0,0.0,-1,-12.5,-2,-25.0,0,0.0,1719,2.6,0,0.0,0,0.0,121,18.0
"01000","1","5621","56","0","2023","3","","Alabama -- Statewide","Federal Government","NAICS 5621 Waste collection","State, NAICS 4-digit -- by ownership sector","All establishment sizes",2,6,6,7,80011,0,0,972,"",8.47,3.91,3.85,4.42,5.04,0.00,0.00,1.24,"",0,0.0,-1,-14.3,-2,-25.0,0,0.0,-13685,-14.6,0,0.0,0,0.0,-11,-1.1
"01000","3","5621","56","0","2023","1","N","Alabama -- Statewide","Local Government","NAICS 5621 Waste collection","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.29,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","5621","56","0","2023","2","N","Alabama -- Statewide","Local Government","NAICS 5621 Waste collection","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.29,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","5621","56","0","2023","3","N","Alabama -- Statewide","Local Government","NAICS 5621 Waste collection","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.29,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","5621","56","0","2023","1","","Alabama -- Statewide","Private","NAICS 5621 Waste collection","State, NAICS 4-digit -- by ownership sector","All establishment sizes",200,2340,2340,2342,39782638,18200120,102008,1307,"",1.13,0.83,0.83,0.83,1.03,0.84,0.84,1.24,"",11,5.8,51,2.2,31,1.3,15,0.6,5171708,14.9,556629,3.2,-148162,-59.2,154,13.4
"01000","5","5621","56","0","2023","2","","Alabama -- Statewide","Private","NAICS 5621 Waste collection","State, NAICS 4-digit -- by ownership sector","All establishment sizes",202,2307,2326,2356,41013412,3137154,19400,1354,"",1.12,0.81,0.82,0.82,1.04,0.67,0.65,1.27,"",7,3.6,-42,-1.8,-44,-1.9,-47,-2.0,4257155,11.6,-563793,-15.2,-31839,-62.1,163,13.7
"01000","5","5621","56","0","2023","3","","Alabama -- Statewide","Private","NAICS 5621 Waste collection","State, NAICS 4-digit -- by ownership sector","All establishment sizes",202,2392,2412,2389,39149507,2908388,18354,1256,"",1.11,0.83,0.83,0.83,0.96,0.86,0.79,1.16,"",5,2.5,56,2.4,76,3.3,48,2.1,666423,1.7,-84526,-2.8,-25035,-57.7,-10,-0.8
"01001","5","5621","76","0","2023","1","N","Autauga County, Alabama","Private","NAICS 5621 Waste collection","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.83,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
