"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"04000","5","61141","57","0","2023","1","N","Arizona -- Statewide","Private","NAICS 61141 Business and secretarial schools","State, NAICS 5-digit -- by ownership sector","All establishment sizes",8,0,0,0,0,0,0,0,"N",1.10,0,0,0,0,0,0,0,"N",2,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04000","5","61141","57","0","2023","2","N","Arizona -- Statewide","Private","NAICS 61141 Business and secretarial schools","State, NAICS 5-digit -- by ownership sector","All establishment sizes",7,0,0,0,0,0,0,0,"N",0.96,0,0,0,0,0,0,0,"N",1,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04000","5","61141","57","0","2023","3","N","Arizona -- Statewide","Private","NAICS 61141 Business and secretarial schools","State, NAICS 5-digit -- by ownership sector","All establishment sizes",7,0,0,0,0,0,0,0,"N",0.95,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04013","5","61141","77","0","2023","1","N","Maricopa County, Arizona","Private","NAICS 61141 Business and secretarial schools","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,0,0,0,0,0,0,0,"N",1.30,0,0,0,0,0,0,0,"N",1,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04013","5","61141","77","0","2023","2","N","Maricopa County, Arizona","Private","NAICS 61141 Business and secretarial schools","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,0,0,0,0,0,0,0,"N",1.30,0,0,0,0,0,0,0,"N",1,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04013","5","61141","77","0","2023","3","N","Maricopa County, Arizona","Private","NAICS 61141 Business and secretarial schools","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,0,0,0,0,0,0,0,"N",1.30,0,0,0,0,0,0,0,"N",1,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04999","5","61141","77","0","2023","1","N","Unknown Or Undefined, Arizona","Private","NAICS 61141 Business and secretarial schools","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",2.42,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04999","5","61141","77","0","2023","2","N","Unknown Or Undefined, Arizona","Private","NAICS 61141 Business and secretarial schools","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.20,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04999","5","61141","77","0","2023","3","N","Unknown Or Undefined, Arizona","Private","NAICS 61141 Business and secretarial schools","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.11,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05000","5","61141","57","0","2023","1","","Arkansas -- Statewide","Private","NAICS 61141 Business and secretarial schools","State, NAICS 5-digit -- by ownership sector","All establishment sizes",4,4,4,4,83551,27591,279,1607,"",1.16,0.13,0.13,0.13,0.27,0.19,0.17,2.08,"",0,0.0,-1,-20.0,-1,-20.0,-2,-33.3,-12318,-12.8,-22028,-44.4,-1259,-81.9,224,16.2
"05000","5","61141","57","0","2023","2","","Arkansas -- Statewide","Private","NAICS 61141 Business and secretarial schools","State, NAICS 5-digit -- by ownership sector","All establishment sizes",4,4,4,4,90789,409,1,1746,"",1.17,0.13,0.13,0.13,0.27,0.01,0.00,2.11,"",0,0.0,-2,-33.3,-2,-33.3,-1,-20.0,-12143,-11.8,-9972,-96.1,-321,-99.7,349,25.0
"05000","5","61141","57","0","2023","3","","Arkansas -- Statewide","Private","NAICS 61141 Business and secretarial schools","State, NAICS 5-digit -- by ownership sector","All establishment sizes",4,3,4,4,81245,0,0,1704,"",1.17,0.10,0.13,0.12,0.27,0.00,0.00,2.23,"",0,0.0,-3,-50.0,-1,-20.0,0,0.0,-19885,-19.7,0,0.0,0,0.0,148,9.5
"05999","5","61141","77","0","2023","1","","Unknown Or Undefined, Arkansas","Private","NAICS 61141 Business and secretarial schools","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,4,4,4,83551,27591,279,1607,"",5.87,2.99,2.89,2.91,4.10,3.25,1.33,1.40,"",0,0.0,-1,-20.0,-1,-20.0,-2,-33.3,-12318,-12.8,-22028,-44.4,-1259,-81.9,224,16.2
"05999","5","61141","77","0","2023","2","","Unknown Or Undefined, Arkansas","Private","NAICS 61141 Business and secretarial schools","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,4,4,4,90789,409,1,1746,"",5.81,2.81,2.81,2.90,3.95,0.19,0.02,1.39,"",0,0.0,-2,-33.3,-2,-33.3,-1,-20.0,-12143,-11.8,-9972,-96.1,-321,-99.7,349,25.0
"05999","5","61141","77","0","2023","3","","Unknown Or Undefined, Arkansas","Private","NAICS 61141 Business and secretarial schools","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,3,4,4,81245,0,0,1704,"",5.65,2.25,3.10,2.78,3.89,0.00,0.00,1.44,"",0,0.0,-3,-50.0,-1,-20.0,0,0.0,-19885,-19.7,0,0.0,0,0.0,148,9.5
"06000","5","61141","57","0","2023","1","","California -- Statewide","Private","NAICS 61141 Business and secretarial schools","State, NAICS 5-digit -- by ownership sector","All establishment sizes",44,426,443,439,6817367,2369227,89442,1203,"",0.73,0.98,1.00,1.00,1.00,1.08,1.09,1.01,"",1,2.3,-43,-9.2,-31,-6.5,-45,-9.3,298156,4.6,-161648,-6.4,-10396,-10.4,149,14.1
"06000","5","61141","57","0","2023","2","","California -- Statewide","Private","NAICS 61141 Business and secretarial schools","State, NAICS 5-digit -- by ownership sector","All establishment sizes",44,447,448,453,6866397,445265,16942,1175,"",0.75,1.02,1.02,1.02,0.92,1.02,1.08,0.90,"",1,2.3,-44,-9.0,-43,-8.8,-25,-5.2,-56762,-0.8,36166,8.8,500,3.0,81,7.4
