"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","2","611430","58","0","2023","1","","Alabama -- Statewide","State Government","NAICS 611430 Professional and management development training","State, NAICS 6-digit -- by ownership sector","All establishment sizes",3,285,313,297,5157575,0,0,1330,"",11.52,9.87,10.63,10.20,12.48,0.00,0.00,1.22,"",0,0.0,59,26.1,90,40.4,71,31.4,613908,13.5,0,0.0,0,0.0,-223,-14.4
"01000","2","611430","58","0","2023","2","","Alabama -- Statewide","State Government","NAICS 611430 Professional and management development training","State, NAICS 6-digit -- by ownership sector","All establishment sizes",3,311,306,311,5250924,0,0,1306,"",11.42,10.60,10.41,10.69,11.15,0.00,0.00,1.06,"",0,0.0,88,39.5,82,36.6,87,38.8,726864,16.1,0,0.0,0,0.0,-250,-16.1
"01000","2","611430","58","0","2023","3","","Alabama -- Statewide","State Government","NAICS 611430 Professional and management development training","State, NAICS 6-digit -- by ownership sector","All establishment sizes",3,314,318,295,5146603,0,0,1281,"",11.44,10.61,10.89,9.86,11.77,0.00,0.00,1.13,"",0,0.0,91,40.8,93,41.3,70,31.1,506145,10.9,0,0.0,0,0.0,-310,-19.5
"01000","5","611430","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 611430 Professional and management development training","State, NAICS 6-digit -- by ownership sector","All establishment sizes",149,544,500,491,14349611,4302238,35285,2157,"",0.83,0.75,0.68,0.67,0.99,0.74,1.03,1.42,"",31,26.3,105,23.9,50,11.1,56,12.9,2457869,20.7,681400,18.8,-4678,-11.7,84,4.1
"01000","5","611430","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 611430 Professional and management development training","State, NAICS 6-digit -- by ownership sector","All establishment sizes",154,500,502,491,11631366,448552,5689,1798,"",0.83,0.69,0.69,0.67,0.82,0.45,0.82,1.20,"",29,23.2,48,10.6,53,11.8,36,7.9,1331200,12.9,-159386,-26.2,-2989,-34.4,45,2.6
"01000","5","611430","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 611430 Professional and management development training","State, NAICS 6-digit -- by ownership sector","All establishment sizes",154,486,486,489,11977343,338058,4201,1892,"",0.81,0.66,0.66,0.68,0.82,0.48,0.78,1.23,"",22,16.7,42,9.5,59,13.8,60,14.0,1214478,11.3,-153392,-31.2,-3896,-48.1,-19,-1.0
"01001","5","611430","78","0","2023","1","N","Autauga County, Alabama","Private","NAICS 611430 Professional and management development training","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.81,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","611430","78","0","2023","2","-","Autauga County, Alabama","Private","NAICS 611430 Professional and management development training","County, NAICS 6-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",-2,-100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","611430","78","0","2023","3","-","Autauga County, Alabama","Private","NAICS 611430 Professional and management development training","County, NAICS 6-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",-1,-100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","611430","78","0","2023","1","N","Baldwin County, Alabama","Private","NAICS 611430 Professional and management development training","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,0,0,0,0,0,0,0,"N",0.74,0,0,0,0,0,0,0,"N",2,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
