"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","6214","56","0","2023","1","","Alabama -- Statewide","Federal Government","NAICS 6214 Outpatient care centers","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1,165,162,165,3092356,0,0,1450,"",0.64,0.91,0.89,0.91,0.86,0.00,0.00,0.95,"",0,0.0,-13,-7.3,-16,-9.0,-17,-9.3,-53185,-1.7,0,0.0,0,0.0,101,7.5
"01000","1","6214","56","0","2023","2","","Alabama -- Statewide","Federal Government","NAICS 6214 Outpatient care centers","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1,167,174,183,3178529,0,0,1400,"",0.64,0.92,0.96,1.00,0.95,0.00,0.00,0.99,"",0,0.0,-16,-8.7,-1,-0.6,4,2.2,-485932,-13.3,0,0.0,0,0.0,-175,-11.1
"01000","1","6214","56","0","2023","3","","Alabama -- Statewide","Federal Government","NAICS 6214 Outpatient care centers","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1,186,189,191,4120846,0,0,1680,"",0.66,1.01,1.02,1.03,1.02,0.00,0.00,1.00,"",0,0.0,9,5.1,16,9.2,18,10.4,819872,24.8,0,0.0,0,0.0,223,15.3
"01000","2","6214","56","0","2023","1","","Alabama -- Statewide","State Government","NAICS 6214 Outpatient care centers","State, NAICS 4-digit -- by ownership sector","All establishment sizes",2,106,106,106,1701367,0,0,1235,"",0.17,0.36,0.36,0.36,0.49,0.00,0.00,1.35,"",0,0.0,3,2.9,1,1.0,5,5.0,419761,32.8,0,0.0,0,0.0,278,29.0
"01000","2","6214","56","0","2023","2","","Alabama -- Statewide","State Government","NAICS 6214 Outpatient care centers","State, NAICS 4-digit -- by ownership sector","All establishment sizes",2,109,110,107,1841824,0,0,1304,"",0.17,0.37,0.38,0.36,0.47,0.00,0.00,1.28,"",0,0.0,5,4.8,16,17.0,11,11.5,297581,19.3,0,0.0,0,0.0,92,7.6
"01000","2","6214","56","0","2023","3","","Alabama -- Statewide","State Government","NAICS 6214 Outpatient care centers","State, NAICS 4-digit -- by ownership sector","All establishment sizes",2,108,109,111,1833986,0,0,1290,"",0.17,0.36,0.37,0.37,0.47,0.00,0.00,1.27,"",0,0.0,4,3.8,10,10.1,22,24.7,286530,18.5,0,0.0,0,0.0,67,5.5
"01000","3","6214","56","0","2023","1","","Alabama -- Statewide","Local Government","NAICS 6214 Outpatient care centers","State, NAICS 4-digit -- by ownership sector","All establishment sizes",29,1536,1546,1551,22040260,2164752,7123,1098,"",4.48,3.95,3.93,3.94,4.29,2.58,4.23,1.09,"",0,0.0,16,1.1,42,2.8,35,2.3,3844343,21.1,204412,10.4,-9922,-58.2,173,18.7
"01000","3","6214","56","0","2023","2","","Alabama -- Statewide","Local Government","NAICS 6214 Outpatient care centers","State, NAICS 4-digit -- by ownership sector","All establishment sizes",30,1607,1610,1627,21067166,213460,750,1004,"",4.61,4.04,4.05,4.05,3.95,1.13,1.01,0.98,"",0,0.0,98,6.5,113,7.5,122,8.1,571413,2.8,-185513,-46.5,-2667,-78.1,-45,-4.3
"01000","3","6214","56","0","2023","3","","Alabama -- Statewide","Local Government","NAICS 6214 Outpatient care centers","State, NAICS 4-digit -- by ownership sector","All establishment sizes",29,1647,1633,1639,24040806,190989,543,1128,"",4.38,4.01,4.02,4.05,4.18,1.43,1.03,1.04,"",-1,-3.3,135,8.9,101,6.6,134,8.9,2726226,12.8,-88269,-31.6,-1847,-77.3,47,4.3
"01000","5","6214","56","0","2023","1","","Alabama -- Statewide","Private","NAICS 6214 Outpatient care centers","State, NAICS 4-digit -- by ownership sector","All establishment sizes",609,11830,11818,11815,255405439,53878651,238053,1662,"",0.96,0.83,0.82,0.82,1.14,0.79,0.66,1.38,"",24,4.1,233,2.0,356,3.1,321,2.8,18255169,7.7,1997665,3.9,-274123,-53.5,78,4.9
