"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","2","621420","58","0","2023","1","","Alabama -- Statewide","State Government","NAICS 621420 Outpatient mental health and substance abuse centers","State, NAICS 6-digit -- by ownership sector","All establishment sizes",2,106,106,106,1701367,0,0,1235,"",0.28,0.64,0.64,0.65,0.88,0.00,0.00,1.36,"",0,0.0,3,2.9,1,1.0,5,5.0,419761,32.8,0,0.0,0,0.0,278,29.0
"01000","2","621420","58","0","2023","2","","Alabama -- Statewide","State Government","NAICS 621420 Outpatient mental health and substance abuse centers","State, NAICS 6-digit -- by ownership sector","All establishment sizes",2,109,110,107,1841824,0,0,1304,"",0.28,0.66,0.67,0.65,0.85,0.00,0.00,1.30,"",0,0.0,5,4.8,16,17.0,11,11.5,297581,19.3,0,0.0,0,0.0,92,7.6
"01000","2","621420","58","0","2023","3","","Alabama -- Statewide","State Government","NAICS 621420 Outpatient mental health and substance abuse centers","State, NAICS 6-digit -- by ownership sector","All establishment sizes",2,108,109,111,1833986,0,0,1290,"",0.28,0.66,0.66,0.68,0.85,0.00,0.00,1.27,"",0,0.0,4,3.8,10,10.1,22,24.7,286530,18.5,0,0.0,0,0.0,67,5.5
"01000","3","621420","58","0","2023","1","N","Alabama -- Statewide","Local Government","NAICS 621420 Outpatient mental health and substance abuse centers","State, NAICS 6-digit -- by ownership sector","All establishment sizes",27,0,0,0,0,0,0,0,"N",8.60,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","621420","58","0","2023","2","N","Alabama -- Statewide","Local Government","NAICS 621420 Outpatient mental health and substance abuse centers","State, NAICS 6-digit -- by ownership sector","All establishment sizes",28,0,0,0,0,0,0,0,"N",8.81,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","621420","58","0","2023","3","N","Alabama -- Statewide","Local Government","NAICS 621420 Outpatient mental health and substance abuse centers","State, NAICS 6-digit -- by ownership sector","All establishment sizes",27,0,0,0,0,0,0,0,"N",8.37,0,0,0,0,0,0,0,"N",-1,-3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","621420","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 621420 Outpatient mental health and substance abuse centers","State, NAICS 6-digit -- by ownership sector","All establishment sizes",166,1969,1945,1953,23398960,12541643,81115,920,"",0.83,0.51,0.50,0.50,0.55,0.78,0.85,1.10,"",20,13.7,-80,-3.9,-92,-4.5,-101,-4.9,1809110,8.4,360462,3.0,-69728,-46.2,109,13.4
"01000","5","621420","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 621420 Outpatient mental health and substance abuse centers","State, NAICS 6-digit -- by ownership sector","All establishment sizes",168,1930,1945,1955,23382086,2234607,14709,926,"",0.81,0.49,0.49,0.49,0.52,0.59,0.55,1.06,"",20,13.5,-84,-4.2,-60,-3.0,-50,-2.5,270768,1.2,-480069,-17.7,-17825,-54.8,41,4.6
"01000","5","621420","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 621420 Outpatient mental health and substance abuse centers","State, NAICS 6-digit -- by ownership sector","All establishment sizes",176,1927,1942,2002,24358921,1670545,11047,957,"",0.83,0.48,0.48,0.50,0.52,0.55,0.51,1.07,"",23,15.0,-106,-5.2,-94,-4.6,-31,-1.5,-124760,-0.5,-387623,-18.8,-16870,-60.4,31,3.3
"01001","3","621420","78","0","2023","1","N","Autauga County, Alabama","Local Government","NAICS 621420 Outpatient mental health and substance abuse centers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",46.76,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","3","621420","78","0","2023","2","N","Autauga County, Alabama","Local Government","NAICS 621420 Outpatient mental health and substance abuse centers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",46.35,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","3","621420","78","0","2023","3","N","Autauga County, Alabama","Local Government","NAICS 621420 Outpatient mental health and substance abuse centers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",45.22,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","621420","78","0","2023","1","N","Autauga County, Alabama","Private","NAICS 621420 Outpatient mental health and substance abuse centers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.46,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","621420","78","0","2023","2","N","Autauga County, Alabama","Private","NAICS 621420 Outpatient mental health and substance abuse centers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.42,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","621420","78","0","2023","3","N","Autauga County, Alabama","Private","NAICS 621420 Outpatient mental health and substance abuse centers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.38,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","621420","78","0","2023","1","N","Baldwin County, Alabama","Private","NAICS 621420 Outpatient mental health and substance abuse centers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",0.38,0,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","621420","78","0","2023","2","N","Baldwin County, Alabama","Private","NAICS 621420 Outpatient mental health and substance abuse centers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",0.36,0,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","621420","78","0","2023","3","N","Baldwin County, Alabama","Private","NAICS 621420 Outpatient mental health and substance abuse centers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",0.35,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
