"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","622110","58","0","2023","1","","Alabama -- Statewide","Federal Government","NAICS 622110 General medical and surgical hospitals","State, NAICS 6-digit -- by ownership sector","All establishment sizes",9,5896,5932,5926,143661132,0,0,1867,"",1.67,1.21,1.21,1.21,1.36,0.00,0.00,1.13,"",1,12.5,291,5.2,328,5.9,318,5.7,31167858,27.7,0,0.0,0,0.0,323,20.9
"01000","1","622110","58","0","2023","2","","Alabama -- Statewide","Federal Government","NAICS 622110 General medical and surgical hospitals","State, NAICS 6-digit -- by ownership sector","All establishment sizes",9,5917,5888,5898,122335440,0,0,1595,"",1.67,1.21,1.20,1.20,1.27,0.00,0.00,1.06,"",1,12.5,332,5.9,312,5.6,265,4.7,-8643781,-6.6,0,0.0,0,0.0,-205,-11.4
"01000","1","622110","58","0","2023","3","","Alabama -- Statewide","Federal Government","NAICS 622110 General medical and surgical hospitals","State, NAICS 6-digit -- by ownership sector","All establishment sizes",9,5919,5974,6049,149865640,0,0,1928,"",1.68,1.19,1.20,1.20,1.26,0.00,0.00,1.06,"",0,0.0,289,5.1,337,6.0,304,5.3,17440021,13.2,0,0.0,0,0.0,132,7.3
"01000","2","622110","58","0","2023","1","","Alabama -- Statewide","State Government","NAICS 622110 General medical and surgical hospitals","State, NAICS 6-digit -- by ownership sector","All establishment sizes",10,15926,15843,15937,295805958,0,0,1431,"",6.62,4.44,4.39,4.39,4.79,0.00,0.00,1.09,"",0,0.0,-83,-0.5,-185,-1.2,-70,-0.4,48408939,19.6,0,0.0,0,0.0,243,20.5
"01000","2","622110","58","0","2023","2","","Alabama -- Statewide","State Government","NAICS 622110 General medical and surgical hospitals","State, NAICS 6-digit -- by ownership sector","All establishment sizes",10,15954,16143,16395,283413501,0,0,1349,"",6.57,4.43,4.49,4.52,4.57,0.00,0.00,1.02,"",0,0.0,-51,-0.3,78,0.5,298,1.9,21575104,8.2,0,0.0,0,0.0,95,7.6
"01000","2","622110","58","0","2023","3","","Alabama -- Statewide","State Government","NAICS 622110 General medical and surgical hospitals","State, NAICS 6-digit -- by ownership sector","All establishment sizes",10,16461,16595,16790,303839412,0,0,1407,"",6.57,4.50,4.52,4.57,4.51,0.00,0.00,1.00,"",0,0.0,-332,-2.0,-212,-1.3,-35,-0.2,25143152,9.0,0,0.0,0,0.0,132,10.4
"01000","3","622110","58","0","2023","1","","Alabama -- Statewide","Local Government","NAICS 622110 General medical and surgical hospitals","State, NAICS 6-digit -- by ownership sector","All establishment sizes",35,29222,29392,29488,456795225,7250142,21760,1197,"",1.98,3.19,3.20,3.21,3.15,1.78,5.46,0.98,"",0,0.0,629,2.2,885,3.1,945,3.3,19932700,4.6,482586,7.1,-34465,-61.3,20,1.7
"01000","3","622110","58","0","2023","2","","Alabama -- Statewide","Local Government","NAICS 622110 General medical and surgical hospitals","State, NAICS 6-digit -- by ownership sector","All establishment sizes",35,29316,29378,29801,503887686,1632531,4908,1314,"",1.94,3.19,3.19,3.21,3.44,0.93,2.99,1.07,"",0,0.0,699,2.4,744,2.6,1111,3.9,76770856,18.0,281314,20.8,-6025,-55.1,167,14.6
"01000","3","622110","58","0","2023","3","","Alabama -- Statewide","Local Government","NAICS 622110 General medical and surgical hospitals","State, NAICS 6-digit -- by ownership sector","All establishment sizes",35,30438,30587,30719,494853046,1137729,3462,1245,"",1.90,3.27,3.28,3.29,3.16,0.67,2.37,0.96,"",0,0.0,1486,5.1,1545,5.3,1665,5.7,-1690071,-0.3,63498,5.9,-5390,-60.9,-71,-5.4
"01000","5","622110","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 622110 General medical and surgical hospitals","State, NAICS 6-digit -- by ownership sector","All establishment sizes",114,41240,41466,41517,654126133,147568939,434446,1215,"",0.83,0.64,0.64,0.63,0.62,1.88,1.45,0.98,"",2,1.8,602,1.5,777,1.9,762,1.9,75047885,13.0,7547067,5.4,-683259,-61.1,120,11.0
"01000","5","622110","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 622110 General medical and surgical hospitals","State, NAICS 6-digit -- by ownership sector","All establishment sizes",115,40586,40899,41222,648836023,21604527,68545,1220,"",0.82,0.62,0.63,0.63,0.60,1.45,1.09,0.97,"",4,3.6,-275,-0.7,-26,-0.1,203,0.5,15760580,2.5,-6176483,-22.2,-153636,-69.1,30,2.5
"01000","5","622110","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 622110 General medical and surgical hospitals","State, NAICS 6-digit -- by ownership sector","All establishment sizes",122,41436,41428,41974,669586280,19255723,68032,1238,"",0.85,0.62,0.62,0.63,0.59,1.72,1.38,0.95,"",9,8.0,-586,-1.4,-570,-1.4,-20,0.0,-23900589,-3.4,-681993,-3.4,-89233,-56.7,-32,-2.5
"01001","2","622110","78","0","2023","1","","Autauga County, Alabama","State Government","NAICS 622110 General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,328,315,312,5867747,0,0,1418,"",97.14,16.09,15.30,15.03,20.53,0.00,0.00,1.33,"",0,0.0,-11,-3.2,-21,-6.2,-13,-4.0,337183,6.1,0,0.0,0,0.0,142,11.1
"01001","2","622110","78","0","2023","2","","Autauga County, Alabama","State Government","NAICS 622110 General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,335,329,327,6317002,0,0,1471,"",96.70,16.31,15.96,15.73,20.96,0.00,0.00,1.31,"",0,0.0,10,3.1,-13,-3.8,-14,-4.1,648745,11.4,0,0.0,0,0.0,173,13.3
"01001","2","622110","78","0","2023","3","","Autauga County, Alabama","State Government","NAICS 622110 General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,310,301,304,5425179,0,0,1368,"",95.91,14.77,14.35,14.55,16.76,0.00,0.00,1.15,"",0,0.0,-21,-6.3,-32,-9.6,-25,-7.6,-871401,-13.8,0,0.0,0,0.0,-95,-6.5
"01003","5","622110","78","0","2023","1","N","Baldwin County, Alabama","Private","NAICS 622110 General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",0.55,0,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","622110","78","0","2023","2","N","Baldwin County, Alabama","Private","NAICS 622110 General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",0.54,0,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","622110","78","0","2023","3","N","Baldwin County, Alabama","Private","NAICS 622110 General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",0.52,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","622110","78","0","2023","1","N","Barbour County, Alabama","Private","NAICS 622110 General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.92,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","622110","78","0","2023","2","N","Barbour County, Alabama","Private","NAICS 622110 General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.85,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","622110","78","0","2023","3","N","Barbour County, Alabama","Private","NAICS 622110 General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.85,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","3","622110","78","0","2023","1","N","Bibb County, Alabama","Local Government","NAICS 622110 General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",20.87,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","3","622110","78","0","2023","2","N","Bibb County, Alabama","Local Government","NAICS 622110 General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",20.17,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","3","622110","78","0","2023","3","N","Bibb County, Alabama","Local Government","NAICS 622110 General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",19.66,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","622110","78","0","2023","1","N","Blount County, Alabama","Private","NAICS 622110 General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.22,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","622110","78","0","2023","2","N","Blount County, Alabama","Private","NAICS 622110 General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.20,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","622110","78","0","2023","3","N","Blount County, Alabama","Private","NAICS 622110 General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.18,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","5","622110","78","0","2023","1","N","Bullock County, Alabama","Private","NAICS 622110 General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",5.36,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","5","622110","78","0","2023","2","N","Bullock County, Alabama","Private","NAICS 622110 General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",5.26,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","5","622110","78","0","2023","3","N","Bullock County, Alabama","Private","NAICS 622110 General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",5.26,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","622110","78","0","2023","1","N","Butler County, Alabama","Private","NAICS 622110 General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.06,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","622110","78","0","2023","2","N","Butler County, Alabama","Private","NAICS 622110 General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.04,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","622110","78","0","2023","3","N","Butler County, Alabama","Private","NAICS 622110 General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.01,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","1","622110","78","0","2023","1","","Calhoun County, Alabama","Federal Government","NAICS 622110 General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,19,19,20,318674,0,0,1268,"",10.35,0.18,0.18,0.19,0.17,0.00,0.00,0.90,"",0,0.0,1,5.6,2,11.8,3,17.6,45735,16.8,0,0.0,0,0.0,57,4.7
"01015","1","622110","78","0","2023","2","","Calhoun County, Alabama","Federal Government","NAICS 622110 General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,20,20,20,352475,0,0,1356,"",10.34,0.19,0.19,0.19,0.20,0.00,0.00,1.06,"",0,0.0,3,17.6,3,17.6,3,17.6,17828,5.3,0,0.0,0,0.0,-158,-10.4
"01015","1","622110","78","0","2023","3","","Calhoun County, Alabama","Federal Government","NAICS 622110 General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,20,19,19,369587,0,0,1471,"",10.48,0.19,0.18,0.18,0.18,0.00,0.00,0.99,"",0,0.0,3,17.6,-1,-5.0,-1,-5.0,66378,21.9,0,0.0,0,0.0,243,19.8
"01015","3","622110","78","0","2023","1","N","Calhoun County, Alabama","Local Government","NAICS 622110 General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",6.31,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","3","622110","78","0","2023","2","N","Calhoun County, Alabama","Local Government","NAICS 622110 General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",6.19,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","3","622110","78","0","2023","3","N","Calhoun County, Alabama","Local Government","NAICS 622110 General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",6.09,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","3","622110","78","0","2023","1","N","Chambers County, Alabama","Local Government","NAICS 622110 General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",11.48,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","3","622110","78","0","2023","2","N","Chambers County, Alabama","Local Government","NAICS 622110 General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",11.44,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","3","622110","78","0","2023","3","N","Chambers County, Alabama","Local Government","NAICS 622110 General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",11.14,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01019","5","622110","78","0","2023","1","N","Cherokee County, Alabama","Private","NAICS 622110 General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.35,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01019","5","622110","78","0","2023","2","N","Cherokee County, Alabama","Private","NAICS 622110 General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.26,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01019","5","622110","78","0","2023","3","N","Cherokee County, Alabama","Private","NAICS 622110 General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.25,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
