"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","3","62311","57","0","2023","1","","Alabama -- Statewide","Local Government","NAICS 62311 Nursing care facilities (skilled nursing facilities)","State, NAICS 5-digit -- by ownership sector","All establishment sizes",8,848,861,860,8061498,2003957,4872,724,"",1.99,1.60,1.62,1.62,1.48,6.83,9.42,0.91,"",0,0.0,32,3.9,27,3.2,32,3.9,216498,2.8,106871,5.6,-9496,-66.1,-7,-1.0
"01000","3","62311","57","0","2023","2","","Alabama -- Statewide","Local Government","NAICS 62311 Nursing care facilities (skilled nursing facilities)","State, NAICS 5-digit -- by ownership sector","All establishment sizes",9,814,812,849,6912376,497283,1298,645,"",2.21,1.55,1.55,1.59,1.26,5.58,7.87,0.81,"",1,12.5,-10,-1.2,-21,-2.5,-5,-0.6,-616866,-8.2,-18845,-3.7,-2613,-66.8,-47,-6.8
"01000","3","62311","57","0","2023","3","","Alabama -- Statewide","Local Government","NAICS 62311 Nursing care facilities (skilled nursing facilities)","State, NAICS 5-digit -- by ownership sector","All establishment sizes",9,866,885,895,8576036,325077,792,748,"",2.21,1.62,1.65,1.69,1.48,3.75,2.86,0.90,"",1,12.5,27,3.2,32,3.8,55,6.5,219282,2.6,-8078,-2.4,-1679,-67.9,-14,-1.8
"01000","5","62311","57","0","2023","1","","Alabama -- Statewide","Private","NAICS 62311 Nursing care facilities (skilled nursing facilities)","State, NAICS 5-digit -- by ownership sector","All establishment sizes",256,24653,24767,24874,234940989,154174564,588709,730,"",0.99,1.32,1.32,1.32,1.35,1.58,1.26,1.03,"",14,5.8,2830,13.0,2820,12.8,3124,14.4,24107377,11.4,12258038,8.6,-710563,-54.7,-13,-1.7
"01000","5","62311","57","0","2023","2","","Alabama -- Statewide","Private","NAICS 62311 Nursing care facilities (skilled nursing facilities)","State, NAICS 5-digit -- by ownership sector","All establishment sizes",254,25281,25356,25840,236999459,45829147,278182,715,"",0.97,1.34,1.34,1.35,1.29,1.77,1.80,0.96,"",8,3.3,3175,14.4,3008,13.5,3211,14.2,17283966,7.9,5450932,13.5,-108940,-28.1,-41,-5.4
"01000","5","62311","57","0","2023","3","","Alabama -- Statewide","Private","NAICS 62311 Nursing care facilities (skilled nursing facilities)","State, NAICS 5-digit -- by ownership sector","All establishment sizes",259,26523,26646,27122,258343215,39322558,290828,743,"",0.99,1.37,1.37,1.40,1.35,1.83,2.13,0.98,"",16,6.6,2113,8.7,2074,8.4,2429,9.8,16855312,7.0,6428092,19.5,-23531,-7.5,-13,-1.7
"01001","5","62311","77","0","2023","1","N","Autauga County, Alabama","Private","NAICS 62311 Nursing care facilities (skilled nursing facilities)","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.14,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","62311","77","0","2023","2","N","Autauga County, Alabama","Private","NAICS 62311 Nursing care facilities (skilled nursing facilities)","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.13,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","62311","77","0","2023","3","N","Autauga County, Alabama","Private","NAICS 62311 Nursing care facilities (skilled nursing facilities)","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.12,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","62311","77","0","2023","1","","Baldwin County, Alabama","Private","NAICS 62311 Nursing care facilities (skilled nursing facilities)","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,814,829,837,9772859,5675382,42354,909,"",0.74,1.13,1.13,1.12,1.82,1.48,2.38,1.61,"",0,0.0,168,26.0,186,28.9,200,31.4,2833309,40.8,1682773,42.1,2573,6.5,78,9.4
