"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","3","62331","57","0","2023","1","N","Alabama -- Statewide","Local Government","NAICS 62331 Continuing care retirement communities and assisted living facilities for the elderly","State, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.45,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","62331","57","0","2023","2","-","Alabama -- Statewide","Local Government","NAICS 62331 Continuing care retirement communities and assisted living facilities for the elderly","State, NAICS 5-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",-1,-100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","62331","57","0","2023","3","-","Alabama -- Statewide","Local Government","NAICS 62331 Continuing care retirement communities and assisted living facilities for the elderly","State, NAICS 5-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",-1,-100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","62331","57","0","2023","1","","Alabama -- Statewide","Private","NAICS 62331 Continuing care retirement communities and assisted living facilities for the elderly","State, NAICS 5-digit -- by ownership sector","All establishment sizes",260,7643,7695,7804,61825750,42309092,252388,617,"",0.70,0.61,0.61,0.62,0.65,0.78,0.91,1.06,"",8,3.2,573,8.1,565,7.9,642,9.0,8986055,17.0,5695979,15.6,-179137,-41.5,46,8.1
"01000","5","62331","57","0","2023","2","","Alabama -- Statewide","Private","NAICS 62331 Continuing care retirement communities and assisted living facilities for the elderly","State, NAICS 5-digit -- by ownership sector","All establishment sizes",256,7760,7839,7984,61737418,16092555,113009,604,"",0.68,0.62,0.62,0.62,0.62,0.92,1.01,0.99,"",2,0.8,575,8.0,575,7.9,650,8.9,5910097,10.6,-84496,-0.5,-82501,-42.2,13,2.2
"01000","5","62331","57","0","2023","3","","Alabama -- Statewide","Private","NAICS 62331 Continuing care retirement communities and assisted living facilities for the elderly","State, NAICS 5-digit -- by ownership sector","All establishment sizes",259,7764,7763,7838,64125418,12047076,95962,633,"",0.68,0.60,0.60,0.61,0.62,0.78,0.96,1.02,"",10,4.0,292,3.9,255,3.4,312,4.1,2584133,4.2,-263046,-2.1,-44652,-31.8,2,0.3
"01001","5","62331","77","0","2023","1","N","Autauga County, Alabama","Private","NAICS 62331 Continuing care retirement communities and assisted living facilities for the elderly","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.39,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","62331","77","0","2023","2","N","Autauga County, Alabama","Private","NAICS 62331 Continuing care retirement communities and assisted living facilities for the elderly","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.39,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","62331","77","0","2023","3","N","Autauga County, Alabama","Private","NAICS 62331 Continuing care retirement communities and assisted living facilities for the elderly","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.38,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","62331","77","0","2023","1","","Baldwin County, Alabama","Private","NAICS 62331 Continuing care retirement communities and assisted living facilities for the elderly","County, NAICS 5-digit -- by ownership sector","All establishment sizes",15,614,606,611,5436706,2665245,17578,685,"",0.76,1.27,1.24,1.23,1.85,1.25,1.66,1.48,"",0,0.0,36,6.2,16,2.7,15,2.5,713979,15.1,470484,21.4,-15852,-47.4,67,10.8
"01003","5","62331","77","0","2023","2","","Baldwin County, Alabama","Private","NAICS 62331 Continuing care retirement communities and assisted living facilities for the elderly","County, NAICS 5-digit -- by ownership sector","All establishment sizes",14,611,622,642,5325650,850663,6089,655,"",0.70,1.21,1.22,1.22,1.62,0.97,1.24,1.32,"",1,7.7,14,2.3,19,3.2,24,3.9,436705,8.9,80216,10.4,-4893,-44.6,34,5.5
"01003","5","62331","77","0","2023","3","","Baldwin County, Alabama","Private","NAICS 62331 Continuing care retirement communities and assisted living facilities for the elderly","County, NAICS 5-digit -- by ownership sector","All establishment sizes",14,628,642,664,5510678,757442,5544,658,"",0.69,1.19,1.22,1.29,1.55,0.99,1.23,1.26,"",1,7.7,18,3.0,50,8.4,61,10.1,401300,7.9,144246,23.5,-4489,-44.7,5,0.8
"01005","5","62331","77","0","2023","1","N","Barbour County, Alabama","Private","NAICS 62331 Continuing care retirement communities and assisted living facilities for the elderly","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.41,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","62331","77","0","2023","2","N","Barbour County, Alabama","Private","NAICS 62331 Continuing care retirement communities and assisted living facilities for the elderly","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.37,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","62331","77","0","2023","3","N","Barbour County, Alabama","Private","NAICS 62331 Continuing care retirement communities and assisted living facilities for the elderly","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.39,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","62331","77","0","2023","1","N","Blount County, Alabama","Private","NAICS 62331 Continuing care retirement communities and assisted living facilities for the elderly","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",1.79,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","62331","77","0","2023","2","N","Blount County, Alabama","Private","NAICS 62331 Continuing care retirement communities and assisted living facilities for the elderly","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",1.78,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","62331","77","0","2023","3","N","Blount County, Alabama","Private","NAICS 62331 Continuing care retirement communities and assisted living facilities for the elderly","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",1.77,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","62331","77","0","2023","1","N","Butler County, Alabama","Private","NAICS 62331 Continuing care retirement communities and assisted living facilities for the elderly","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.51,0,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","62331","77","0","2023","2","N","Butler County, Alabama","Private","NAICS 62331 Continuing care retirement communities and assisted living facilities for the elderly","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.51,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","62331","77","0","2023","3","N","Butler County, Alabama","Private","NAICS 62331 Continuing care retirement communities and assisted living facilities for the elderly","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.51,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","62331","77","0","2023","1","","Calhoun County, Alabama","Private","NAICS 62331 Continuing care retirement communities and assisted living facilities for the elderly","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,143,146,144,874765,693577,2483,466,"",0.60,0.54,0.55,0.54,0.51,0.71,0.50,0.94,"",0,0.0,12,9.2,7,5.0,8,5.9,94430,12.1,82279,13.5,-3097,-55.5,22,5.0
"01015","5","62331","77","0","2023","2","","Calhoun County, Alabama","Private","NAICS 62331 Continuing care retirement communities and assisted living facilities for the elderly","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,144,143,143,975486,257982,917,524,"",0.59,0.54,0.54,0.53,0.54,0.72,0.43,1.02,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","62331","77","0","2023","3","","Calhoun County, Alabama","Private","NAICS 62331 Continuing care retirement communities and assisted living facilities for the elderly","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,126,133,136,838610,368491,7213,490,"",0.59,0.46,0.49,0.50,0.47,1.24,3.86,0.98,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
