"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","3","623311","58","0","2023","1","N","Alabama -- Statewide","Local Government","NAICS 623311 Continuing care retirement communities","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.84,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","623311","58","0","2023","2","-","Alabama -- Statewide","Local Government","NAICS 623311 Continuing care retirement communities","State, NAICS 6-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",-1,-100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","623311","58","0","2023","3","-","Alabama -- Statewide","Local Government","NAICS 623311 Continuing care retirement communities","State, NAICS 6-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",-1,-100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","623311","58","0","2023","1","","Alabama -- Statewide","Private","NAICS 623311 Continuing care retirement communities","State, NAICS 6-digit -- by ownership sector","All establishment sizes",120,4709,4744,4832,39828416,26066647,149919,643,"",1.28,0.76,0.76,0.77,0.81,1.15,1.41,1.05,"",1,0.8,336,7.7,341,7.7,393,8.9,5452470,15.9,3380883,14.9,-98468,-39.6,43,7.2
"01000","5","623311","58","0","2023","2","","Alabama -- Statewide","Private","NAICS 623311 Continuing care retirement communities","State, NAICS 6-digit -- by ownership sector","All establishment sizes",118,4800,4912,5040,40066291,9828806,70580,627,"",1.25,0.77,0.78,0.79,0.77,1.37,1.69,0.98,"",2,1.7,327,7.3,373,8.2,486,10.7,3795767,10.5,-23756,-0.2,-38491,-35.3,10,1.6
"01000","5","623311","58","0","2023","3","","Alabama -- Statewide","Private","NAICS 623311 Continuing care retirement communities","State, NAICS 6-digit -- by ownership sector","All establishment sizes",118,4906,4863,4890,41752899,7471965,55967,657,"",1.25,0.77,0.76,0.77,0.78,1.22,1.55,1.02,"",2,1.7,246,5.3,180,3.8,186,4.0,1148449,2.8,-430032,-5.4,-28938,-34.1,-10,-1.5
"01001","5","623311","78","0","2023","1","N","Autauga County, Alabama","Private","NAICS 623311 Continuing care retirement communities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.56,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","623311","78","0","2023","2","N","Autauga County, Alabama","Private","NAICS 623311 Continuing care retirement communities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.56,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","623311","78","0","2023","3","N","Autauga County, Alabama","Private","NAICS 623311 Continuing care retirement communities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.54,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","623311","78","0","2023","1","","Baldwin County, Alabama","Private","NAICS 623311 Continuing care retirement communities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,422,413,422,3907478,1493728,9242,717,"",1.82,1.76,1.70,1.70,2.55,1.68,2.28,1.48,"",0,0.0,16,3.9,-3,-0.7,9,2.2,568140,17.0,345905,30.1,-10332,-52.8,93,14.9
"01003","5","623311","78","0","2023","2","","Baldwin County, Alabama","Private","NAICS 623311 Continuing care retirement communities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,424,426,442,3700736,477894,3421,661,"",1.60,1.70,1.69,1.69,2.16,1.32,1.86,1.28,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","623311","78","0","2023","3","","Baldwin County, Alabama","Private","NAICS 623311 Continuing care retirement communities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,432,430,443,3864335,469451,3551,683,"",1.58,1.65,1.65,1.74,2.10,1.55,2.18,1.25,"",0,0.0,3,0.7,19,4.6,22,5.2,309650,8.7,96276,25.8,-3161,-47.1,32,4.9
"01015","5","623311","78","0","2023","1","N","Calhoun County, Alabama","Private","NAICS 623311 Continuing care retirement communities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.19,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","623311","78","0","2023","2","N","Calhoun County, Alabama","Private","NAICS 623311 Continuing care retirement communities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.18,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","623311","78","0","2023","3","N","Calhoun County, Alabama","Private","NAICS 623311 Continuing care retirement communities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.19,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","623311","78","0","2023","1","N","Chambers County, Alabama","Private","NAICS 623311 Continuing care retirement communities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",4.32,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
