"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","62419","57","0","2023","1","","Alabama -- Statewide","Federal Government","NAICS 62419 Other individual and family services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,6,6,75291,0,0,1022,"",1.18,0.30,0.36,0.36,0.45,0.00,0.00,1.32,"",0,0.0,-1,-16.7,1,20.0,1,20.0,5228,7.5,0,0.0,0,0.0,11,1.1
"01000","1","62419","57","0","2023","2","","Alabama -- Statewide","Federal Government","NAICS 62419 Other individual and family services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,6,6,96455,0,0,1237,"",1.17,0.36,0.36,0.35,0.56,0.00,0.00,1.58,"",0,0.0,1,20.0,1,20.0,1,20.0,22190,29.9,0,0.0,0,0.0,94,8.2
"01000","1","62419","57","0","2023","3","","Alabama -- Statewide","Federal Government","NAICS 62419 Other individual and family services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,6,7,88550,0,0,1076,"",1.17,0.35,0.35,0.42,0.47,0.00,0.00,1.26,"",0,0.0,1,20.0,1,20.0,2,40.0,24623,38.5,0,0.0,0,0.0,93,9.5
"01000","3","62419","57","0","2023","1","","Alabama -- Statewide","Local Government","NAICS 62419 Other individual and family services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",18,217,221,219,2462018,976579,1964,865,"",1.83,0.30,0.30,0.30,0.28,0.75,0.66,0.92,"",0,0.0,1,0.5,-2,-0.9,3,1.4,255902,11.6,28204,3.0,-7088,-78.3,88,11.3
"01000","3","62419","57","0","2023","2","","Alabama -- Statewide","Local Government","NAICS 62419 Other individual and family services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",18,219,220,221,2485341,122592,459,869,"",1.82,0.30,0.30,0.30,0.27,0.48,0.64,0.89,"",0,0.0,3,1.4,4,1.9,7,3.3,256305,11.5,1992,1.7,-653,-58.7,73,9.2
"01000","3","62419","57","0","2023","3","","Alabama -- Statewide","Local Government","NAICS 62419 Other individual and family services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",18,218,215,220,2537719,86218,178,897,"",1.82,0.29,0.29,0.30,0.26,0.41,0.30,0.89,"",0,0.0,2,0.9,5,2.4,5,2.3,172681,7.3,8329,10.7,-571,-76.2,46,5.4
"01000","5","62419","57","0","2023","1","","Alabama -- Statewide","Private","NAICS 62419 Other individual and family services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",608,3718,3741,3747,40640355,22970034,185694,837,"",1.12,0.57,0.56,0.56,0.65,0.82,0.94,1.15,"",42,7.4,156,4.4,144,4.0,127,3.5,4649484,12.9,1262028,5.8,-114224,-38.1,66,8.6
"01000","5","62419","57","0","2023","2","","Alabama -- Statewide","Private","NAICS 62419 Other individual and family services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",613,3657,3684,3797,40506891,4723382,49934,839,"",1.10,0.55,0.55,0.57,0.60,0.63,0.83,1.09,"",32,5.5,32,0.9,77,2.1,266,7.5,2462900,6.5,155908,3.4,-15834,-24.1,23,2.8
"01000","5","62419","57","0","2023","3","","Alabama -- Statewide","Private","NAICS 62419 Other individual and family services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",623,3712,3789,3730,41035535,2945177,26707,843,"",1.11,0.54,0.56,0.55,0.60,0.49,0.55,1.08,"",38,6.5,269,7.8,211,5.9,195,5.5,1789410,4.6,-181707,-5.8,-20574,-43.5,-15,-1.7
"01001","5","62419","77","0","2023","1","N","Autauga County, Alabama","Private","NAICS 62419 Other individual and family services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0,"N",1.35,0,0,0,0,0,0,0,"N",-1,-16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","62419","77","0","2023","2","N","Autauga County, Alabama","Private","NAICS 62419 Other individual and family services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0,"N",1.33,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","62419","77","0","2023","3","N","Autauga County, Alabama","Private","NAICS 62419 Other individual and family services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0,"N",1.29,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","62419","77","0","2023","1","","Baldwin County, Alabama","Private","NAICS 62419 Other individual and family services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",35,167,170,167,2018914,1078333,4181,924,"",1.22,0.65,0.66,0.63,1.04,0.98,0.56,1.60,"",1,2.9,0,0.0,5,3.0,1,0.6,130487,6.9,15409,1.4,-4017,-49.0,49,5.6
"01003","5","62419","77","0","2023","2","","Baldwin County, Alabama","Private","NAICS 62419 Other individual and family services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",35,163,164,161,1861601,116683,753,880,"",1.19,0.61,0.61,0.58,0.84,0.31,0.28,1.40,"",-2,-5.4,-5,-3.0,-3,-1.8,-7,-4.2,-88006,-4.5,-31113,-21.1,-763,-50.3,-14,-1.6
"01003","5","62419","77","0","2023","3","","Baldwin County, Alabama","Private","NAICS 62419 Other individual and family services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",38,169,165,169,2001312,96279,580,918,"",1.26,0.61,0.59,0.63,0.85,0.32,0.26,1.39,"",2,5.6,-6,-3.4,-11,-6.2,0,0.0,883,0.0,-33161,-25.6,-637,-52.3,30,3.4
"01005","5","62419","77","0","2023","1","N","Barbour County, Alabama","Private","NAICS 62419 Other individual and family services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.97,0,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","62419","77","0","2023","2","N","Barbour County, Alabama","Private","NAICS 62419 Other individual and family services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.94,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","62419","77","0","2023","3","N","Barbour County, Alabama","Private","NAICS 62419 Other individual and family services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.94,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","62419","77","0","2023","1","","Blount County, Alabama","Private","NAICS 62419 Other individual and family services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,7,7,7,77623,46132,411,853,"",1.23,0.25,0.24,0.25,0.41,0.46,0.68,1.68,"",0,0.0,0,0.0,0,0.0,0,0.0,6513,9.2,-618,-1.3,-294,-41.7,72,9.2
"01009","5","62419","77","0","2023","2","N","Blount County, Alabama","Private","NAICS 62419 Other individual and family services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.91,0,0,0,0,0,0,0,"N",-1,-25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","62419","77","0","2023","3","N","Blount County, Alabama","Private","NAICS 62419 Other individual and family services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.90,0,0,0,0,0,0,0,"N",-1,-25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","3","62419","77","0","2023","1","N","Bullock County, Alabama","Local Government","NAICS 62419 Other individual and family services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",74.45,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","3","62419","77","0","2023","2","N","Bullock County, Alabama","Local Government","NAICS 62419 Other individual and family services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",74.76,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","3","62419","77","0","2023","3","N","Bullock County, Alabama","Local Government","NAICS 62419 Other individual and family services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",76.32,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","5","62419","77","0","2023","1","N","Bullock County, Alabama","Private","NAICS 62419 Other individual and family services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",2.70,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","5","62419","77","0","2023","2","N","Bullock County, Alabama","Private","NAICS 62419 Other individual and family services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",2.66,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","5","62419","77","0","2023","3","N","Bullock County, Alabama","Private","NAICS 62419 Other individual and family services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",2.68,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","62419","77","0","2023","1","N","Butler County, Alabama","Private","NAICS 62419 Other individual and family services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.52,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","62419","77","0","2023","2","N","Butler County, Alabama","Private","NAICS 62419 Other individual and family services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.52,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","62419","77","0","2023","3","N","Butler County, Alabama","Private","NAICS 62419 Other individual and family services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.51,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","3","62419","77","0","2023","1","N","Calhoun County, Alabama","Local Government","NAICS 62419 Other individual and family services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",5.65,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","3","62419","77","0","2023","2","N","Calhoun County, Alabama","Local Government","NAICS 62419 Other individual and family services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",5.65,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","3","62419","77","0","2023","3","N","Calhoun County, Alabama","Local Government","NAICS 62419 Other individual and family services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",5.68,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","62419","77","0","2023","1","","Calhoun County, Alabama","Private","NAICS 62419 Other individual and family services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",19,86,85,85,665172,477555,4877,600,"",1.95,0.61,0.60,0.60,0.58,0.94,1.39,0.97,"",1,5.6,1,1.2,6,7.6,1,1.2,93498,16.4,40489,9.3,-1900,-28.0,68,12.8
"01015","5","62419","77","0","2023","2","","Calhoun County, Alabama","Private","NAICS 62419 Other individual and family services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",20,86,85,90,762197,166233,1929,674,"",2.01,0.61,0.60,0.64,0.63,1.08,1.67,1.03,"",2,11.1,11,14.7,9,11.8,11,13.9,183774,31.8,4663,2.9,-996,-34.1,94,16.2
"01015","5","62419","77","0","2023","3","","Calhoun County, Alabama","Private","NAICS 62419 Other individual and family services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",22,97,102,96,826543,129314,2285,647,"",2.19,0.68,0.71,0.68,0.70,1.10,2.51,1.02,"",4,22.2,14,16.9,17,20.0,12,14.3,218824,36.0,13463,11.6,-208,-8.3,90,16.2
"01017","5","62419","77","0","2023","1","N","Chambers County, Alabama","Private","NAICS 62419 Other individual and family services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0,"N",1.86,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","62419","77","0","2023","2","N","Chambers County, Alabama","Private","NAICS 62419 Other individual and family services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0,"N",1.86,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
