"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","62421","57","0","2023","1","","Alabama -- Statewide","Federal Government","NAICS 62421 Community food services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,4,4,26490,0,0,470,"",8.53,3.84,3.00,3.00,2.99,0.00,0.00,0.91,"",0,0.0,-1,-16.7,-2,-33.3,-2,-33.3,-1229,-4.4,0,0.0,0,0.0,115,32.4
"01000","1","62421","57","0","2023","2","","Alabama -- Statewide","Federal Government","NAICS 62421 Community food services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,5,5,31257,0,0,481,"",8.46,3.62,3.82,4.52,4.00,0.00,0.00,1.01,"",0,0.0,-1,-16.7,-1,-16.7,-1,-16.7,-4092,-11.6,0,0.0,0,0.0,28,6.2
"01000","1","62421","57","0","2023","3","","Alabama -- Statewide","Federal Government","NAICS 62421 Community food services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,5,5,13245,0,0,306,"",8.47,0.00,5.35,4.25,2.05,0.00,0.00,0.52,"",0,0.0,0,0.0,-2,-28.6,-2,-28.6,-1604,-10.8,0,0.0,0,0.0,61,24.9
"01000","5","62421","57","0","2023","1","","Alabama -- Statewide","Private","NAICS 62421 Community food services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",25,267,268,274,2634206,1789057,11319,751,"",0.48,0.43,0.42,0.43,0.46,0.69,0.71,1.07,"",1,4.2,23,9.4,23,9.4,29,11.8,483595,22.5,228071,14.6,-4268,-27.4,75,11.1
"01000","5","62421","57","0","2023","2","","Alabama -- Statewide","Private","NAICS 62421 Community food services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",26,284,287,292,2806415,415592,3517,750,"",0.50,0.45,0.45,0.45,0.46,0.60,0.76,1.01,"",3,13.0,31,12.3,35,13.9,32,12.3,343477,13.9,85062,25.7,-668,-16.0,7,0.9
"01000","5","62421","57","0","2023","3","","Alabama -- Statewide","Private","NAICS 62421 Community food services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",27,303,296,299,2963923,268203,2560,762,"",0.52,0.46,0.45,0.46,0.46,0.48,0.65,1.01,"",4,17.4,40,15.2,33,12.5,35,13.3,311140,11.7,27861,11.6,-488,-16.0,-13,-1.7
"01031","5","62421","77","0","2023","1","N","Coffee County, Alabama","Private","NAICS 62421 Community food services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.30,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","62421","77","0","2023","2","N","Coffee County, Alabama","Private","NAICS 62421 Community food services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.27,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","62421","77","0","2023","3","N","Coffee County, Alabama","Private","NAICS 62421 Community food services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.23,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01041","5","62421","77","0","2023","1","N","Crenshaw County, Alabama","Private","NAICS 62421 Community food services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",10.27,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01041","5","62421","77","0","2023","2","N","Crenshaw County, Alabama","Private","NAICS 62421 Community food services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",10.04,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
