"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","62441","57","0","2023","1","","Alabama -- Statewide","Federal Government","NAICS 62441 Child care services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",5,261,259,267,2190778,0,0,642,"",3.07,1.92,1.89,1.91,2.29,0.00,0.00,1.20,"",0,0.0,17,7.0,14,5.7,17,6.8,333461,18.0,0,0.0,0,0.0,62,10.7
"01000","1","62441","57","0","2023","2","","Alabama -- Statewide","Federal Government","NAICS 62441 Child care services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",5,272,274,274,2515140,0,0,708,"",3.05,1.95,1.95,1.92,2.33,0.00,0.00,1.20,"",0,0.0,22,8.8,27,10.9,24,9.6,438631,21.1,0,0.0,0,0.0,67,10.5
"01000","1","62441","57","0","2023","3","","Alabama -- Statewide","Federal Government","NAICS 62441 Child care services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",5,277,281,278,2458410,0,0,679,"",3.08,1.92,1.96,1.95,2.23,0.00,0.00,1.15,"",0,0.0,30,12.1,32,12.9,25,9.9,317926,14.9,0,0.0,0,0.0,20,3.0
"01000","3","62441","57","0","2023","1","N","Alabama -- Statewide","Local Government","NAICS 62441 Child care services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",11,0,0,0,0,0,0,0,"N",1.39,0,0,0,0,0,0,0,"N",-1,-8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","62441","57","0","2023","2","","Alabama -- Statewide","Local Government","NAICS 62441 Child care services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",11,140,144,153,986045,46732,164,521,"",1.38,0.97,1.00,1.15,0.75,1.89,1.29,0.72,"",-1,-8.3,-7,-4.8,-1,-0.7,5,3.4,98999,11.2,11425,32.4,-224,-57.7,56,12.0
"01000","3","62441","57","0","2023","3","","Alabama -- Statewide","Local Government","NAICS 62441 Child care services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",11,133,137,150,1189022,41617,146,653,"",1.33,1.12,1.05,1.01,0.99,2.33,1.44,0.94,"",-1,-8.3,-1,-0.7,-3,-2.1,2,1.4,157649,15.3,19292,86.4,-100,-40.7,89,15.8
"01000","5","62441","57","0","2023","1","","Alabama -- Statewide","Private","NAICS 62441 Child care services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",993,10958,11019,11059,71105437,57164633,711394,497,"",0.98,0.87,0.86,0.86,0.91,0.99,2.16,1.06,"",32,3.3,1154,11.8,1134,11.5,1117,11.2,15764073,28.5,10889943,23.5,-197544,-21.7,66,15.3
"01000","5","62441","57","0","2023","2","","Alabama -- Statewide","Private","NAICS 62441 Child care services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",999,11244,11289,11387,80858616,24754174,262393,550,"",0.98,0.87,0.87,0.88,0.95,1.23,1.93,1.09,"",38,4.0,958,9.3,949,9.2,1118,10.9,14976432,22.7,75279,0.3,-142437,-35.2,58,11.8
"01000","5","62441","57","0","2023","3","","Alabama -- Statewide","Private","NAICS 62441 Child care services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",987,11244,11561,11502,98399193,16411644,214419,662,"",0.96,0.89,0.90,0.89,1.16,1.03,2.01,1.29,"",13,1.3,912,8.8,942,8.9,764,7.1,27195429,38.2,1941580,13.4,-24841,-10.4,143,27.6
"01001","5","62441","77","0","2023","1","","Autauga County, Alabama","Private","NAICS 62441 Child care services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,80,92,93,578598,483976,4193,504,"",1.31,1.11,1.26,1.27,1.60,1.69,2.19,1.32,"",0,0.0,-1,-1.2,11,13.6,9,10.7,160298,38.3,129420,36.5,609,17.0,112,28.6
"01001","5","62441","77","0","2023","2","","Autauga County, Alabama","Private","NAICS 62441 Child care services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,87,97,99,785937,255507,2499,641,"",1.30,1.18,1.30,1.33,1.90,2.23,2.93,1.50,"",0,0.0,-15,-14.7,-4,-4.0,7,7.6,161908,25.9,6017,2.4,-892,-26.3,153,31.4
"01001","5","62441","77","0","2023","3","","Autauga County, Alabama","Private","NAICS 62441 Child care services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,97,104,104,881446,148048,1823,667,"",1.41,1.34,1.42,1.42,2.16,1.79,3.14,1.55,"",1,11.1,0,0.0,3,3.0,-2,-1.9,237288,36.8,11142,8.1,79,4.5,178,36.4
"01003","5","62441","77","0","2023","1","","Baldwin County, Alabama","Private","NAICS 62441 Child care services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",46,511,516,515,3261053,2693712,22132,488,"",0.87,1.04,1.04,1.01,1.35,1.18,1.76,1.31,"",1,2.2,35,7.4,29,6.0,18,3.6,700560,27.4,466718,21.0,-5620,-20.3,83,20.5
"01003","5","62441","77","0","2023","2","","Baldwin County, Alabama","Private","NAICS 62441 Child care services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",45,538,557,569,3993355,1195043,12269,554,"",0.83,1.05,1.06,1.06,1.43,1.18,2.04,1.35,"",0,0.0,59,12.3,68,13.9,70,14.0,949033,31.2,521,0.0,-4688,-27.6,75,15.7
"01003","5","62441","77","0","2023","3","","Baldwin County, Alabama","Private","NAICS 62441 Child care services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",47,580,575,571,4759746,809704,8701,636,"",0.85,1.12,1.11,1.11,1.64,1.03,1.81,1.47,"",2,4.4,57,10.9,50,9.5,53,10.2,1504983,46.2,50958,6.7,-2809,-24.4,156,32.5
"01005","5","62441","77","0","2023","1","N","Barbour County, Alabama","Private","NAICS 62441 Child care services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.52,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","62441","77","0","2023","2","N","Barbour County, Alabama","Private","NAICS 62441 Child care services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.51,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","62441","77","0","2023","3","N","Barbour County, Alabama","Private","NAICS 62441 Child care services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.52,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","62441","77","0","2023","1","N","Bibb County, Alabama","Private","NAICS 62441 Child care services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",1.46,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","62441","77","0","2023","2","N","Bibb County, Alabama","Private","NAICS 62441 Child care services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",1.42,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","62441","77","0","2023","3","N","Bibb County, Alabama","Private","NAICS 62441 Child care services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",1.41,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","62441","77","0","2023","1","","Blount County, Alabama","Private","NAICS 62441 Child care services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,131,127,123,753703,614894,10771,457,"",1.65,2.42,2.31,2.24,3.23,2.97,10.72,1.39,"",-1,-9.1,12,10.1,10,8.5,8,7.0,132143,21.3,79892,14.9,-2521,-19.0,48,11.7
"01009","5","62441","77","0","2023","2","","Blount County, Alabama","Private","NAICS 62441 Child care services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,125,121,113,839785,289499,1841,540,"",1.65,2.25,2.16,2.01,3.12,3.54,3.92,1.46,"",-1,-9.1,8,6.8,10,9.0,-6,-5.0,123589,17.3,-14098,-4.6,-2588,-58.4,64,13.4
